|Cycle	$RunName	#Layer1_Ge.Avg	#Layer1_Act.Avg	#Inhib1_Ge.Avg	#Inhib1_Act.Avg	#Layer2_Ge.Avg	#Layer2_Act.Avg	#Inhib2_Ge.Avg	#Inhib2_Act.Avg	#Layer0_Spikes	#Layer0_Gi	#Layer0_SGi	#Layer0_OGi	#Layer0_FFs	#Layer0_FBs	#Layer0_FSi	#Layer0_SSi	#Layer0_SSf	#Layer0_FSd	#Layer0_FSGi	#Layer0_SSGi	#Layer0_OFFi	#Layer0_OFBi	#Layer1_Spikes	#Layer1_Gi	#Layer1_SGi	#Layer1_OGi	#Layer1_FFs	#Layer1_FBs	#Layer1_FSi	#Layer1_SSi	#Layer1_SSf	#Layer1_FSd	#Layer1_FSGi	#Layer1_SSGi	#Layer1_OFFi	#Layer1_OFBi	#Inhib1_Spikes	#Inhib1_Gi	#Inhib1_SGi	#Inhib1_OGi	#Inhib1_FFs	#Inhib1_FBs	#Inhib1_FSi	#Inhib1_SSi	#Inhib1_SSf	#Inhib1_FSd	#Inhib1_FSGi	#Inhib1_SSGi	#Inhib1_OFFi	#Inhib1_OFBi	#Layer2_Spikes	#Layer2_Gi	#Layer2_SGi	#Layer2_OGi	#Layer2_FFs	#Layer2_FBs	#Layer2_FSi	#Layer2_SSi	#Layer2_SSf	#Layer2_FSd	#Layer2_FSGi	#Layer2_SSGi	#Layer2_OFFi	#Layer2_OFBi	#Inhib2_Spikes	#Inhib2_Gi	#Inhib2_SGi	#Inhib2_OGi	#Inhib2_FFs	#Inhib2_FBs	#Inhib2_FSi	#Inhib2_SSi	#Inhib2_SSf	#Inhib2_FSd	#Inhib2_FSGi	#Inhib2_SSGi	#Inhib2_OFFi	#Inhib2_OFBi
0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Base	0.4932	0.06324	0.6	0.04797	0.2646	0.05679	0.2566	0.04051	0.03	0.1538	0.1511	0.07899	0	0.02	0.09388	0.002947	0.223	0.08104	0.06266	0.08841	0	0.07899	0	0.4319	0.4319	0.4572	0.1663	0	0.4726	0.001978	0.1684	0.4477	0.3726	0.05934	0.3932	0.064	0	0.6928	0.6928	0.5485	0.3081	0	0.7649	0.0009297	0.1835	0.374	0.6649	0.02789	0.5	0.04851	0.05	0.376	0.376	0.2221	0	0.04	0.4108	0.002173	0.2692	0.4315	0.3108	0.0652	0.1646	0.05747	0	0.2472	0.2472	0.1976	0.03285	0	0.3223	0.00083	0.08598	0.3929	0.2223	0.0249	0.1566	0.04099
2	Base	0.5991	0.06201	0.6422	0.04706	0.2278	0.05569	0.2458	0.03973	0	0.1719	0.1695	0.07828	0	0.03	0.1082	0.003022	0.2352	0.08168	0.07886	0.09065	0	0.07828	0.01	0.5278	0.5278	0.5625	0.1759	0	0.5697	0.001938	0.16	0.4489	0.4697	0.05815	0.4991	0.06346	0	0.7272	0.7272	0.5904	0.1624	0	0.7999	0.0009111	0.1743	0.3935	0.6999	0.02733	0.5422	0.04812	0.01	0.3643	0.3643	0.1848	0	0.05	0.3923	0.002399	0.2923	0.4305	0.2923	0.07197	0.1278	0.05698	0	0.2335	0.2335	0.1864	0.04049	0	0.3091	0.0008134	0.08168	0.3894	0.2091	0.0244	0.1458	0.04065
3	Base	0.6693	0.06051	0.6298	0.04593	0.1925	0.05435	0.249	0.03878	0.01	0.1615	0.1595	0.07698	0	0	0.09019	0.002961	0.2234	0.08301	0.07063	0.08884	0	0.07698	0	0.6017	0.6017	0.6317	0.159	0.01	0.6437	0.001932	0.1604	0.4549	0.5437	0.05795	0.5693	0.06242	0	0.7094	0.7094	0.5772	0.1161	0	0.7826	0.0008929	0.1656	0.4138	0.6826	0.02679	0.5298	0.04736	0	0.3092	0.3092	0.1485	0	0.01	0.3369	0.00241	0.2848	0.4286	0.2369	0.07229	0.09248	0.05606	0	0.2339	0.2339	0.189	0.0524	0	0.31	0.0007972	0.0776	0.3854	0.21	0.02391	0.149	0.03999
4	Base	0.6063	0.05886	0.5512	0.04468	0.2145	0.05287	0.1992	0.03772	0	0.1608	0.159	0.07528	0	0.01	0.08516	0.002947	0.22	0.08337	0.07063	0.0884	0	0.07528	0.01	0.5351	0.5351	0.5674	0.04181	0	0.5783	0.001893	0.1524	0.4644	0.4783	0.05679	0.5063	0.06106	0	0.6258	0.6258	0.4975	0.04734	0	0.6995	0.000875	0.1573	0.4323	0.5995	0.02625	0.4512	0.04634	0	0.3012	0.3012	0.1693	0.04963	0	0.3304	0.002361	0.2705	0.424	0.2304	0.07084	0.1145	0.05484	0	0.1817	0.1817	0.1384	0	0	0.2583	0.0007812	0.07372	0.3816	0.1583	0.02344	0.09923	0.03912
5	Base	0.5643	0.05713	0.4458	0.04338	0.1812	0.05132	0.2047	0.03662	0.02	0.1588	0.1573	0.07334	0	0	0.07097	0.002888	0.209	0.08346	0.07063	0.08663	0	0.07334	0.02	0.4981	0.4981	0.5238	0.04963	0.01	0.5415	0.001886	0.1532	0.4701	0.4415	0.05657	0.4643	0.05949	0	0.5135	0.5135	0.3909	0.004864	0	0.5878	0.0008575	0.1494	0.4456	0.4878	0.02573	0.3458	0.04516	0	0.2448	0.2448	0.1347	0	0	0.2753	0.002314	0.257	0.4193	0.1753	0.06943	0.08122	0.05343	0	0.1835	0.1835	0.1428	0.04532	0	0.2606	0.0007656	0.07003	0.3755	0.1606	0.02297	0.1047	0.03812
6	Base	0.4808	0.05538	0.4117	0.04205	0.2065	0.04975	0.2457	0.03549	0.04	0.1593	0.158	0.07126	0	0.02	0.07914	0.002914	0.2144	0.08283	0.07063	0.08741	0	0.07126	0.03	0.4285	0.4285	0.4387	0	0.02	0.4713	0.001909	0.1625	0.4736	0.3713	0.05728	0.3808	0.05781	0	0.4702	0.4702	0.3556	0.05513	0	0.545	0.0008404	0.142	0.4528	0.445	0.02521	0.3117	0.04388	0	0.2473	0.2473	0.1585	0.04984	0	0.2793	0.002268	0.2441	0.4121	0.1793	0.06804	0.1065	0.05192	0.1	0.2216	0.2216	0.1828	0.08196	0	0.2991	0.0007503	0.06653	0.3697	0.1991	0.02251	0.1457	0.03705
7	Base	0.4961	0.05363	0.4314	0.04072	0.278	0.04818	0.3167	0.03437	0.03	0.1685	0.1674	0.06912	0	0.04	0.1059	0.003027	0.2351	0.08265	0.07657	0.09081	0	0.06912	0	0.4639	0.4639	0.4522	0.08216	0.03	0.5049	0.001969	0.1795	0.4735	0.4049	0.05906	0.3961	0.05607	0	0.4808	0.4808	0.3739	0.102	0	0.5561	0.0008236	0.1349	0.4574	0.4561	0.02471	0.3314	0.04257	0	0.2985	0.2985	0.2283	0.09907	0	0.3318	0.002223	0.2319	0.4055	0.2318	0.06668	0.178	0.05037	0	0.3954	0.3954	0.2526	0.1201	0.1	0.4693	0.0008683	0.1566	0.3662	0.3693	0.02605	0.2167	0.03594
8	Base	0.5928	0.05191	0.4158	0.03941	0.3898	0.04663	0.2548	0.03327	0.02	0.1831	0.1821	0.06697	0	0.03	0.1183	0.003107	0.2463	0.08381	0.08892	0.09322	0	0.06697	0.08	0.5473	0.5473	0.5472	0.1687	0	0.5895	0.001929	0.1705	0.4751	0.4895	0.05788	0.4928	0.05433	0	0.4583	0.4583	0.357	0.07069	0	0.5341	0.0008071	0.1281	0.4623	0.4341	0.02421	0.3158	0.04125	0	0.393	0.393	0.3386	0.1512	0	0.4277	0.002178	0.2203	0.4018	0.3277	0.06534	0.2898	0.0488	0.05	0.3166	0.3166	0.1896	0	0	0.3911	0.000851	0.1487	0.3713	0.2911	0.02553	0.1548	0.03482
9	Base	0.6369	0.05022	0.4166	0.03813	0.3284	0.04511	0.5416	0.03219	0.01	0.1843	0.1835	0.06483	0	0.02	0.1186	0.003144	0.249	0.08554	0.0892	0.09431	0	0.06483	0.06	0.6623	0.6623	0.5895	0.1262	0.08	0.6974	0.002163	0.2284	0.4808	0.5974	0.0649	0.5369	0.0526	0	0.4528	0.4528	0.3566	0.08399	0	0.5291	0.000791	0.1217	0.4659	0.4291	0.02373	0.3166	0.03994	0	0.3204	0.3204	0.2756	0	0	0.3564	0.002135	0.2093	0.4031	0.2564	0.06404	0.2284	0.04725	0	0.6437	0.6437	0.4754	0.3383	0.05	0.7142	0.0009827	0.1839	0.3723	0.6142	0.02948	0.4416	0.03371
