|Cycle	$RunName	#Layer1_Ge.Avg	#Layer1_Act.Avg	#Inhib1_Ge.Avg	#Inhib1_Act.Avg	#Layer2_Ge.Avg	#Layer2_Act.Avg	#Inhib2_Ge.Avg	#Inhib2_Act.Avg	#Layer0_Spikes	#Layer1_Spikes	#Layer1_Gi	#Layer1_SGi	#Layer1_OGi	#Layer1_FFs	#Layer1_FBs	#Layer1_FSi	#Layer1_SSi	#Layer1_FSd	#Layer1_FSGi	#Layer1_SSGi	#Layer1_OFFi	#Layer1_OFBi	#Inhib1_Spikes	#Inhib1_Gi	#Inhib1_SGi	#Inhib1_OGi	#Inhib1_FFs	#Inhib1_FBs	#Inhib1_FSi	#Inhib1_SSi	#Inhib1_FSd	#Inhib1_FSGi	#Inhib1_SSGi	#Inhib1_OFFi	#Inhib1_OFBi	#Layer2_Spikes	#Layer2_Gi	#Layer2_SGi	#Layer2_OGi	#Layer2_FFs	#Layer2_FBs	#Layer2_FSi	#Layer2_SSi	#Layer2_FSd	#Layer2_FSGi	#Layer2_SSGi	#Layer2_OFFi	#Layer2_OFBi	#Inhib2_Spikes	#Inhib2_Gi	#Inhib2_SGi	#Inhib2_OGi	#Inhib2_FFs	#Inhib2_FBs	#Inhib2_FSi	#Inhib2_SSi	#Inhib2_FSd	#Inhib2_FSGi	#Inhib2_SSGi	#Inhib2_OFFi	#Inhib2_OFBi
0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Base	0	0	9.688e-34	0	0	0	9.688e-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Base	0	0	9.729e-33	0	0	0	9.729e-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Base	0	0	3.173e-32	0	0	0	3.173e-32	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Base	0	0	0.1783	0	0	0	6.625e-32	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07834	0.1567	0.07834	0.1783	0	0.07834	0	0.003917	0.07834	0	0.07834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Base	0.337	0	0.2102	0	0	0	1.095e-31	0	0.04	0	0.237	0.4696	0.237	0.3348	0	0.2348	0	0.01174	0.2348	0	0.237	0	0	0.1102	0.1253	0.1102	0.06754	0	0.06267	0	0.006855	0.06267	0	0.1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Base	0.396	0	0.2618	0	0	0	1.574e-31	0	0	0	0.296	0.4246	0.296	0.1244	0	0.2123	0	0.02177	0.2123	0	0.296	0	0	0.1618	0.1003	0.1618	0.09361	0	0.05014	0	0.009019	0.05014	0	0.1618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Base	0.488	0	0.2094	0	0	0	2.067e-31	0	0	0	0.388	0.4757	0.388	0.168	0	0.2378	0	0.03257	0.2378	0	0.388	0	0	0.1094	0.08022	0.1094	0	0	0.04011	0	0.01057	0.04011	0	0.1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Base	0.3929	0	0.1675	0	0	0	2.551e-31	0	0	0	0.2929	0.3806	0.2929	0	0	0.1903	0	0.04046	0.1903	0	0.2929	0	0	0.06754	0.06418	0.06754	0	0	0.03209	0	0.01165	0.03209	0	0.06754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Base	0.3168	0	0.134	0	0	0	3.015e-31	0	0	0	0.2168	0.3044	0.2168	0	0	0.1522	0	0.04605	0.1522	0	0.2168	0	0	0.03403	0.05134	0.03403	0	0	0.02567	0	0.01235	0.02567	0	0.03403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Base	0.2558	0	0.1072	0	0	0	3.454e-31	0	0.07	0	0.1558	0.2436	0.1558	0	0	0.1218	0	0.04983	0.1218	0	0.1558	0	0	0.007225	0.04107	0.007225	0	0	0.02054	0	0.01276	0.02054	0	0.007225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Base	0.207	0	0.2447	0	0	0	3.864e-31	0	0.01	0	0.107	0.1948	0.107	0	0	0.09742	0	0.05221	0.09742	0	0.107	0	0	0.1447	0.1506	0.1447	0.1589	0	0.07531	0	0.01589	0.07531	0	0.1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Base	0.4666	0	0.2152	0	0	0	4.248e-31	0	0.03	0	0.3666	0.5433	0.3666	0.2937	0	0.2716	0	0.06318	0.2716	0	0.3666	0	0.25	0.1152	0.1205	0.1152	0.01947	0	0.06025	0	0.01811	0.06025	0	0.1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
