$Cond	#ErrDWt	#Trial	#Cycle	#SSpike	#RSpike	#SnmdaO	#SnmdaI	#Ge	#Inet	#Vm	#Act	#Gk	#ISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#R_CaM	#R_CaP	#R_CaD	#S_CaM	#S_CaP	#S_CaD	#P_Ca	#P_CaM	#P_CaP	#P_CaD	#P_CaDMax	#P_TDWt	#P_DWt	#P_Wt	#X_Ca	#X_CaM	#X_CaP	#X_CaD	#X_CaDMax	#X_TDWt	#X_DWt	#X_Wt	#N_Ca	#N_CaM	#N_CaP	#N_CaD	#N_CaDMax	#N_TDWt	#N_DWt	#N_Wt	#O_Ca	#O_CaM	#O_CaP	#O_CaD	#O_CaDMax	#O_TDWt	#O_DWt	#O_Wt
	0	0	0	0	0	0	0	0.5033	0	0.3	0	0	0	0.2923	0.003252	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	1	0	0	0	0	0.5031	0	0.3	0	0	1	0.2893	0.003106	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	2	0	0	0	0	0.5031	0	0.3	0	0	2	0.2882	0.003053	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	3	0	0	0	0	0.503	-0.02535	0.2868	0	0	3	0.2853	0.003032	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	4	0	0	0	0	0.503	-0.007035	0.2831	0	0	4	0.2836	0.00298	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	5	0	0	0	0	0.503	-0.002151	0.282	0	0	5	0.2827	0.00295	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	6	0	0	0	0	0.5029	-0.0008786	0.2815	0	0	6	0.2821	0.002934	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	7	0	0	0	0	0.5029	-0.000576	0.2812	0	0	7	0.2816	0.002923	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	8	0	0	0	0	0.5029	-0.0005326	0.281	0	0	8	0.2813	0.002915	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	9	0	0	0	0	0.5029	-0.0005579	0.2807	0	0	9	0.2809	0.002909	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	10	0	0	0	0	0.5029	-0.0006003	0.2803	0	0	10	0.2806	0.002903	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	11	0	0	0	0	0.5029	-0.0006461	0.28	0	0	11	0.2803	0.002898	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	12	0	0	0	0	0.5029	-0.0006914	0.2796	0	0	12	0.2799	0.002892	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	13	0	0	0	0	0.5029	-0.0007351	0.2793	0	0	13	0.2795	0.002886	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	14	0	0	0	0	0.5029	-0.0007773	0.2788	0	0	14	0.2791	0.002879	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	15	0	0	0	0	0.5029	-0.0008176	0.2784	0	0	15	0.2787	0.002872	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	16	0.1	0	1	1	0.5029	-0.0008561	0.278	0	0	16	0.2783	0.002865	0.5	0	0	0	0	0.8	0.02	0.0005	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	17	0	0	0.9604	0	0.5029	-0.0008928	0.2775	0	0	17	0.2778	0.002858	0.5	0	0	0	0	0.72	0.0375	0.001425	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	18	0	0	0.9224	0	0.5029	-0.0009279	0.277	0	0	18	0.2773	0.00285	0.5	0	0	0	0	0.648	0.05276	0.002708	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	19	0	0.1	0.8858	0	0.5028	0.03879	0.2908	0	0	0	0.2812	0.002842	0.5	0.01282	0.8	0.02	0.0005	0.5832	0.06602	0.004291	0	0.4666	0.00132	2.146e-06	0	0	0	0.5	0.4449	0.08898	0.002224	5.561e-05	5.561e-05	-0.02002	0	0.5	0.1363	0.02726	0.0006816	1.704e-05	1.704e-05	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	20	0	0	0.8508	0	0.5029	0.01552	0.2963	0	0	1	0.2825	0.002909	0.5	0	0.72	0.0375	0.001425	0.5249	0.07749	0.006121	0	0.3779	0.002906	8.723e-06	0	0	0	0.5	0	0.07118	0.003948	0.0001529	0.0001529	-0.02002	0	0.5	0	0.02181	0.00121	4.686e-05	4.686e-05	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	21	0	0	0.8171	0	0.5029	0.01034	0.3	0	0	2	0.2828	0.002931	0.5	0	0.648	0.05276	0.002708	0.4724	0.08737	0.008153	0	0.3061	0.00461	2.208e-05	0	0	0	0.5	0	0.05695	0.005273	0.0002809	0.0002809	-0.02002	0	0.5	0	0.01745	0.001616	8.608e-05	8.608e-05	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	22	0	0	0.7847	0	0.5029	-0.03491	0.2814	0	0	3	0.2791	0.002936	0.5	0	0.5832	0.06602	0.004291	0.4252	0.09581	0.01034	0	0.2479	0.006326	4.439e-05	0	0	0	0.5	0	0.04556	0.00628	0.0004309	0.0004309	-0.02002	0	0.5	0	0.01396	0.001924	0.000132	0.000132	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	23	0	0	0.7536	0	0.5029	-0.00981	0.2761	0	0	4	0.2768	0.002872	0.5	0	0.5249	0.07749	0.006121	0.3826	0.103	0.01266	0	0.2008	0.007981	7.75e-05	0	0	0	0.5	0	0.03645	0.007035	0.000596	0.000596	-0.02002	0	0.5	0	0.01117	0.002155	0.0001826	0.0001826	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	24	0	0	0.7238	0	0.5028	-0.003434	0.2743	0	0	5	0.2753	0.002833	0.5	0	0.4724	0.08737	0.008153	0.3444	0.109	0.01507	0	0.1627	0.009525	0.0001229	0	0	0	0.5	0	0.02916	0.007588	0.0007708	0.0007708	-0.02002	0	0.5	0	0.008934	0.002325	0.0002362	0.0002362	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	25	0	0	0.6951	0	0.5028	-0.001802	0.2733	0	0	6	0.2741	0.002807	0.5	0	0.4252	0.09581	0.01034	0.3099	0.114	0.01754	0	0.1318	0.01093	0.0001815	0	0	0	0.5	0	0.02333	0.007981	0.0009511	0.0009511	-0.02002	0	0.5	0	0.007147	0.002445	0.0002914	0.0002914	-0.006134	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	26	0	0	0.6676	0	0.5028	-0.001376	0.2725	0	0	7	0.2732	0.002788	0.5	0	0.3826	0.103	0.01266	0.2789	0.1182	0.02006	0	0.1067	0.01217	0.0002539	0	0	0	0.5	0	0.01866	0.008248	0.001133	0.001133	-0.04175	0	0.5	0	0.005718	0.002527	0.0003473	0.0003473	-0.02275	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	27	0	0	0.6412	0	0.5028	-0.001263	0.2719	0	0	8	0.2725	0.002773	0.5	0	0.3444	0.109	0.01507	0.251	0.1215	0.02259	0	0.08645	0.01324	0.0003405	0	0	0	0.5	0	0.01493	0.008415	0.001316	0.001316	-0.04175	0	0.5	0	0.004574	0.002578	0.0004031	0.0004031	-0.02275	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	28	0	0	0.6158	0	0.5028	-0.001236	0.2712	0	0	9	0.2717	0.00276	0.5	0	0.3099	0.114	0.01754	0.2259	0.1241	0.02513	0	0.07003	0.01415	0.0004409	0	0	0	0.5	0	0.01194	0.008503	0.001495	0.001495	-0.04175	0	0.5	0	0.003659	0.002605	0.0004581	0.0004581	-0.02275	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	29	0	0	0.5914	0	0.5027	-0.001236	0.2705	0	0	10	0.271	0.002748	0.5	0	0.2789	0.1182	0.02006	0.2033	0.1261	0.02766	0	0.05672	0.0149	0.0005547	0	0	0	0.5	0	0.009554	0.00853	0.001671	0.001671	-0.04147	0	0.5	0	0.002927	0.002613	0.000512	0.000512	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	30	0	0	0.568	0	0.5027	-0.001244	0.2698	0	0	11	0.2703	0.002737	0.5	0	0.251	0.1215	0.02259	0.183	0.1275	0.03015	0	0.04595	0.01549	0.0006813	0	0	0	0.5	0	0.007643	0.008507	0.001842	0.001842	-0.04147	0	0.5	0	0.002342	0.002607	0.0005644	0.0005644	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	31	0	0	0.5455	0	0.5027	-0.001255	0.2691	0	0	12	0.2696	0.002725	0.5	0	0.2259	0.1241	0.02513	0.1647	0.1284	0.03261	0	0.03722	0.01594	0.0008195	0	0	0	0.5	0	0.006115	0.008448	0.002007	0.002007	-0.04147	0	0.5	0	0.001874	0.002588	0.000615	0.000615	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	32	0	0	0.5239	0	0.5027	-0.001267	0.2684	0	0	13	0.2689	0.002714	0.5	0	0.2033	0.1261	0.02766	0.1482	0.1289	0.03502	0	0.03014	0.01625	0.0009684	0	0	0	0.5	0	0.004892	0.008359	0.002166	0.002166	-0.04147	0	0.5	0	0.001499	0.002561	0.0006636	0.0006636	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	33	0	0	0.5031	0	0.5027	-0.00128	0.2677	0	0	14	0.2682	0.002703	0.5	0	0.183	0.1275	0.03015	0.1334	0.129	0.03737	0	0.02442	0.01645	0.001127	0	0	0	0.5	0	0.003913	0.008247	0.002318	0.002318	-0.04147	0	0.5	0	0.001199	0.002527	0.0007102	0.0007102	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	34	0	0	0.4832	0	0.5027	-0.001292	0.267	0	0	15	0.2675	0.002692	0.5	0	0.1647	0.1284	0.03261	0.1201	0.1288	0.03965	0	0.01978	0.01654	0.001293	0	0	0	0.5	0	0.003131	0.00812	0.002463	0.002463	-0.04147	0	0.5	0	0.0009593	0.002488	0.0007547	0.0007547	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	35	0	0	0.4641	0	0.5027	-0.001303	0.2663	0	0	16	0.2668	0.00268	0.5	0	0.1482	0.1289	0.03502	0.1081	0.1283	0.04187	0	0.01602	0.01654	0.001466	0	0	0	0.5	0	0.002505	0.007979	0.002601	0.002601	-0.04147	0	0.5	0	0.0007674	0.002445	0.0007969	0.0007969	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	36	0	0	0.4457	0	0.5027	-0.001314	0.2656	0	0	17	0.2661	0.002669	0.5	0	0.1334	0.129	0.03737	0.09726	0.1275	0.04401	0	0.01298	0.01646	0.001645	0	0	0	0.5	0	0.002004	0.00783	0.002732	0.002732	-0.04147	0	0.5	0	0.0006139	0.002399	0.000837	0.000837	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	37	0	0	0.4281	0	0.5027	-0.001323	0.2648	0	0	18	0.2653	0.002657	0.5	0	0.1201	0.1288	0.03965	0.08754	0.1265	0.04607	0	0.01051	0.0163	0.001827	0	0	0	0.5	0	0.001603	0.007674	0.002855	0.002855	-0.04147	0	0.5	0	0.0004911	0.002351	0.0008748	0.0008748	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	38	0	0	0.4111	0	0.5026	-0.001332	0.2641	0	0	19	0.2646	0.002645	0.5	0	0.1081	0.1283	0.04187	0.07878	0.1253	0.04805	0	0.008514	0.01608	0.002012	0	0	0	0.5	0	0.001282	0.007514	0.002972	0.002972	-0.04147	0	0.5	0	0.0003929	0.002302	0.0009105	0.0009105	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	39	0	0	0.3948	0	0.5026	-0.00134	0.2633	0	0	20	0.2638	0.002634	0.5	0	0.09726	0.1275	0.04401	0.0709	0.124	0.04995	0	0.006896	0.01581	0.002198	0	0	0	0.5	0	0.001026	0.007352	0.003081	0.003081	-0.04147	0	0.5	0	0.0003143	0.002253	0.0009441	0.0009441	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	40	0	0	0.3792	0	0.5026	-0.001346	0.2626	0	0	21	0.2631	0.002622	0.5	0	0.08754	0.1265	0.04607	0.06381	0.1225	0.05177	0	0.005586	0.01549	0.002385	0	0	0	0.5	0	0.0008207	0.007189	0.003184	0.003184	-0.04147	0	0.5	0	0.0002515	0.002203	0.0009756	0.0009756	-0.02352	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	41	0.1	0	1	1	0.5026	-0.001352	0.2618	0	0	22	0.2623	0.00261	0.5	0	0.07878	0.1253	0.04805	0.8574	0.1408	0.05399	0	0.06755	0.01765	0.002595	0	0	0	0.5	0.421	0.08486	0.009131	0.003333	0.003333	-0.04087	0	0.5	0	0.0002012	0.002153	0.001005	0.001005	-0.01937	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	42	0	0	0.9604	0	0.5026	-0.001357	0.261	0	0	23	0.2616	0.002598	0.5	0	0.0709	0.124	0.04995	0.7717	0.1566	0.05656	0	0.05472	0.01941	0.002825	0	0	0	0.5	0	0.06789	0.0106	0.003514	0.003514	-0.04087	0	0.5	0	0.0001609	0.002103	0.001032	0.001032	-0.01937	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	43	0	0	0.9224	0	0.5026	-0.001361	0.2603	0	0	24	0.2608	0.002586	0.5	0	0.06381	0.1225	0.05177	0.6945	0.1701	0.0594	0	0.04432	0.02083	0.003075	0	0	0	0.5	0	0.05431	0.01169	0.003719	0.003719	-0.04087	0	0.5	0	0.0001287	0.002054	0.001058	0.001058	-0.01937	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	44	0	0.1	0.8858	0	0.5026	0.06699	0.2841	0	0	0	0.2674	0.002574	0.5	0.01189	0.8574	0.1408	0.05399	0.6251	0.1814	0.06245	0	0.536	0.02555	0.003372	0	0	0	0.5	1.043	0.252	0.0177	0.004068	0.004068	-0.0323	0	0.5	0.1264	0.02539	0.002637	0.001097	0.001097	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	45	0	0	0.8508	0	0.5027	0.0268	0.2936	0	0	1	0.2699	0.002679	0.5	0	0.7717	0.1566	0.05656	0.5626	0.191	0.06566	0	0.4341	0.02991	0.003714	0	0	0	0.5	0	0.2016	0.0223	0.004524	0.004524	-0.0323	0	0.5	0	0.02031	0.003079	0.001147	0.001147	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	46	0	0	0.8171	0	0.5027	0.01787	0.3	0	0	2	0.2707	0.002719	0.5	0	0.6945	0.1701	0.0594	0.5063	0.1988	0.06899	0	0.3516	0.03381	0.004098	0	0	0	0.5	0	0.1613	0.02577	0.005055	0.005055	-0.0323	0	0.5	0	0.01625	0.003408	0.001203	0.001203	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	47	0	0	0.7847	0	0.5027	-0.05654	0.2676	0	0	3	0.2648	0.002731	0.5	0	0.6251	0.1814	0.06245	0.4557	0.2053	0.0724	0	0.2848	0.03724	0.004521	0	0	0	0.5	0	0.129	0.02836	0.005638	0.005638	-0.0323	0	0.5	0	0.013	0.003648	0.001265	0.001265	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	48	0	0	0.7536	0	0.5026	-0.01386	0.2596	0	0	4	0.261	0.002636	0.5	0	0.5626	0.191	0.06566	0.4101	0.2104	0.07585	0	0.2307	0.04018	0.00498	0	0	0	0.5	0	0.1032	0.03023	0.006252	0.006252	-0.0323	0	0.5	0	0.0104	0.003816	0.001328	0.001328	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	49	0	0	0.7238	0	0.5026	-0.004644	0.2569	0	0	5	0.2585	0.002577	0.5	0	0.5063	0.1988	0.06899	0.3691	0.2144	0.07931	0	0.1869	0.04262	0.005471	0	0	0	0.5	0	0.08258	0.03154	0.006885	0.006885	-0.0323	0	0.5	0	0.008319	0.003929	0.001393	0.001393	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	50	0	0	0.6951	0	0.5025	-0.002489	0.2554	0	0	6	0.2566	0.002539	0.5	0	0.4557	0.2053	0.0724	0.3322	0.2173	0.08276	0	0.1514	0.0446	0.005991	0	0	0	0.5	0	0.06607	0.0324	0.007522	0.007522	-0.0323	0	0.5	0	0.006655	0.003997	0.001458	0.001458	-0.02373	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	51	0	0	0.6676	0	0.5025	-0.001869	0.2543	0	0	7	0.2552	0.002511	0.5	0	0.4101	0.2104	0.07585	0.299	0.2193	0.08617	0	0.1226	0.04615	0.006536	0	0	0	0.5	0	0.05285	0.03291	0.008157	0.008157	-0.01709	0	0.5	0	0.005324	0.00403	0.001523	0.001523	-0.03627	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	52	0	0	0.6412	0	0.5025	-0.001628	0.2533	0	0	8	0.2541	0.00249	0.5	0	0.3691	0.2144	0.07931	0.2691	0.2206	0.08953	0	0.09931	0.04728	0.007101	0	0	0	0.5	0	0.04228	0.03314	0.008782	0.008782	-0.01709	0	0.5	0	0.004259	0.004036	0.001586	0.001586	-0.03627	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	53	0	0	0.6158	0	0.5025	-0.001506	0.2524	0	0	9	0.2531	0.002473	0.5	0	0.3322	0.2173	0.08276	0.2422	0.2211	0.09282	0	0.08044	0.04805	0.007682	0	0	0	0.5	0	0.03383	0.03316	0.009391	0.009391	-0.01709	0	0.5	0	0.003407	0.00402	0.001646	0.001646	-0.03627	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	54	0	0.1	0.5914	0	0.5025	0.08019	0.281	0	0	0	0.261	0.002458	0.5	0.01148	1.099	0.2393	0.08667	0.2179	0.221	0.09603	0	0.2395	0.0529	0.008323	0	0	0	0.5	1.157	0.2585	0.0388	0.01013	0.01013	-0.0112	0	0.5	0.08147	0.01902	0.004395	0.001715	0.001715	-0.03956	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	55	0	0	0.568	0	0.5026	0.03208	0.2924	0	0	1	0.2641	0.002577	0.5	0	0.9891	0.2581	0.09096	0.1962	0.2204	0.09914	0	0.194	0.05689	0.009017	0	0	0	0.5	0	0.2068	0.043	0.01095	0.01095	-0.0112	0	0.5	0	0.01522	0.004666	0.001789	0.001789	-0.03956	0	0.5	0	0	0	0	0	0	0	0.5
