$Cond	#ErrDWt	#Trial	#Cycle	#SSpike	#RSpike	#SnmdaO	#SnmdaI	#Ge	#Inet	#Vm	#Act	#Gk	#ISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#R_CaM	#R_CaP	#R_CaD	#S_CaM	#S_CaP	#S_CaD	#P_Ca	#P_CaM	#P_CaP	#P_CaD	#P_CaDMax	#P_TDWt	#P_DWt	#P_Wt	#X_Ca	#X_CaM	#X_CaP	#X_CaD	#X_CaDMax	#X_TDWt	#X_DWt	#X_Wt	#N_Ca	#N_CaM	#N_CaP	#N_CaD	#N_CaDMax	#N_TDWt	#N_DWt	#N_Wt	#O_Ca	#O_CaM	#O_CaP	#O_CaD	#O_CaDMax	#O_TDWt	#O_DWt	#O_Wt
	0	0	0	0	0	0.7847	0	0.5016	5.969e-07	0.1842	0	0	20	0.1842	0.001622	0.5	0	0.09726	0.1397	0.08608	0.4252	0.1169	0.06923	0	0.04135	0.01633	0.00596	0	0	0.04416	0.5	0	0.02099	0.009004	0.003172	0.003437	-0.03711	0	0.5	0	7.413e-06	5.313e-05	2.227e-05	2.227e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	1	0	0	0.7536	0	0.5016	6.498e-07	0.1842	0	0	21	0.1842	0.001622	0.5	0	0.08754	0.1384	0.08739	0.3826	0.1236	0.07059	0	0.0335	0.0171	0.006169	0	0	0.04416	0.5	0	0.01679	0.009199	0.003323	0.003437	-0.03711	0	0.5	0	5.931e-06	5.195e-05	2.301e-05	2.301e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	2	0	0	0.7238	0	0.5016	6.95e-07	0.1842	0	0	22	0.1842	0.001622	0.5	0	0.07878	0.1369	0.08862	0.3444	0.1291	0.07206	0	0.02713	0.01767	0.006386	0	0	0.04416	0.5	0	0.01343	0.009304	0.003472	0.003472	-0.03711	0	0.5	0	4.745e-06	5.077e-05	2.37e-05	2.37e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	3	0	0	0.6951	0	0.5016	6.09e-07	0.1842	0	0	23	0.1842	0.001622	0.5	0	0.0709	0.1352	0.08979	0.3099	0.1336	0.07359	0	0.02198	0.01807	0.006608	0	0	0.04416	0.5	0	0.01075	0.009341	0.003619	0.003619	-0.03711	0	0.5	0	3.796e-06	4.96e-05	2.435e-05	2.435e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	4	0	0	0.6676	0	0.5016	5.916e-07	0.1842	0	0	24	0.1842	0.001622	0.5	0	0.06381	0.1335	0.09088	0.279	0.1373	0.07519	0	0.0178	0.01832	0.006833	0	0	0.04416	0.5	0	0.008596	0.009322	0.003762	0.003762	-0.04068	0	0.5	0	3.037e-06	4.843e-05	2.495e-05	2.495e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	5	0	0	0.6412	0	0.5016	6.056e-07	0.1842	0	0	25	0.1842	0.001622	0.5	0	0.05743	0.1316	0.0919	0.2511	0.1401	0.07681	0	0.01442	0.01843	0.007059	0	0	0.04416	0.5	0	0.006877	0.009261	0.003899	0.003899	-0.04068	0	0.5	0	2.429e-06	4.728e-05	2.551e-05	2.551e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	6	0	0	0.6158	0	0.5016	5.609e-07	0.1842	0	0	26	0.1842	0.001622	0.5	0	0.05169	0.1296	0.09284	0.226	0.1422	0.07844	0	0.01168	0.01843	0.007283	0	0	0.04416	0.5	0	0.005501	0.009167	0.004031	0.004031	-0.04068	0	0.5	0	1.943e-06	4.615e-05	2.603e-05	2.603e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	7	0	0	0.5914	0	0.5016	4.798e-07	0.1842	0	0	27	0.1842	0.001622	0.5	0	0.04652	0.1275	0.0937	0.2034	0.1438	0.08008	0	0.00946	0.01833	0.007504	0	0	0.04416	0.5	0	0.004401	0.009048	0.004156	0.004156	-0.04068	0	0.5	0	1.555e-06	4.503e-05	2.65e-05	2.65e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	8	0	0	0.568	0	0.5016	5.113e-07	0.1842	0	0	28	0.1842	0.001622	0.5	0	0.04187	0.1253	0.0945	0.183	0.1448	0.0817	0	0.007663	0.01814	0.00772	0	0	0.04416	0.5	0	0.003521	0.008909	0.004275	0.004275	-0.04068	0	0.5	0	1.244e-06	4.394e-05	2.694e-05	2.694e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	9	0	0	0.5455	0	0.5016	5.559e-07	0.1842	0	0	29	0.1842	0.001622	0.5	0	0.03768	0.1231	0.09521	0.1647	0.1453	0.08328	0	0.006207	0.01789	0.00793	0	0	0.04416	0.5	0	0.002817	0.008757	0.004387	0.004387	-0.04068	0	0.5	0	9.95e-07	4.287e-05	2.734e-05	2.734e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	10	0	0	0.5239	0	0.5016	5.024e-07	0.1842	0	0	30	0.1842	0.001622	0.5	0	0.03391	0.1209	0.09585	0.1482	0.1453	0.08484	0	0.005028	0.01757	0.008132	0	0	0.04416	0.5	0	0.002253	0.008595	0.004492	0.004492	-0.04068	0	0.5	0	7.96e-07	4.181e-05	2.77e-05	2.77e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	11	0	0	0.5031	0	0.5016	5.699e-07	0.1842	0	0	31	0.1842	0.001622	0.5	0	0.03052	0.1187	0.09642	0.1334	0.145	0.08634	0	0.004072	0.01721	0.008325	0	0	0.04416	0.5	0	0.001803	0.008425	0.004591	0.004591	-0.04068	0	0.5	0	6.368e-07	4.078e-05	2.802e-05	2.802e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	12	0	0	0.4832	0	0.5016	4.927e-07	0.1842	0	0	32	0.1842	0.001622	0.5	0	0.02747	0.1164	0.09692	0.1201	0.1444	0.08779	0	0.003299	0.01681	0.008509	0	0	0.04416	0.5	0	0.001442	0.00825	0.004682	0.004682	-0.04068	0	0.5	0	5.095e-07	3.978e-05	2.832e-05	2.832e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	13	0	0	0.4641	0	0.5016	4.579e-07	0.1842	0	0	33	0.1842	0.001622	0.5	0	0.02472	0.1141	0.09735	0.1081	0.1435	0.08918	0	0.002672	0.01637	0.008682	0	0	0.04416	0.5	0	0.001154	0.008073	0.004767	0.004767	-0.04068	0	0.5	0	4.076e-07	3.879e-05	2.858e-05	2.858e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	14	0	0	0.4457	0	0.5016	5.49e-07	0.1842	0	0	34	0.1842	0.001622	0.5	0	0.02225	0.1118	0.09771	0.09726	0.1423	0.09051	0	0.002164	0.01591	0.008844	0	0	0.04416	0.5	0	0.000923	0.007894	0.004845	0.004845	-0.04068	0	0.5	0	3.26e-07	3.783e-05	2.881e-05	2.881e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	15	0	0	0.4281	0	0.5016	4.933e-07	0.1842	0	0	35	0.1842	0.001622	0.5	0	0.02003	0.1095	0.09801	0.08754	0.141	0.09178	0	0.001753	0.01544	0.008995	0	0	0.04416	0.5	0	0.0007384	0.007715	0.004917	0.004917	-0.04068	0	0.5	0	2.608e-07	3.689e-05	2.901e-05	2.901e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	16	0	0	0.4111	0	0.5016	4.818e-07	0.1842	0	0	36	0.1842	0.001622	0.5	0	0.01802	0.1072	0.09824	0.07878	0.1394	0.09297	0	0.00142	0.01495	0.009133	0	0	0.04416	0.5	0	0.0005907	0.007537	0.004982	0.004982	-0.04068	0	0.5	0	2.087e-07	3.598e-05	2.919e-05	2.919e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	17	0	0	0.3948	0	0.5016	4.436e-07	0.1842	0	0	37	0.1842	0.001622	0.5	0	0.01622	0.1049	0.09841	0.07091	0.1377	0.09408	0	0.00115	0.01445	0.009258	0	0	0.04416	0.5	0	0.0004726	0.00736	0.005042	0.005042	-0.04068	0	0.5	0	1.669e-07	3.508e-05	2.934e-05	2.934e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	18	0	0	0.3792	0	0.5016	4.377e-07	0.1841	0	0	38	0.1841	0.001622	0.5	0	0.0146	0.1027	0.09851	0.06382	0.1359	0.09513	0	0.0009316	0.01395	0.009371	0	0	0.04416	0.5	0	0.0003781	0.007186	0.005095	0.005095	-0.04068	0	0.5	0	1.335e-07	3.421e-05	2.946e-05	2.946e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	19	0	0	0.3642	0	0.5016	4.256e-07	0.1841	0	0	39	0.1841	0.001622	0.5	0	0.01314	0.1004	0.09856	0.05743	0.1339	0.0961	0	0.0007546	0.01345	0.009471	0	0	0.04416	0.5	0	0.0003024	0.007014	0.005143	0.005143	-0.04068	0	0.5	0	1.068e-07	3.335e-05	2.955e-05	2.955e-05	0	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	20	0	0.1	0.3497	0	0.5016	0.1953	0.2537	0	0	0	0.2022	0.001622	0.5	0.008305	0.8118	0.1182	0.09905	0.05169	0.1318	0.09699	0	0.04196	0.01559	0.009607	0	0	0.04416	0.5	0.3785	0.07594	0.008737	0.005233	0.005233	-0.04126	0	0.5	0.03486	0.006971	0.0002068	3.399e-05	3.399e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	21	0	0	0.3359	0	0.5018	0.07813	0.2815	0	0	1	0.2101	0.001809	0.5	0	0.7306	0.1335	0.09991	0.04652	0.1297	0.09781	0	0.03399	0.01732	0.009773	0	0	0.04416	0.5	0	0.06076	0.01004	0.005353	0.005353	-0.04126	0	0.5	0	0.005577	0.0003411	4.166e-05	4.166e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	22	0	0	0.3226	0	0.5019	0.05209	0.3	0	0	2	0.2137	0.001897	0.5	0	0.6576	0.1466	0.1011	0.04187	0.1275	0.09855	0	0.02753	0.0187	0.009962	0	0	0.04416	0.5	0	0.0486	0.011	0.005494	0.005494	-0.04126	0	0.5	0	0.004462	0.0004441	5.172e-05	5.172e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	23	0	0	0.3098	0	0.5019	-0.04722	0.1968	0	0	3	0.2002	0.00194	0.5	0	0.5918	0.1578	0.1025	0.03768	0.1253	0.09922	0	0.0223	0.01976	0.01017	0	0	0.04416	0.5	0	0.03888	0.0117	0.00565	0.00565	-0.04126	0	0.5	0	0.003569	0.0005222	6.348e-05	6.348e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	24	0	0	0.2976	0	0.5018	-0.001155	0.1905	0	0	4	0.1926	0.001788	0.5	0	0.5326	0.1671	0.1041	0.03391	0.123	0.09981	0	0.01806	0.02056	0.01039	0	0	0.04416	0.5	0	0.03111	0.01218	0.005813	0.005813	-0.04126	0	0.5	0	0.002855	0.0005805	7.641e-05	7.641e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	25	0	0	0.2858	0	0.5017	1.655e-07	0.1875	0	0	5	0.1884	0.001706	0.5	0	0.4794	0.1749	0.1059	0.03052	0.1207	0.1003	0	0.01463	0.02111	0.01062	0	0	0.04416	0.5	0	0.02489	0.0125	0.00598	0.00598	-0.04126	0	0.5	0	0.002284	0.0006231	9.008e-05	9.008e-05	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	26	0	0	0.2745	0	0.5017	0.0001776	0.1858	0	0	6	0.1863	0.001664	0.5	0	0.4314	0.1814	0.1078	0.02747	0.1183	0.1008	0	0.01185	0.02146	0.01086	0	0	0.04416	0.5	0	0.01991	0.01269	0.006148	0.006148	-0.04126	0	0.5	0	0.001827	0.0006532	0.0001042	0.0001042	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	27	0	0	0.2636	0	0.5016	0.0001415	0.185	0	0	7	0.1852	0.001643	0.5	0	0.3883	0.1865	0.1097	0.02472	0.116	0.1012	0	0.0096	0.02164	0.0111	0	0	0.04416	0.5	0	0.01593	0.01277	0.006313	0.006313	-0.04126	0	0.5	0	0.001462	0.0006735	0.0001184	0.0001184	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	28	0	0	0.2531	0	0.5016	8.513e-05	0.1846	0	0	8	0.1847	0.001632	0.5	0	0.3495	0.1906	0.1118	0.02225	0.1137	0.1015	0	0.007776	0.02166	0.01134	0	0	0.04416	0.5	0	0.01274	0.01277	0.006475	0.006475	-0.04126	0	0.5	0	0.00117	0.0006859	0.0001326	0.0001326	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	29	0	0	0.2431	0	0.5016	4.633e-05	0.1843	0	0	9	0.1844	0.001627	0.5	0	0.3145	0.1937	0.1138	0.02003	0.1113	0.1017	0	0.006298	0.02156	0.01158	0	0	0.04416	0.5	0	0.01019	0.0127	0.00663	0.00663	-0.04126	0	0.5	0	0.0009357	0.0006921	0.0001466	0.0001466	-0.001861	0	0.5	0	0	0	0	0	0	0	0.5
