|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	Base	0.005646	0.05	0.9453	0.05469	0.8594	-0.0003595	0.2273	0.2741	0.01476	0.00667	0.2143	0.1558	0.01216	-0.01091	0.04285	0.336	0.018	0	0	0	0	0	0.02882	0.3991	1.099	0.09008	1	0.0263	0.237	0.7924	0.2769	1	0.01863	0.288	0.7472	0.9944	1	0.07315	70	0.1468	0.06891	0.004118	16	0.0171	0.01306	0.001939	0	0.005297	0.003754	0.0007651
0	1	Base	0.07698	0.05	0.8516	0.1484	0.7891	-0.001732	0.2205	0.2612	0.01469	0.005477	0.2164	0.1532	0.01166	-0.0127	0.04331	0.3403	0.01804	0	0	0	0	101.7	0.02868	0.4036	1.133	0.08399	1	0.02633	0.2318	0.7135	0.2675	1	0.01915	0.2939	0.6376	0.923	1	0.06974	70	0.1468	0.06891	0.004118	16	0.0171	0.01306	0.001939	0	0.005297	0.003754	0.0007651
0	2	Base	0.1836	0.05	0.7266	0.2734	0.625	-0.001727	0.2231	0.2467	0.01447	0.005255	0.2156	0.1513	0.01189	-0.01286	0.04404	0.3459	0.01841	0	0	0	0	100.8	0.02858	0.4196	1.169	0.07884	1	0.02655	0.232	0.6792	0.2656	1	0.02227	0.3242	0.6127	0.8164	1	0.0687	70	0.1468	0.06891	0.004118	16	0.0171	0.01306	0.001939	0	0.005297	0.003754	0.0007651
0	3	Base	0.3241	0.04984	0.6406	0.3594	0.4219	-0.00201	0.2279	0.2372	0.01458	0.006105	0.2068	0.1608	0.01234	-0.0128	0.04411	0.3278	0.01847	0	0	0	0	99.26	0.02844	0.4415	1.198	0.07663	1	0.02672	0.2419	0.6649	0.254	1	0.0253	0.4016	0.6131	0.6759	1	0.06769	70	0.1468	0.06891	0.004118	16	0.0171	0.01306	0.001939	0	0.005297	0.003754	0.0007651
0	4	Base	0.3418	0.05008	0.6016	0.3984	0.4297	-0.001607	0.2238	0.2541	0.01416	0.005599	0.2075	0.154	0.01222	-0.01323	0.04463	0.333	0.01908	0	0	0	0	100.3	0.02814	0.4517	1.225	0.06952	1	0.02629	0.2382	0.6521	0.2571	1	0.02831	0.4306	0.6234	0.6582	1	0.06686	70	0.1468	0.06891	0.004118	16	0.0171	0.01306	0.001939	0	0.005297	0.003754	0.0007651
0	5	Base	0.3692	0.04969	0.6016	0.3984	0.4219	-0.001797	0.2268	0.2418	0.01432	0.005941	0.2044	0.1595	0.01277	-0.01306	0.04496	0.3295	0.01891	0	0	0	0	99.6	0.0283	0.4713	1.231	0.06786	1	0.02682	0.2445	0.66	0.2467	1	0.02987	0.4754	0.6513	0.6308	1	0.06635	63	0.1867	0.08881	0.003845	16	0.02534	0.01454	0.001817	13	0.04089	0.0208	0.001511
0	6	Base	0.516	0.04922	0.4453	0.5547	0.3359	-0.001333	0.2318	0.2424	0.01463	0.005776	0.2116	0.1538	0.01197	-0.01361	0.04481	0.3296	0.019	0	0	0	0	97.09	0.02868	0.4928	1.229	0.05971	1	0.02666	0.246	0.6751	0.2368	1	0.03254	0.5095	0.6534	0.484	1	0.06653	63	0.1867	0.08881	0.003845	16	0.02534	0.01454	0.001817	13	0.04089	0.0208	0.001511
0	7	Base	0.5084	0.04828	0.4844	0.5156	0.3047	-0.001549	0.2238	0.2418	0.01415	0.005819	0.208	0.1504	0.01241	-0.01375	0.04539	0.3319	0.01969	0	0	0	0	96.01	0.02811	0.5266	1.261	0.05645	1	0.02685	0.2476	0.6682	0.2371	1	0.03518	0.543	0.6753	0.4916	1	0.06628	63	0.1867	0.08881	0.003845	16	0.02534	0.01454	0.001817	13	0.04089	0.0208	0.001511
0	8	Base	0.5065	0.04711	0.4688	0.5312	0.2969	-0.0015	0.2273	0.2479	0.01444	0.00582	0.2121	0.1488	0.01231	-0.01392	0.0458	0.3378	0.01958	0	0	0	0	97.47	0.02852	0.5463	1.294	0.0516	1	0.02678	0.2508	0.6707	0.2301	1	0.03612	0.567	0.6956	0.4935	1	0.06652	63	0.1867	0.08881	0.003845	16	0.02534	0.01454	0.001817	13	0.04089	0.0208	0.001511
0	9	Base	0.5713	0.04352	0.4141	0.5859	0.2422	-0.001941	0.2458	0.2575	0.01449	0.00597	0.2093	0.1549	0.01229	-0.01411	0.04564	0.327	0.02002	0	0	0	0	94.24	0.02861	0.5681	1.305	0.04734	1	0.02671	0.2501	0.6785	0.2108	1	0.03867	0.6103	0.718	0.4287	1	0.06663	63	0.1867	0.08881	0.003845	16	0.02534	0.01454	0.001817	13	0.04089	0.0208	0.001511
0	10	Base	0.5995	0.04383	0.3828	0.6172	0.2344	-0.001088	0.2263	0.234	0.01498	0.006161	0.2168	0.151	0.01187	-0.01421	0.04588	0.3292	0.02038	0	0	0	0	94.44	0.02903	0.5926	1.324	0.04103	1	0.02627	0.2577	0.6916	0.1971	1	0.04056	0.6466	0.7319	0.4005	1	0.06721	54	0.2825	0.1099	0.003329	17	0.03908	0.01856	0.001607	17	0.08074	0.0495	0.002799
0	11	Base	0.5927	0.04219	0.3672	0.6328	0.2422	-0.001415	0.2329	0.2452	0.01451	0.005833	0.2106	0.1508	0.01239	-0.01468	0.04662	0.3297	0.01963	0	0	0	0	92.78	0.02858	0.6067	1.345	0.03856	1	0.02622	0.2624	0.691	0.1889	1	0.04055	0.6585	0.747	0.4073	1	0.0669	54	0.2825	0.1099	0.003329	17	0.03908	0.01856	0.001607	17	0.08074	0.0495	0.002799
0	12	Base	0.6799	0.03781	0.3125	0.6875	0.1875	-0.001648	0.2361	0.2468	0.01501	0.006346	0.2108	0.162	0.01264	-0.01434	0.04616	0.3217	0.01981	0	0	0	0	94.27	0.02919	0.6214	1.368	0.03585	1	0.02612	0.266	0.6913	0.1801	1	0.04088	0.6683	0.7525	0.3201	1	0.06708	54	0.2825	0.1099	0.003329	17	0.03908	0.01856	0.001607	17	0.08074	0.0495	0.002799
0	13	Base	0.6218	0.03953	0.3672	0.6328	0.2344	-0.001782	0.231	0.2531	0.01525	0.005978	0.2188	0.1539	0.01199	-0.01444	0.04613	0.329	0.0199	0	0	0	0	92.23	0.02944	0.6443	1.365	0.03143	1	0.02609	0.2654	0.7022	0.1759	1	0.04138	0.6713	0.7474	0.3782	1	0.06682	54	0.2825	0.1099	0.003329	17	0.03908	0.01856	0.001607	17	0.08074	0.0495	0.002799
0	14	Base	0.7113	0.03625	0.2344	0.7656	0.1641	-0.001535	0.2347	0.2559	0.01602	0.006556	0.2195	0.1656	0.01201	-0.01439	0.04575	0.3132	0.01968	0	0	0	0	91.21	0.03014	0.6598	1.394	0.02929	1	0.02622	0.2712	0.7149	0.1569	1	0.04153	0.6715	0.732	0.2887	1	0.06723	54	0.2825	0.1099	0.003329	17	0.03908	0.01856	0.001607	17	0.08074	0.0495	0.002799
0	15	Base	0.736	0.03086	0.2578	0.7422	0.1172	-0.001837	0.2337	0.2613	0.01578	0.006238	0.2168	0.1655	0.01213	-0.01439	0.04641	0.3159	0.01979	0	0	0	0	90.67	0.02994	0.6663	1.426	0.02632	1	0.02619	0.2728	0.7238	0.1411	1	0.04142	0.6866	0.7397	0.264	1	0.06734	52	0.4057	0.1542	0.003423	16	0.04939	0.02703	0.001469	17	0.1018	0.07406	0.003077
0	16	Base	0.7386	0.03391	0.2344	0.7656	0.125	-0.00193	0.2287	0.2694	0.0159	0.006417	0.2189	0.1649	0.01218	-0.01402	0.04614	0.314	0.01993	0	0	0	0	90.55	0.03012	0.6881	1.452	0.02477	1	0.02581	0.279	0.7305	0.1482	1	0.04245	0.7013	0.7399	0.2614	1	0.06714	52	0.4057	0.1542	0.003423	16	0.04939	0.02703	0.001469	17	0.1018	0.07406	0.003077
0	17	Base	0.7794	0.03266	0.1797	0.8203	0.1094	-0.001942	0.2298	0.2806	0.01671	0.006614	0.2271	0.1703	0.01156	-0.01427	0.04556	0.3112	0.02053	0	0	0	0	91.08	0.03084	0.6969	1.453	0.02297	1	0.02568	0.2771	0.7348	0.1421	1	0.04321	0.7048	0.7426	0.2206	1	0.06714	52	0.4057	0.1542	0.003423	16	0.04939	0.02703	0.001469	17	0.1018	0.07406	0.003077
0	18	Base	0.7774	0.03367	0.1641	0.8359	0.1094	-0.001878	0.2245	0.2789	0.01664	0.006602	0.2271	0.1673	0.01171	-0.01428	0.04588	0.3077	0.02025	0	0	0	0	89.24	0.03069	0.7029	1.465	0.02145	1.002	0.02562	0.2807	0.7541	0.1354	1	0.04316	0.7168	0.7366	0.2226	1	0.0667	52	0.4057	0.1542	0.003423	16	0.04939	0.02703	0.001469	17	0.1018	0.07406	0.003077
0	19	Base	0.7537	0.02797	0.2344	0.7656	0.1328	-0.002362	0.2277	0.3004	0.01683	0.006745	0.2233	0.1756	0.01193	-0.01399	0.04581	0.298	0.01991	0	0	0	0	87.99	0.03092	0.7147	1.495	0.01934	1.004	0.02548	0.2811	0.776	0.1279	1	0.04279	0.7255	0.7445	0.2463	1	0.06676	52	0.4057	0.1542	0.003423	16	0.04939	0.02703	0.001469	17	0.1018	0.07406	0.003077
0	20	Base	0.8093	0.02453	0.1562	0.8438	0.09375	-0.002388	0.2205	0.3016	0.01658	0.006795	0.2224	0.1737	0.01217	-0.01402	0.04614	0.3047	0.01958	0	0	0	0	89.12	0.03062	0.7226	1.516	0.01881	1.007	0.02579	0.2846	0.7659	0.1168	1	0.04249	0.7219	0.7525	0.1907	1	0.06648	46	0.5415	0.1892	0.00329	18	0.05514	0.03165	0.001518	17	0.1105	0.08499	0.003995
0	21	Base	0.8247	0.02398	0.1406	0.8594	0.07812	-0.002038	0.2135	0.3107	0.01677	0.00659	0.2291	0.1669	0.01184	-0.01372	0.04624	0.3086	0.01959	0	0	0	0	88.58	0.03076	0.7278	1.538	0.01752	1.011	0.02556	0.2902	0.7702	0.1011	1	0.04268	0.7393	0.7749	0.1753	1	0.06618	46	0.5415	0.1892	0.00329	18	0.05514	0.03165	0.001518	17	0.1105	0.08499	0.003995
0	22	Base	0.8406	0.02477	0.1562	0.8438	0.0625	-0.002594	0.2165	0.3281	0.01708	0.006616	0.2288	0.1736	0.01167	-0.01393	0.04584	0.3003	0.01981	0	0	0	0	87	0.031	0.7392	1.582	0.01633	1.014	0.02569	0.2894	0.7809	0.1017	1	0.04226	0.7326	0.7749	0.1594	1	0.06674	46	0.5415	0.1892	0.00329	18	0.05514	0.03165	0.001518	17	0.1105	0.08499	0.003995
0	23	Base	0.7717	0.02453	0.2031	0.7969	0.125	-0.002318	0.2194	0.3328	0.01707	0.006877	0.2272	0.1759	0.01176	-0.014	0.04569	0.3014	0.01906	0	0	0	0	86.5	0.03098	0.7484	1.583	0.01577	1.018	0.02552	0.288	0.7816	0.1035	1	0.04161	0.7375	0.7619	0.2283	1	0.0666	46	0.5415	0.1892	0.00329	18	0.05514	0.03165	0.001518	17	0.1105	0.08499	0.003995
0	24	Base	0.8422	0.01945	0.125	0.875	0.07812	-0.00236	0.2128	0.3404	0.01652	0.006641	0.2244	0.1692	0.01218	-0.01387	0.04683	0.3078	0.01933	0	0	0	0	86.66	0.03055	0.7508	1.601	0.01548	1.022	0.02579	0.2918	0.7765	0.1055	1	0.04231	0.7525	0.779	0.1578	1	0.06675	46	0.5415	0.1892	0.00329	18	0.05514	0.03165	0.001518	17	0.1105	0.08499	0.003995
