|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	cpu_nd8_Base	0.009117	0.05	0.925	0.075	0.8667	-0.002067	0.2265	0.2669	0.01583	0.006376	0.2127	0.1699	0.01163	-0.008197	0.04871	0.2727	0.02834	0	0	0	0	0	0.02889	0.3922	1.099	0.08841	1	0.02768	0.2392	0.7998	0.2593	1	0.02242	0.2961	0.771	0.9909	1	0.07315	70	0.1494	0.06907	0.004121	18	0.01794	0.01421	0.002032	0	0.007527	0.005193	0.001174
0	1	cpu_nd8_Base	0.136	0.05	0.8047	0.1953	0.7031	-0.001614	0.2195	0.26	0.01523	0.006072	0.2218	0.1566	0.01115	-0.008311	0.04815	0.2701	0.02851	0	0	0	0	169.4	0.02884	0.4003	1.14	0.08354	1	0.02696	0.2398	0.7236	0.2611	1	0.02506	0.3464	0.6733	0.864	1	0.06974	70	0.1494	0.06907	0.004121	18	0.01794	0.01421	0.002032	0	0.007527	0.005193	0.001174
0	2	cpu_nd8_Base	0.2711	0.04953	0.6484	0.3516	0.5234	-0.001684	0.223	0.2425	0.01469	0.006185	0.2163	0.1576	0.01064	-0.008624	0.04928	0.2708	0.03109	0	0	0	0	166.5	0.02854	0.4307	1.165	0.07657	1	0.02678	0.2512	0.6922	0.2583	1	0.03031	0.4534	0.6477	0.7289	1	0.0687	70	0.1494	0.06907	0.004121	18	0.01794	0.01421	0.002032	0	0.007527	0.005193	0.001174
0	3	cpu_nd8_Base	0.3623	0.04945	0.6016	0.3984	0.4844	-0.00186	0.2227	0.2429	0.01411	0.006654	0.2212	0.1501	0.01121	-0.008764	0.04964	0.2667	0.03136	0	0	0	0	163.9	0.02858	0.4454	1.193	0.07185	1	0.02633	0.2556	0.6832	0.2433	1	0.03496	0.5102	0.6494	0.6377	1	0.06769	70	0.1494	0.06907	0.004121	18	0.01794	0.01421	0.002032	0	0.007527	0.005193	0.001174
0	4	cpu_nd8_Base	0.4107	0.04828	0.5859	0.4141	0.4219	-0.00163	0.2261	0.2434	0.01422	0.006379	0.2186	0.1454	0.0111	-0.008981	0.05	0.2677	0.0326	0	0	0	0	161.7	0.02819	0.4793	1.225	0.06568	1	0.02624	0.2655	0.6816	0.2304	1	0.03843	0.5724	0.6718	0.5893	1	0.06686	70	0.1494	0.06907	0.004121	18	0.01794	0.01421	0.002032	0	0.007527	0.005193	0.001174
0	5	cpu_nd8_Base	0.4399	0.04781	0.5312	0.4688	0.3828	-0.001995	0.2264	0.2362	0.01433	0.006713	0.2187	0.1455	0.0101	-0.00914	0.05038	0.2641	0.03392	0	0	0	0	163.2	0.0282	0.4932	1.228	0.06176	1	0.02624	0.2722	0.6838	0.2206	1	0.04046	0.5895	0.6754	0.5601	1	0.06635	62	0.1983	0.08938	0.003768	16	0.03736	0.01854	0.001629	16	0.08545	0.04576	0.001951
0	6	cpu_nd8_Base	0.4588	0.04516	0.5156	0.4844	0.3984	-0.001291	0.2293	0.2413	0.01368	0.006852	0.2236	0.1459	0.0105	-0.008925	0.05026	0.2559	0.03546	0	0	0	0	156.9	0.02872	0.5215	1.227	0.05343	1	0.02568	0.2843	0.699	0.2172	1	0.04397	0.6313	0.687	0.5412	1	0.06653	62	0.1983	0.08938	0.003768	16	0.03736	0.01854	0.001629	16	0.08545	0.04576	0.001951
0	7	cpu_nd8_Base	0.6079	0.04047	0.3438	0.6562	0.2422	-0.001637	0.2261	0.2294	0.01402	0.007035	0.2181	0.142	0.01107	-0.009249	0.05154	0.2515	0.03531	0	0	0	0	154.1	0.02812	0.5454	1.262	0.04949	1	0.0257	0.2946	0.7033	0.1908	1	0.04626	0.6579	0.6997	0.3921	1	0.06628	62	0.1983	0.08938	0.003768	16	0.03736	0.01854	0.001629	16	0.08545	0.04576	0.001951
0	8	cpu_nd8_Base	0.5595	0.03977	0.4375	0.5625	0.2969	-0.001647	0.2309	0.2324	0.01313	0.007174	0.2223	0.141	0.01102	-0.009099	0.05128	0.2467	0.0356	0	0	0	0	153.2	0.02847	0.5693	1.297	0.04378	1	0.02551	0.3043	0.7058	0.183	1	0.04601	0.6707	0.7214	0.4405	1	0.06652	62	0.1983	0.08938	0.003768	16	0.03736	0.01854	0.001629	16	0.08545	0.04576	0.001951
0	9	cpu_nd8_Base	0.5605	0.0375	0.4062	0.5938	0.2891	-0.001997	0.2454	0.2514	0.01459	0.007191	0.2239	0.1421	0.01036	-0.009242	0.05149	0.2427	0.03645	0	0	0	0	151.6	0.02855	0.5913	1.311	0.04009	1	0.02534	0.316	0.7181	0.1687	1	0.04801	0.6911	0.7428	0.4395	1	0.06663	62	0.1983	0.08938	0.003768	16	0.03736	0.01854	0.001629	16	0.08545	0.04576	0.001951
