|Run	|Epoch	$RunName	#ACCPos	#ACCNeg	#Gated	#Should	#Match	#PFCVM_RT	#PFCVM_ActAvg	#MtxGo_ActAvg	#Rew	#PerTrlMSec
0	0	Base	0.8348	0.3321	0.5547	0.4141	0.7969	0.4606	0.08033	0.2532	0.5938	0
0	1	Base	0.007528	0.1535	0.5703	0.5156	0.8828	0.4506	0.1089	0.2498	0.7656	15.81
0	2	Base	0.09033	0.4017	0.4844	0.4766	0.9141	0.4607	0.1013	0.2417	0.8281	15.86
0	3	Base	0.5337	0.6624	0.5391	0.5078	0.9375	0.4464	0.1179	0.2733	0.875	15.81
0	4	Base	0.6147	0.9411	0.5703	0.5625	0.9766	0.4416	0.1329	0.2997	0.9531	15.99
0	5	Base	0.9316	0.8383	0.5547	0.4766	0.875	0.4515	0.1162	0.286	0.75	15.9
0	6	Base	0.4209	0.2139	0.6016	0.5156	0.8984	0.4572	0.1244	0.3044	0.7969	16
0	7	Base	0.7572	0.4155	0.6406	0.5234	0.8672	0.4613	0.1353	0.3227	0.7344	15.99
0	8	Base	0.1204	0.4583	0.6172	0.5547	0.9062	0.4312	0.1434	0.3496	0.8125	15.91
0	9	Base	0.8713	0.1651	0.5938	0.5312	0.8906	0.419	0.1377	0.3317	0.7812	15.92
0	10	Base	0.9192	0.932	0.6406	0.4844	0.8281	0.4337	0.1312	0.3409	0.6562	15.92
0	11	Base	0.1204	0.1486	0.5859	0.4922	0.875	0.4297	0.1306	0.3413	0.75	15.84
0	12	Base	0.103	0.7698	0.5547	0.5078	0.9062	0.4204	0.133	0.3426	0.8125	15.9
0	13	Base	0.02514	0.8545	0.625	0.5391	0.8984	0.4407	0.1361	0.3513	0.7969	15.84
0	14	Base	0.4515	0.5608	0.5469	0.4453	0.8672	0.4302	0.1173	0.3386	0.7344	15.62
0	15	Base	0.7832	0.9527	0.6094	0.5469	0.9062	0.4428	0.1412	0.3798	0.8125	15.58
0	16	Base	0.8458	0.5663	0.5391	0.4531	0.8828	0.4533	0.1064	0.3368	0.7656	15.55
0	17	Base	0.666	0.7635	0.5938	0.4688	0.8438	0.4016	0.1247	0.3619	0.6875	15.49
0	18	Base	0.3569	0.9879	0.5625	0.4844	0.9062	0.4253	0.1228	0.3645	0.8125	15.35
0	19	Base	0.02381	0.7235	0.5312	0.4688	0.8906	0.4272	0.1118	0.3635	0.7812	15.29
0	20	Base	0.3705	0.1733	0.6016	0.5312	0.9297	0.449	0.1228	0.3675	0.8594	15.52
0	21	Base	0.8569	0.9785	0.6719	0.5938	0.9062	0.4203	0.1464	0.4235	0.8125	15.37
0	22	Base	0.7128	0.5077	0.625	0.4844	0.8281	0.4383	0.1225	0.3908	0.6562	15.45
0	23	Base	0.1806	0.7917	0.5781	0.4922	0.8672	0.4583	0.1018	0.348	0.7344	15.28
0	24	Base	0.04497	0.522	0.5547	0.4688	0.8828	0.4446	0.105	0.3569	0.7656	15.39
0	25	Base	0.4096	0.07153	0.5312	0.3906	0.8438	0.4571	0.08717	0.3177	0.6875	15.38
0	26	Base	0.03616	0.2128	0.5938	0.4844	0.8906	0.4271	0.1224	0.3831	0.7812	15.23
0	27	Base	0.8305	0.8565	0.6719	0.5469	0.8438	0.4493	0.1256	0.4048	0.6875	15.43
0	28	Base	0.653	0.1001	0.6094	0.4766	0.8672	0.437	0.1211	0.3959	0.7344	15.3
0	29	Base	0.115	0.04971	0.5391	0.4453	0.8594	0.445	0.1047	0.3817	0.7188	15.27
