|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	0	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9766	0.1021	0.1016	-0.0002611	0
0	0	1	2024-02-29-seq3x5pgi_49u_good_Base	1.016	0.1036	0.138	0.03495	50.15
0	0	2	2024-02-29-seq3x5pgi_49u_good_Base	1.117	0.1097	0.1979	0.08915	49.99
0	0	3	2024-02-29-seq3x5pgi_49u_good_Base	1.117	0.1168	0.1823	0.0662	49.52
0	0	4	2024-02-29-seq3x5pgi_49u_good_Base	1.883	0.1324	0.4505	0.3213	49.76
0	0	5	2024-02-29-seq3x5pgi_49u_good_Base	2.633	0.1707	0.7969	0.6325	49.66
0	0	6	2024-02-29-seq3x5pgi_49u_good_Base	2.969	0.2303	0.9844	0.7617	50.05
0	1	0	2024-02-29-seq3x5pgi_49u_good_Base	1.047	0.1031	0.1328	0.03024	0
0	1	1	2024-02-29-seq3x5pgi_49u_good_Base	0.7969	0.1054	0.112	0.006759	49.93
0	1	2	2024-02-29-seq3x5pgi_49u_good_Base	0.6953	0.1067	0.1016	-0.004999	49.63
0	1	3	2024-02-29-seq3x5pgi_49u_good_Base	0.9141	0.1104	0.1536	0.0438	49.59
0	1	4	2024-02-29-seq3x5pgi_49u_good_Base	1.031	0.1141	0.1875	0.07413	49.34
0	1	5	2024-02-29-seq3x5pgi_49u_good_Base	0.7109	0.1168	0.1042	-0.0128	49.37
0	1	6	2024-02-29-seq3x5pgi_49u_good_Base	1.359	0.1226	0.2786	0.1576	49.48
0	1	7	2024-02-29-seq3x5pgi_49u_good_Base	1.156	0.1326	0.2109	0.07915	49.13
0	1	8	2024-02-29-seq3x5pgi_49u_good_Base	1.305	0.1405	0.2708	0.1316	48.52
0	1	9	2024-02-29-seq3x5pgi_49u_good_Base	1.797	0.1584	0.4453	0.2898	48.4
0	1	10	2024-02-29-seq3x5pgi_49u_good_Base	2.414	0.1899	0.6849	0.5	47.99
0	1	11	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2428	0.9844	0.7491	48.93
0	2	0	2024-02-29-seq3x5pgi_49u_good_Base	0.03906	0.1	0	-0.1	0
0	2	1	2024-02-29-seq3x5pgi_49u_good_Base	0.3438	0.1012	0.06771	-0.03329	50.17
0	2	2	2024-02-29-seq3x5pgi_49u_good_Base	0.5234	0.102	0.0651	-0.03683	50.65
0	2	3	2024-02-29-seq3x5pgi_49u_good_Base	0.9766	0.1058	0.1563	0.05105	58.34
0	2	4	2024-02-29-seq3x5pgi_49u_good_Base	1.297	0.1113	0.2682	0.1586	58.87
0	2	5	2024-02-29-seq3x5pgi_49u_good_Base	2.266	0.1407	0.6172	0.4813	61.03
0	2	6	2024-02-29-seq3x5pgi_49u_good_Base	2.516	0.1833	0.7083	0.5303	61.82
0	2	7	2024-02-29-seq3x5pgi_49u_good_Base	2.836	0.2316	0.9089	0.6841	63.22
0	2	8	2024-02-29-seq3x5pgi_49u_good_Base	2.945	0.2873	0.9714	0.691	62.75
0	2	9	2024-02-29-seq3x5pgi_49u_good_Base	2.992	0.3417	0.9974	0.6623	62
0	3	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9844	0.1019	0.1016	-8.488e-06	0
0	3	1	2024-02-29-seq3x5pgi_49u_good_Base	0.875	0.104	0.1198	0.01604	60.13
0	3	2	2024-02-29-seq3x5pgi_49u_good_Base	0.4297	0.1029	0.04948	-0.05374	63.27
0	3	3	2024-02-29-seq3x5pgi_49u_good_Base	0.5078	0.1023	0.07813	-0.02397	62.35
0	3	4	2024-02-29-seq3x5pgi_49u_good_Base	1.305	0.11	0.2266	0.1178	62.58
0	3	5	2024-02-29-seq3x5pgi_49u_good_Base	2.016	0.1263	0.4844	0.3616	61.37
0	3	6	2024-02-29-seq3x5pgi_49u_good_Base	2.812	0.1737	0.8932	0.7268	63.59
0	3	7	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2355	0.9948	0.7669	61.98
0	4	0	2024-02-29-seq3x5pgi_49u_good_Base	0.07812	0.1002	0.01823	-0.08191	0
0	4	1	2024-02-29-seq3x5pgi_49u_good_Base	0.5859	0.1022	0.09635	-0.005447	61.68
0	4	2	2024-02-29-seq3x5pgi_49u_good_Base	0.5781	0.1042	0.08854	-0.01558	61.42
0	4	3	2024-02-29-seq3x5pgi_49u_good_Base	1.516	0.1125	0.3255	0.2152	62.02
0	4	4	2024-02-29-seq3x5pgi_49u_good_Base	1.953	0.1338	0.401	0.2699	61.74
0	4	5	2024-02-29-seq3x5pgi_49u_good_Base	1.797	0.1542	0.3646	0.2125	61.83
0	4	6	2024-02-29-seq3x5pgi_49u_good_Base	1.422	0.1655	0.2474	0.08268	61.11
0	4	7	2024-02-29-seq3x5pgi_49u_good_Base	1.211	0.1695	0.2318	0.06288	61.28
0	4	8	2024-02-29-seq3x5pgi_49u_good_Base	1.586	0.1774	0.3229	0.147	60.28
0	4	9	2024-02-29-seq3x5pgi_49u_good_Base	1.328	0.1871	0.2344	0.04772	59.49
0	4	10	2024-02-29-seq3x5pgi_49u_good_Base	0.4688	0.1828	0.05729	-0.1268	62.01
0	4	11	2024-02-29-seq3x5pgi_49u_good_Base	0.2656	0.1711	0.02865	-0.1439	60
0	4	12	2024-02-29-seq3x5pgi_49u_good_Base	0.7422	0.162	0.08333	-0.07949	60.59
0	4	13	2024-02-29-seq3x5pgi_49u_good_Base	0.9844	0.1576	0.1172	-0.04083	60.33
0	4	14	2024-02-29-seq3x5pgi_49u_good_Base	1.156	0.1578	0.1745	0.0168	60.15
0	4	15	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.1588	0.1328	-0.02628	60.68
0	4	16	2024-02-29-seq3x5pgi_49u_good_Base	0.4062	0.1513	0.05729	-0.09496	58.72
0	4	17	2024-02-29-seq3x5pgi_49u_good_Base	0.7891	0.1453	0.1198	-0.02581	59.69
0	4	18	2024-02-29-seq3x5pgi_49u_good_Base	1.672	0.1554	0.388	0.2349	57.38
0	4	19	2024-02-29-seq3x5pgi_49u_good_Base	1.312	0.1707	0.2682	0.09856	59.73
0	4	20	2024-02-29-seq3x5pgi_49u_good_Base	1.43	0.1769	0.2943	0.1186	61.31
0	4	21	2024-02-29-seq3x5pgi_49u_good_Base	2.109	0.1936	0.5234	0.3332	57.77
0	4	22	2024-02-29-seq3x5pgi_49u_good_Base	2.758	0.2338	0.8464	0.6187	59.27
0	4	23	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2907	0.9948	0.7112	59.74
0	5	0	2024-02-29-seq3x5pgi_49u_good_Base	0.03125	0.1	0.002604	-0.09742	0
0	5	1	2024-02-29-seq3x5pgi_49u_good_Base	0.3672	0.1008	0.0651	-0.03545	61.18
0	5	2	2024-02-29-seq3x5pgi_49u_good_Base	0.5938	0.1034	0.09635	-0.006761	63.5
0	5	3	2024-02-29-seq3x5pgi_49u_good_Base	0.4531	0.1034	0.0599	-0.0436	61.42
0	5	4	2024-02-29-seq3x5pgi_49u_good_Base	0.7734	0.105	0.1172	0.0125	61.78
