|Run	|Epoch	$RunName	#ACCPos	#ACCNeg	#Gated	#Should	#Match	#ACCPosVM_RT	#ACCPosVM_ActAvg	#MtxGo_ActAvg	#Rew	#PerTrlMSec
0	0	Base	0.8348	0.3321	0.125	0.4141	0.6172	0.5826	0.02401	0.4402	0.03125	0
0	1	Base	0.007528	0.1535	0.08594	0.5156	0.5234	0.6032	0.01539	0.3044	0.03906	6.274
0	2	Base	0.09033	0.4017	0.1562	0.4766	0.6641	0.5491	0.01798	0.3205	0.1406	6.405
0	3	Base	0.5337	0.6624	0.2969	0.5078	0.7578	0.5448	0.03008	0.3669	0.2656	6.563
0	4	Base	0.6147	0.9411	0.4766	0.5625	0.8672	0.5175	0.04637	0.4099	0.4297	7.953
0	5	Base	0.9316	0.8383	0.3359	0.4766	0.7656	0.504	0.03835	0.3862	0.2422	6.33
0	6	Base	0.4209	0.2139	0.3828	0.5156	0.8359	0.4949	0.04325	0.4073	0.3516	6.324
0	7	Base	0.7572	0.4155	0.4453	0.5234	0.8125	0.4926	0.05925	0.4583	0.3359	6.751
0	8	Base	0.1204	0.4583	0.4766	0.5547	0.7969	0.488	0.05853	0.4274	0.3516	6.469
0	9	Base	0.8713	0.1651	0.4922	0.5312	0.8984	0.4575	0.06205	0.4156	0.4297	6.438
0	10	Base	0.9192	0.932	0.4844	0.4844	0.9062	0.461	0.06585	0.4696	0.3906	6.877
0	11	Base	0.1204	0.1486	0.4766	0.4922	0.9062	0.4781	0.06016	0.4679	0.3984	6.539
0	12	Base	0.103	0.7698	0.5	0.5078	0.9453	0.4555	0.06883	0.4754	0.4531	6.422
0	13	Base	0.02514	0.8545	0.5625	0.5391	0.9453	0.4652	0.07311	0.5093	0.4844	6.551
0	14	Base	0.4515	0.5608	0.4688	0.4453	0.9141	0.4698	0.06487	0.4791	0.3594	6.541
0	15	Base	0.7832	0.9527	0.5312	0.5469	0.9375	0.4584	0.07619	0.534	0.4844	6.504
0	16	Base	0.8458	0.5663	0.4766	0.4531	0.8984	0.4707	0.06332	0.4994	0.3516	6.4
0	17	Base	0.666	0.7635	0.4844	0.4688	0.9062	0.4542	0.06831	0.5048	0.375	6.483
0	18	Base	0.3569	0.9879	0.4844	0.4844	0.9219	0.4569	0.06716	0.4692	0.4062	6.454
0	19	Base	0.02381	0.7235	0.4609	0.4688	0.9453	0.4487	0.06394	0.4982	0.4141	6.417
0	20	Base	0.3705	0.1733	0.5469	0.5312	0.9375	0.4411	0.07986	0.5056	0.4688	6.473
0	21	Base	0.8569	0.9785	0.5703	0.5938	0.9141	0.4377	0.08377	0.5368	0.5078	6.441
0	22	Base	0.7128	0.5077	0.4922	0.4844	0.9297	0.4499	0.07379	0.5153	0.4141	6.572
0	23	Base	0.1806	0.7917	0.4922	0.4922	0.9219	0.4648	0.06697	0.4654	0.4141	6.498
0	24	Base	0.04497	0.522	0.4609	0.4688	0.9766	0.4531	0.06569	0.4866	0.4453	6.444
0	25	Base	0.4096	0.07153	0.4141	0.3906	0.9141	0.4532	0.05674	0.458	0.3047	6.475
0	26	Base	0.03616	0.2128	0.4844	0.4844	0.9375	0.4439	0.07061	0.4661	0.4219	6.466
0	27	Base	0.8305	0.8565	0.5391	0.5469	0.9453	0.4538	0.07457	0.5152	0.4922	6.515
0	28	Base	0.653	0.1001	0.5078	0.4766	0.9375	0.4426	0.07278	0.484	0.4141	6.495
0	29	Base	0.115	0.04971	0.4453	0.4453	0.9219	0.463	0.06621	0.4683	0.3672	6.519
