$TrialName	#Run	#Epoch	#Sequence	#RunName	#ACCPos	#ACCNeg	#Gated	#Should	#Match	#PFCVM_RT	#PFCVM_ActAvg	#MtxGo_ActAvg	#Rew
0.000000_0.000000	0	0	8	0	0	0	0.9688	0	0.03125	0.7037	0.07159	0.3874	-0.9375
0.000000_0.100000	0	0	40	0	0	0.1	0.9062	0	0.09375	0.6671	0.0816	0.389	-0.8125
0.000000_0.200000	0	0	72	0	0	0.2	0.6875	0	0.3125	0.49	0.06613	0.3775	-0.375
0.000000_0.300000	0	0	104	0	0	0.3	0	0	1	0	0.01037	0.219	1
0.000000_0.400000	0	0	136	0	0	0.4	0	0	1	0	0.007753	0.1598	1
0.000000_0.500000	0	0	168	0	0	0.5	0	0	1	0	0.0001957	0.1002	1
0.000000_0.600000	0	0	200	0	0	0.6	0	0	1	0	0	0.007802	1
0.000000_0.700000	0	0	232	0	0	0.7	0	0	1	0	0	0	1
0.000000_0.800000	0	0	264	0	0	0.8	0	0	1	0	0	0	1
0.000000_0.900000	0	0	296	0	0	0.9	0	0	1	0	0	0	1
0.000000_1.000000	0	0	328	0	0	1	0	0	1	0	0	0	1
0.100000_0.000000	0	0	360	0	0.1	0	0.8438	1	0.8438	0.6823	0.07723	0.3868	0.6875
0.100000_0.100000	0	0	392	0	0.1	0.1	0.7812	0	0.2188	0.71	0.06284	0.3977	-0.5625
0.100000_0.200000	0	0	424	0	0.1	0.2	0.5	0	0.5	0.45	0.0574	0.3747	0
0.100000_0.300000	0	0	456	0	0.1	0.3	0	0	1	0	0.005872	0.2167	1
0.100000_0.400000	0	0	488	0	0.1	0.4	0	0	1	0	0.004111	0.1262	1
0.100000_0.500000	0	0	520	0	0.1	0.5	0	0	1	0	0	0.04449	1
0.100000_0.600000	0	0	552	0	0.1	0.6	0	0	1	0	0	0.007052	1
0.100000_0.700000	0	0	584	0	0.1	0.7	0	0	1	0	0	0	1
0.100000_0.800000	0	0	616	0	0.1	0.8	0	0	1	0	0	0	1
0.100000_0.900000	0	0	648	0	0.1	0.9	0	0	1	0	0	0	1
0.100000_1.000000	0	0	680	0	0.1	1	0	0	1	0	0	0	1
0.200000_0.000000	0	0	712	0	0.2	0	1	1	1	0.6758	0.0869	0.3948	1
0.200000_0.100000	0	0	744	0	0.2	0.1	0.75	1	0.75	0.6478	0.06842	0.3919	0.5
0.200000_0.200000	0	0	776	0	0.2	0.2	0.3125	0	0.6875	0.457	0.04525	0.3753	0.375
0.200000_0.300000	0	0	808	0	0.2	0.3	0	0	1	0	0.008221	0.2128	1
0.200000_0.400000	0	0	840	0	0.2	0.4	0	0	1	0	0.002545	0.1342	1
0.200000_0.500000	0	0	872	0	0.2	0.5	0	0	1	0	0	0.0476	1
0.200000_0.600000	0	0	904	0	0.2	0.6	0	0	1	0	0	0.007136	1
0.200000_0.700000	0	0	936	0	0.2	0.7	0	0	1	0	0	0	1
0.200000_0.800000	0	0	968	0	0.2	0.8	0	0	1	0	0.0001603	0	1
0.200000_0.900000	0	0	1000	0	0.2	0.9	0	0	1	0	0	0	1
0.200000_1.000000	0	0	1032	0	0.2	1	0	0	1	0	0	0	1
0.300000_0.000000	0	0	1064	0	0.3	0	0.9688	1	0.9688	0.5927	0.08358	0.3887	0.9375
0.300000_0.100000	0	0	1096	0	0.3	0.1	0.9062	1	0.9062	0.6115	0.07572	0.3903	0.8125
0.300000_0.200000	0	0	1128	0	0.3	0.2	0.5	1	0.5	0.445	0.05111	0.3579	0
0.300000_0.300000	0	0	1160	0	0.3	0.3	0	0	1	0	0.009983	0.2178	1
0.300000_0.400000	0	0	1192	0	0.3	0.4	0	0	1	0	0.01151	0.1503	1
0.300000_0.500000	0	0	1224	0	0.3	0.5	0	0	1	0	0	0.05368	1
0.300000_0.600000	0	0	1256	0	0.3	0.6	0	0	1	0	0	0.008049	1
0.300000_0.700000	0	0	1288	0	0.3	0.7	0	0	1	0	0	0	1
0.300000_0.800000	0	0	1320	0	0.3	0.8	0	0	1	0	0	0	1
0.300000_0.900000	0	0	1352	0	0.3	0.9	0	0	1	0	0	0	1
0.300000_1.000000	0	0	1384	0	0.3	1	0	0	1	0	0	0	1
0.400000_0.000000	0	0	1416	0	0.4	0	1	1	1	0.5073	0.1182	0.4314	1
0.400000_0.100000	0	0	1448	0	0.4	0.1	1	1	1	0.6483	0.103	0.4394	1
0.400000_0.200000	0	0	1480	0	0.4	0.2	0.9062	1	0.9062	0.4956	0.08503	0.4116	0.8125
0.400000_0.300000	0	0	1512	0	0.4	0.3	0.3125	1	0.3125	0.49	0.03558	0.303	-0.375
0.400000_0.400000	0	0	1544	0	0.4	0.4	0.25	0	0.75	0.465	0.04151	0.2742	0.5
0.400000_0.500000	0	0	1576	0	0.4	0.5	0	0	1	0	0.008613	0.2019	1
0.400000_0.600000	0	0	1608	0	0.4	0.6	0	0	1	0	0	0.00282	1
0.400000_0.700000	0	0	1640	0	0.4	0.7	0	0	1	0	0	0	1
0.400000_0.800000	0	0	1672	0	0.4	0.8	0	0	1	0	0	0	1
0.400000_0.900000	0	0	1704	0	0.4	0.9	0	0	1	0	0.0001002	0	1
0.400000_1.000000	0	0	1736	0	0.4	1	0	0	1	0	0.0001443	0	1
0.500000_0.000000	0	0	1768	0	0.5	0	1	1	1	0.3969	0.198	0.5751	1
0.500000_0.100000	0	0	1800	0	0.5	0.1	1	1	1	0.4382	0.1673	0.5472	1
