#Time	#Vsoma	#Vdend	#Vdend2	#Cyt_Ca	#PSD_Ca	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#NMDA_Vca	#NMDA_Ji	#PSD_VGCC_Jca	#Cyt_VGCC_Jca	#Cyt_CaMKIIact	#PSD_Ca3CaM	#PSD_CaMKIIact	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
0.55	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199307	2.73751e-05	1.52042	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12584	0.346506	0.346081	1.76425
0.985	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199433	2.73751e-05	1.51991	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.985	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199433	2.73751e-05	1.51991	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.985	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199433	2.73751e-05	1.51991	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.986	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199433	2.73751e-05	1.51991	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.988	-65.0001	-65.0001	-65.0001	0.0499995	0.0500003	0.0405828	0	0	0.866875	0.127422	0.00570257	2.6574	0	1.55178e-31	9.02484e-32	0.199433	2.73751e-05	1.51991	0.00696706	0.00696812	0.000238414	0.0452181	0.000328448	0.00327721	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.991	-64.8785	-64.599	-64.599	0.192715	1.88441	0.0415621	0.145796	35354.7	0.85463	0.13247	0.0129	2.70535	3.91444	1.80314e-31	1.04867e-31	0.199433	0.0020515	1.51973	0.00698549	0.00723114	0.000238543	0.0452181	0.000332976	0.00327722	0.0452181	0.00878809	1.13058	0.0527608	6.12583	0.34651	0.346089	1.76427
0.994	-63.5053	-63.1804	-63.1804	0.649025	4.00692	0.0452106	0.262785	67854	0.531006	0.341631	0.127362	2.8807	7.50624	3.95754e-30	2.30163e-30	0.204128	0.339636	1.57045	0.00818813	0.0188355	0.00073528	0.0452181	0.00593382	0.00330381	0.0452181	0.0087881	1.13052	0.0527611	6.12583	0.34651	0.346089	1.76427
0.999	-62.9546	-62.8884	-62.8884	0.979953	3.54367	0.0459986	0.212723	55637.2	0.392425	0.464882	0.142693	2.91791	6.15361	4.94906e-29	2.87828e-29	0.25981	0.608323	1.87509	0.0205823	0.0853112	0.00654602	0.0452181	0.0374376	0.00368917	0.0452181	0.00878843	1.12966	0.0527693	6.12583	0.34651	0.346089	1.76427
1.001	-62.9209	-62.9648	-62.9648	1.01755	3.32806	0.0457911	0.197213	51407.7	0.362496	0.493916	0.143588	2.90814	5.68611	5.66811e-29	3.29647e-29	0.282612	0.589894	1.96432	0.0264355	0.105434	0.00893325	0.0452181	0.0465587	0.00388991	0.0452181	0.00878873	1.12923	0.0527752	6.12583	0.34651	0.346089	1.76427
1.001	-59.8321	-62.6617	-62.6617	1.02215	3.30824	0.0466192	0.194908	51487	0.358143	0.498256	0.143601	2.94706	5.69374	5.81147e-29	3.37984e-29	0.286279	0.585688	1.97775	0.0274187	0.108438	0.00931795	0.0452181	0.0479272	0.00392471	0.0452181	0.00878879	1.12915	0.0527763	6.12583	0.34651	0.346089	1.76427
1.001	-49.6243	-58.8049	-58.8049	1.05138	3.6219	0.0584764	0.189253	59025.2	0.347437	0.507971	0.144592	3.47951	6.50782	1.46887e-27	8.54265e-28	0.295589	0.587459	2.01103	0.029969	0.116024	0.0102956	0.0452181	0.0513189	0.00401626	0.0452181	0.00878896	1.12896	0.0527792	6.12583	0.34651	0.346089	1.76427
1.002	19.4625	-2.91376	-2.91376	1.53035	9.21956	0.665159	0.17805	156451	0.32243	0.496531	0.181039	9.80301	3.45081	187.162	108.85	0.31539	1.21086	2.09268	0.0357609	0.141689	0.0123859	0.0452181	0.0598178	0.00422198	0.0452181	0.00878939	1.12854	0.052786	6.12583	0.34651	0.346089	1.76427
1.004	-34.4926	-39.9005	-39.9005	3.10893	7.51116	0.167032	0.154339	96948.2	0.266199	0.48314	0.250661	7.00788	10.2862	15778.1	9176.23	0.385297	3.01711	2.52513	0.0564749	0.277453	0.0198059	0.0452181	0.104887	0.00477174	0.0452181	0.00879045	1.12729	0.0528021	6.12583	0.34651	0.346089	1.76427
1.007	-57.0693	-55.2028	-55.2028	2.1331	3.55819	0.0720545	0.120861	43764.9	0.203208	0.577918	0.218874	4.03983	4.80737	2447.16	1423.22	0.648014	1.89055	3.24742	0.131587	0.459313	0.0474753	0.0452181	0.17916	0.00630924	0.045218	0.00879362	1.12359	0.0528503	6.12583	0.34651	0.346089	1.76427
1.01	-60.3115	-59.8948	-59.8948	1.54814	2.23711	0.0548648	0.0917135	27309.3	0.155841	0.688393	0.155766	3.322	3.01382	121.641	70.7439	0.948763	0.784019	3.74301	0.232853	0.529375	0.0797507	0.045218	0.227463	0.00963359	0.045218	0.00880475	1.11751	0.052978	6.12583	0.34651	0.346088	1.76427
1.015	-61.4877	-61.5077	-61.5077	1.16636	1.60201	0.0499044	0.0688979	19139.2	0.122199	0.760262	0.117538	3.09914	2.11483	1.94334	1.13021	1.13438	0.33759	4.06184	0.320924	0.536178	0.10105	0.0452179	0.253712	0.0152964	0.0452179	0.00883581	1.10987	0.0532222	6.12583	0.34651	0.346085	1.76427
1.022	-62.7343	-62.7874	-62.7874	0.840635	1.14021	0.0462742	0.0510473	13410.6	0.101183	0.805829	0.0929879	2.93088	1.48315	0.00883503	0.00513829	1.2184	0.137351	4.292	0.386202	0.520311	0.112674	0.0452176	0.26698	0.0234552	0.0452174	0.00889918	1.10027	0.0536042	6.12583	0.34651	0.346079	1.76428
1.03	-63.7365	-63.7672	-63.7672	0.579034	0.799872	0.0436659	0.0370956	9333.7	0.093647	0.83178	0.0745729	2.80708	1.03291	9.67191e-06	5.625e-06	1.23245	0.052079	4.47521	0.426257	0.500098	0.117753	0.0452167	0.272148	0.0340776	0.0452164	0.00900029	1.08791	0.0541512	6.12583	0.34651	0.346068	1.76429
1.04	-64.3694	-64.3823	-64.3823	0.38766	0.554998	0.0421006	0.0262168	6418.99	0.103624	0.836449	0.0599274	2.73155	0.710615	2.15414e-09	1.25281e-09	1.20634	0.0207943	4.63908	0.444841	0.482904	0.119223	0.0452144	0.272868	0.0470729	0.0452141	0.00913556	1.07271	0.0548857	6.12583	0.346509	0.346046	1.76431
1.052	-64.7082	-64.7123	-64.7123	0.258193	0.381702	0.0412832	0.0178712	4311.83	0.139345	0.813302	0.0473523	2.69173	0.477434	8.26674e-14	4.80778e-14	1.16036	0.0106832	4.79767	0.448508	0.468733	0.119027	0.0452096	0.271396	0.0623589	0.0452095	0.00929542	1.05557	0.0557914	6.12583	0.346507	0.34601	1.76435
1.067	-64.8685	-64.8692	-64.8692	0.175436	0.261581	0.0408999	0.0116915	2801.19	0.209472	0.754502	0.0360258	2.67297	0.310193	4.63402e-19	2.69506e-19	1.10511	0.00769942	4.95381	0.443263	0.455297	0.118088	0.045201	0.268811	0.0798481	0.0452009	0.009468	1.03786	0.0568045	6.12584	0.346504	0.345951	1.76441
1.084	-64.9385	-64.9382	-64.9382	0.124422	0.180899	0.0407324	0.0073443	1754.22	0.313967	0.659769	0.0262634	2.66475	0.194263	3.29519e-25	1.91642e-25	1.04582	0.00689018	5.10395	0.433403	0.441396	0.116754	0.0451869	0.26554	0.0994078	0.0451869	0.00964152	1.02082	0.0578427	6.12584	0.346499	0.345861	1.7645
1.103	-64.9685	-64.9681	-64.9681	0.093875	0.129204	0.0406601	0.00446366	1064.75	0.437818	0.543349	0.018833	2.6612	0.117913	5.87356e-31	3.41595e-31	0.985354	0.00670775	5.2425	0.421605	0.42724	0.115133	0.0451658	0.261725	0.120785	0.0451659	0.00980671	1.00518	0.0588391	6.12584	0.346492	0.345728	1.76461
1.126	-64.9818	-64.9816	-64.9816	0.0762242	0.097726	0.0406275	0.00269395	642.218	0.554984	0.430999	0.0140162	2.6596	0.0711213	1.651e-31	9.60192e-32	0.926192	0.00669113	5.36121	0.409556	0.413666	0.113267	0.0451368	0.257438	0.143162	0.0451369	0.00995658	0.991345	0.0597453	6.12585	0.346481	0.345535	1.7648
1.152	-64.9896	-64.9894	-64.9894	0.0662881	0.0797945	0.0406086	0.00168156	400.733	0.64758	0.341194	0.0112263	2.65867	0.0443786	1.60519e-31	9.33548e-32	0.86983	0.00670247	5.45447	0.397975	0.401072	0.111158	0.0450995	0.252686	0.166776	0.0450996	0.0100905	0.979166	0.0605566	6.12587	0.346467	0.345268	1.76507
1.181	-64.9937	-64.9935	-64.9935	0.0610826	0.0703367	0.0405987	0.0011462	273.101	0.709443	0.280763	0.00979422	2.65818	0.0302443	1.58402e-31	9.21236e-32	0.817522	0.00669825	5.5175	0.387126	0.389564	0.108808	0.0450539	0.247474	0.191202	0.045054	0.0102105	0.968325	0.061283	6.12589	0.346447	0.344906	1.76544
1.213	-64.9956	-64.9955	-64.9955	0.0585288	0.0656977	0.040594	0.000883488	210.487	0.745443	0.245444	0.00911335	2.65795	0.0233102	1.57391e-31	9.15358e-32	0.770069	0.00666261	5.54733	0.37694	0.37895	0.106218	0.0450009	0.241812	0.215963	0.045001	0.0103207	0.958374	0.0619497	6.12591	0.346421	0.344428	1.76593
1.249	-64.9965	-64.9964	-64.9964	0.057322	0.0635238	0.0405918	0.000760661	181.217	0.764636	0.226567	0.00879765	2.65784	0.0200687	1.56938e-31	9.12724e-32	0.7278	0.0065899	5.54298	0.367177	0.368901	0.103395	0.0449415	0.235705	0.240534	0.0449416	0.0104263	0.948863	0.062587	6.12594	0.346387	0.343812	1.76655
