#Time	#Ca.Co12	#Ca.Co6	#CaM-AC1.Co10	#CaM-AC1.Co4	#CaMCa3.Co15	#I1_active.Co14	#Internal_AMPAR.Co16	#Jca27	#Jca31	#Jca32	#Ji29	#Memb_AMPAR.Co17	#Mg30	#Nopen26	#Nt023	#Nt124	#Nt225	#PP1_active.Co1	#PP1_active.Co7	#PSD_AMPAR.Co18	#Trapped_AMPAR.Co19	#Vca28	#Vm21	#Vm22	#activeCaMKII.Co11	#activeCaMKII.Co5	#activeCaN.Co3	#activeCaN.Co9	#activePKA.Co2	#activePKA.Co8	#cAMP.Co13	#membrane_potential20
0	0.0370992	0.0148387	0	0	0	0.002	6	0	3.39785e-34	1.97612e-34	0	0	0.040583	0	1	0	0	0.002	0.002	0	3.99987	2.65741	-65	-65	0	0	0	0	0.0496739	0.0496739	4e-06	-65
0.2	0.0495961	0.049058	2.36339e-05	2.28342e-05	1.26802e-05	0.139292	5.99966	0	1.55179e-31	9.02493e-32	0	0.000418373	0.0405828	0	0.869513	0.124891	0.00559652	0.0667666	0.400449	0.0262289	3.97324	2.6574	-65.0001	-65.0001	0.193841	0.0596287	1.56132e-06	1.55992e-06	0.0402832	0.0402833	0.000462262	-65.0001
0.7	0.0498034	0.0495407	8.13123e-05	7.47067e-05	1.53582e-05	0.153028	5.99887	0	1.55178e-31	9.02484e-32	0	0.00213682	0.0405828	0	0.868011	0.126335	0.00565438	0.0620031	0.372431	0.0880758	3.90753	2.6574	-65.0001	-65.0001	0.714827	0.119451	4.34619e-05	4.35409e-05	0.0403649	0.0403648	0.00123921	-65.0001
1.7	0.0499533	0.04989	0.000162235	0.000134982	1.8622e-05	0.180965	5.99785	0	1.55178e-31	9.02484e-32	0	0.00779362	0.0405828	0	0.867072	0.127234	0.0056942	0.0528408	0.317363	0.196638	3.78034	2.6574	-65.0001	-65.0001	1.23347	0.170772	0.000241344	0.000241763	0.0405496	0.0405495	0.00198749	-65.0001
3.4	0.0499954	0.0499882	0.000228097	0.000173949	2.08641e-05	0.233074	5.99874	0	1.55178e-31	9.02484e-32	0	0.0215014	0.0405828	0	0.86685	0.127447	0.00570364	0.0414181	0.248725	0.33902	3.57952	2.6574	-65.0001	-65.0001	1.47068	0.194199	0.000601561	0.000602266	0.040853	0.040853	0.00242915	-65.0001
6	0.0499993	0.0499972	0.00025775	0.000188917	2.19178e-05	0.317421	6.00662	0	1.55178e-31	9.02484e-32	0	0.0464742	0.0405828	0	0.866842	0.127454	0.00570398	0.0306852	0.18425	0.471517	3.31561	2.6574	-65.0001	-65.0001	1.51691	0.198766	0.00108572	0.00108652	0.04129	0.04129	0.00263871	-65.0001
9.7	0.0499994	0.0499977	0.000268847	0.000195499	2.2573e-05	0.434411	6.02577	0	1.55178e-31	9.02484e-32	0	0.0827482	0.0405828	0	0.866846	0.127451	0.00570382	0.0225782	0.135562	0.539003	3.02642	2.6574	-65.0001	-65.0001	1.5203	0.199102	0.00170285	0.00170369	0.0418542	0.0418541	0.00277085	-65.0001
14.7	0.0499996	0.0499979	0.000277367	0.000201543	2.32445e-05	0.574548	6.05355	0	1.55178e-31	9.02484e-32	0	0.126964	0.0405828	0	0.86685	0.127447	0.00570365	0.0171547	0.102994	0.525053	2.75242	2.6574	-65.0001	-65.0001	1.52045	0.199119	0.00243053	0.0024314	0.0425129	0.0425129	0.00288967	-65.0001
21.2	0.0499997	0.0499982	0.000286337	0.000208015	2.39687e-05	0.721947	6.08185	0	1.55178e-31	9.02484e-32	0	0.173665	0.0405828	0	0.866854	0.127443	0.00570346	0.0136965	0.0822304	0.469793	2.50773	2.6574	-65.0001	-65.0001	1.52054	0.19913	0.00322325	0.00322415	0.0432082	0.0432081	0.00299611	-65.0001
29.4	0.0499998	0.0499985	0.000295373	0.000214538	2.46991e-05	0.859166	6.10484	0	1.55178e-31	9.02484e-32	0	0.217553	0.0405828	0	0.866858	0.127438	0.00570327	0.011533	0.0692407	0.417686	2.29235	2.6574	-65.0001	-65.0001	1.52062	0.19914	0.0040248	0.00402574	0.0438665	0.0438665	0.00308283	-65.0001
