#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	200	-0.130914	-64.9999	0	0.0405833	4.98612e-37	1.18769e-31	2.02355e-37	0.919056	0.0806581	0.000286061	100	0.0500032	0.050003	88.9879	4.15853e-05	88.9912	5.74783e-05	0.227472	1.73576	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0358847	0.0358868	0.000506747	0.00628812	0.0420408	0.000700434	0.00629413	0.0420413	0.604927	0.0162579	0.605005	0.0976024	6.29568	0.258626	0.286507	1.49554
20	200	-0.136549	-64.9999	0	0.0405832	4.90837e-37	1.16917e-31	1.99199e-37	0.919035	0.0806758	0.00028927	100	0.0500036	0.0500033	88.9514	4.42627e-05	88.9546	6.12109e-05	0.228002	1.74102	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0397517	0.0397539	0.000540012	0.00655448	0.0444441	0.000746809	0.00656054	0.0444447	0.603155	0.0163049	0.603233	0.0978847	6.30198	0.255513	0.283423	1.48584
30	200	-0.13699	-64.9999	0	0.0405832	4.83213e-37	1.15101e-31	1.96105e-37	0.919014	0.0806935	0.000292655	100	0.0500041	0.0500038	88.9117	4.70869e-05	88.9149	6.51516e-05	0.228889	1.7499	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0438072	0.0438095	0.000575115	0.00686296	0.0481963	0.000795789	0.00686909	0.048197	0.615654	0.015979	0.615734	0.0959284	6.30307	0.255083	0.281541	1.48509
40	200	-0.130704	-64.9999	0	0.0405832	4.77085e-37	1.13642e-31	1.93618e-37	0.918995	0.0807089	0.000295905	100	0.0500046	0.0500042	88.8715	4.97997e-05	88.8747	6.894e-05	0.230307	1.76415	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0476796	0.0476819	0.000608845	0.00720437	0.0533537	0.000842892	0.00721055	0.0533544	0.642871	0.0153126	0.642955	0.0919273	6.29756	0.257917	0.281444	1.4959
50	200	-0.120512	-64.9999	0	0.0405832	4.69934e-37	1.11938e-31	1.90716e-37	0.918983	0.0807183	0.000298311	100	0.0500049	0.0500045	88.8392	5.18126e-05	88.8424	7.17526e-05	0.232022	1.78143	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0505376	0.05054	0.00063388	0.0075059	0.058469	0.000877875	0.00751212	0.0584697	0.673822	0.0146192	0.67391	0.0877643	6.28845	0.262328	0.282685	1.51344
60	200	-0.100516	-64.9999	0	0.0405832	4.64763e-37	1.10706e-31	1.88617e-37	0.918973	0.0807256	0.000301324	100	0.0500054	0.0500048	88.793	5.43423e-05	88.7962	7.52889e-05	0.235661	1.81817	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0541097	0.0541122	0.000665352	0.00796595	0.066451	0.000921869	0.00797223	0.0664516	0.722827	0.0136411	0.722921	0.0818922	6.27159	0.269881	0.285514	1.54785
70	200	-0.0798821	-64.9999	0	0.0405832	4.60942e-37	1.09796e-31	1.87067e-37	0.918972	0.0807246	0.000303457	100	0.0500057	0.0500051	88.7525	5.61486e-05	88.7557	7.78139e-05	0.240278	1.86483	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0566447	0.0566473	0.000687829	0.00837644	0.0734157	0.000953288	0.00838276	0.0734161	0.764586	0.0129052	0.764685	0.0774747	6.25581	0.276157	0.288035	1.58336
80	200	-0.0586993	-64.9999	0	0.0405832	4.55904e-37	1.08596e-31	1.85022e-37	0.918979	0.0807162	0.000305044	100	0.050006	0.0500054	88.7126	5.75119e-05	88.7158	7.97185e-05	0.246221	1.92493	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0585466	0.0585492	0.000704795	0.00875631	0.0796255	0.000976988	0.00876266	0.0796258	0.800603	0.0123315	0.800706	0.0740301	6.24138	0.281022	0.289832	1.61981
90	200	-0.046463	-64.9999	0	0.0405832	4.52885e-37	1.07877e-31	1.83797e-37	0.918986	0.0807082	0.000305776	100	0.0500061	0.0500055	88.689	5.81515e-05	88.6922	8.06111e-05	0.250318	1.96637	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0594343	0.059437	0.000712756	0.00896129	0.0828639	0.000988095	0.00896765	0.0828641	0.818788	0.0120607	0.818894	0.0724047	6.23388	0.283117	0.29041	1.64087
100	200	-0.0219946	-64.9999	0	0.0405832	4.46866e-37	1.06443e-31	1.81354e-37	0.919007	0.0806857	0.000306936	100	0.0500063	0.0500057	88.639	5.91899e-05	88.6423	8.20575e-05	0.260085	2.06518	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.0608667	0.0608694	0.00072568	0.00934637	0.0887577	0.00100609	0.00935275	0.0887579	0.85094	0.01161	0.851049	0.0696986	6.2206	0.285855	0.290459	1.68297
