#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	200	-0.0749572	-64.9999	0	0.0405833	5.02082e-37	1.19596e-31	2.03763e-37	0.919296	0.0804376	0.000266736	114.153	0.0500019	0.0500043	89.0433	3.2378e-05	89.0479	3.5373e-05	0.099781	19.2693	2.36744e-09	2.25302	19.3714	3.05262e-07	2.97405	2.90008	0.0371557	0.0272386	0.00153716	0.0029438	8.45141e-08	0.685855	0.140187	0.685855	0.140187	0.029414	0.0294145	0.000394244	0.00548319	0.0405846	0.000430682	0.00548852	0.0405852	0.635378	0.0154906	0.63546	0.092996	6.27669	0.25615	0.27607	1.59183
20	200	-0.0840981	-64.9999	0	0.0405832	4.94909e-37	1.17887e-31	2.00852e-37	0.919292	0.0804394	0.000268614	113.924	0.0500023	0.0500048	89.0097	3.44134e-05	89.0143	3.75855e-05	0.0998148	19.2669	3.44544e-09	2.26269	19.369	4.44091e-07	2.98606	2.89946	0.0371501	0.0388118	0.0021973	0.00294344	1.21844e-07	0.685855	0.140187	0.685855	0.140187	0.0328514	0.0328519	0.000419553	0.00567587	0.0420417	0.000458194	0.00568122	0.0420423	0.622465	0.015807	0.622545	0.0948958	6.2861	0.251565	0.272499	1.5761
30	200	-0.0893395	-64.9999	0	0.0405832	4.88014e-37	1.16245e-31	1.98053e-37	0.919289	0.0804403	0.00027065	113.575	0.0500027	0.0500053	88.9721	3.66235e-05	88.9767	3.99858e-05	0.0998619	19.2632	5.03346e-09	2.27736	19.3652	6.48499e-07	3.00425	2.89849	0.0371402	0.0565069	0.00320192	0.00294275	1.77727e-07	0.685855	0.140187	0.685855	0.140187	0.0365684	0.0365688	0.000447042	0.00590133	0.0444465	0.000488051	0.00590669	0.0444471	0.620886	0.0158466	0.620967	0.0951334	6.29211	0.248585	0.269376	1.56708
40	200	-0.0885554	-64.9999	0	0.0405832	4.82752e-37	1.14991e-31	1.95918e-37	0.919287	0.0804399	0.000272665	113.102	0.0500031	0.0500058	88.9332	3.88195e-05	88.9378	4.23677e-05	0.0999215	19.2581	7.08645e-09	2.29759	19.3601	9.12607e-07	3.02934	2.89713	0.0371253	0.0810643	0.00458431	0.00294166	2.52303e-07	0.685855	0.140187	0.685855	0.140187	0.0402463	0.0402468	0.000474364	0.00615303	0.0479827	0.000517688	0.00615839	0.0479834	0.633375	0.0155389	0.633457	0.0932858	6.29263	0.248226	0.26741	1.56843
50	200	-0.0827488	-64.9999	0	0.0405832	4.76374e-37	1.13472e-31	1.9333e-37	0.919287	0.0804385	0.000274204	112.637	0.0500034	0.0500062	88.9021	4.05018e-05	88.9067	4.41893e-05	0.099977	19.2529	9.00338e-09	2.31824	19.3548	1.15908e-06	3.05495	2.89573	0.0371094	0.106235	0.00598647	0.00294046	3.25045e-07	0.685855	0.140187	0.685855	0.140187	0.0430536	0.0430541	0.0004953	0.00637784	0.0517553	0.00054036	0.00638321	0.051756	0.653997	0.015056	0.654082	0.0903872	6.28833	0.250139	0.266968	1.57842
60	200	-0.0681184	-64.9999	0	0.0405832	4.72419e-37	1.1253e-31	1.91724e-37	0.919289	0.0804347	0.000276225	111.873	0.0500038	0.0500067	88.8588	4.27229e-05	88.8634	4.65889e-05	0.100064	19.2439	1.20039e-08	2.35398	19.3458	1.54463e-06	3.09928	2.89333	0.0370812	0.149937	0.0083948	0.0029383	4.44879e-07	0.685855	0.140187	0.685855	0.140187	0.0467463	0.0467469	0.000522949	0.00673322	0.0581694	0.000570235	0.00673861	0.05817	0.693415	0.0142119	0.693505	0.0853193	6.27675	0.255208	0.267841	1.6036
70	200	-0.0510922	-64.9999	0	0.0405832	4.6971e-37	1.11885e-31	1.90625e-37	0.919293	0.0804297	0.000277735	111.117	0.0500042	0.0500072	88.8235	4.43955e-05	88.8282	4.83896e-05	0.100145	19.2345	1.4877e-08	2.39148	19.3363	1.91359e-06	3.14581	2.89083	0.037051	0.195922	0.0109061	0.00293596	5.65369e-07	0.685855	0.140187	0.685855	0.140187	0.0495169	0.0495174	0.000543775	0.00706734	0.0642701	0.000592659	0.00707273	0.0642706	0.732135	0.0134701	0.73223	0.0808657	6.26348	0.260724	0.269555	1.6329
80	200	-0.032781	-64.9999	0	0.0405832	4.6578e-37	1.10949e-31	1.8903e-37	0.919298	0.0804228	0.000278914	110.297	0.0500044	0.0500075	88.7923	4.57169e-05	88.7969	4.9805e-05	0.10023	19.2238	1.79688e-08	2.43397	19.3255	2.31047e-06	3.19852	2.888	0.0370163	0.248114	0.0137425	0.00293324	6.98779e-07	0.685855	0.140187	0.685855	0.140187	0.0516998	0.0517003	0.000560233	0.00739358	0.0700757	0.000610291	0.00739897	0.070076	0.768659	0.0128379	0.768759	0.0770705	6.24986	0.265976	0.271501	1.66441
90	200	-0.0221914	-64.9999	0	0.0405832	4.63401e-37	1.10382e-31	1.88064e-37	0.919303	0.080418	0.000279481	109.779	0.0500045	0.0500077	88.7754	4.63608e-05	88.78	5.0491e-05	0.100283	19.2169	1.99244e-08	2.46136	19.3186	2.56144e-06	3.2325	2.88618	0.0369937	0.281794	0.0155694	0.00293146	7.84082e-07	0.685855	0.140187	0.685855	0.140187	0.0527616	0.0527622	0.000568254	0.00757675	0.0732204	0.000618838	0.00758215	0.0732207	0.787898	0.0125282	0.788	0.0752113	6.24239	0.268632	0.27252	1.68263
100	200	-0.00128315	-64.9999	0	0.0405832	4.58677e-37	1.09257e-31	1.86148e-37	0.919314	0.080406	0.000280418	108.605	0.0500047	0.050008	88.7422	4.74468e-05	88.7468	5.16384e-05	0.100402	19.2011	2.43729e-08	2.5245	19.3026	3.13215e-06	3.31085	2.88196	0.0369408	0.359524	0.0197802	0.00292728	9.79641e-07	0.685855	0.140187	0.685855	0.140187	0.0545496	0.0545502	0.000581783	0.00793458	0.0791334	0.000633138	0.00793998	0.0791336	0.822974	0.0120004	0.823081	0.0720425	6.22868	0.272971	0.274039	1.71861
