#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	200	-0.100755	-64.9999	0	0.0405833	1.0444e-36	2.48774e-31	4.23851e-37	0.841274	0.151926	0.0067995	0.0500219	0.0500172	95.7572	8.27326e-05	95.7608	0.000110563	0.24513	1.86873	1.20298	0.139983	1.20309	0.139983	0.0412199	0.0412233	0.00100426	0.00883996	0.0391887	0.00134198	0.00884659	0.0391891	0.569193	0.0172599	0.569269	0.103618	6.27239	0.266823	0.29497	1.54744
20	200	-0.115059	-64.9999	0	0.0405832	1.02225e-36	2.43497e-31	4.14861e-37	0.839461	0.153662	0.00687723	0.0500253	0.0500198	96.9952	9.28493e-05	96.9988	0.000124177	0.248728	1.89652	1.31912	0.139936	1.31925	0.139936	0.0475366	0.0475404	0.0011285	0.00959205	0.0402961	0.00150913	0.00959886	0.0402965	0.537929	0.0182452	0.538	0.109534	6.28885	0.258014	0.288955	1.52282
30	200	-0.125196	-64.9999	0	0.0405832	1.0002e-36	2.38245e-31	4.05913e-37	0.837646	0.155399	0.006955	0.0500287	0.0500224	98.2414	0.000102654	98.245	0.000137388	0.25242	1.92524	1.43367	0.139888	1.43381	0.139889	0.0536526	0.0536567	0.00124901	0.0103369	0.0423282	0.00167148	0.0103439	0.0423287	0.522709	0.0187668	0.522778	0.112665	6.30134	0.251267	0.283453	1.50538
40	200	-0.129258	-64.9999	0	0.0405832	9.75678e-37	2.32405e-31	3.95962e-37	0.835215	0.157726	0.00705922	0.0500329	0.0500258	99.9225	0.00011544	99.9262	0.000154641	0.257675	1.96684	1.58589	0.139825	1.58604	0.139825	0.0616219	0.0616263	0.00140631	0.0113509	0.0475407	0.00188369	0.0113581	0.0475412	0.530732	0.0184884	0.530802	0.110994	6.30849	0.247242	0.277937	1.49839
50	200	-0.124761	-64.9999	0	0.0405832	9.52932e-37	2.26987e-31	3.86731e-37	0.833881	0.159002	0.00711636	0.0500352	0.0500275	100.85	0.000122233	100.854	0.000163818	0.260865	1.99277	1.6686	0.13979	1.66876	0.13979	0.0658537	0.0658583	0.00148994	0.0119295	0.0523832	0.00199665	0.0119369	0.0523838	0.552816	0.0177627	0.552889	0.106637	6.3057	0.248492	0.276374	1.50613
60	200	-0.102426	-64.9999	0	0.0405832	9.35199e-37	2.22763e-31	3.79534e-37	0.831493	0.161288	0.00721871	0.0500391	0.0500306	102.521	0.000134102	102.525	0.000179867	0.267813	2.05169	1.81675	0.139726	1.81692	0.139727	0.0732479	0.0732528	0.00163617	0.0130741	0.065676	0.00219435	0.0130817	0.0656766	0.623538	0.0157792	0.62362	0.0947283	6.2877	0.256808	0.276651	1.54456
70	200	-0.104242	-64.9999	0	0.0405832	9.25197e-37	2.2038e-31	3.75475e-37	0.831438	0.161341	0.00722108	0.0500391	0.0500306	102.562	0.000134099	102.565	0.000179862	0.267757	2.05088	1.81812	0.139726	1.8183	0.139726	0.0732441	0.073249	0.00163612	0.0130624	0.0652466	0.00219429	0.01307	0.0652472	0.620301	0.0158602	0.620383	0.095215	6.2894	0.256015	0.276155	1.54144
80	200	-0.109153	-64.9999	0	0.0405832	9.17254e-37	2.18488e-31	3.72252e-37	0.831689	0.161101	0.00721032	0.0500386	0.0500302	102.387	0.000132708	102.39	0.000177982	0.266751	2.04191	1.80129	0.139733	1.80147	0.139733	0.072377	0.0723819	0.00161898	0.0129086	0.0630368	0.00217111	0.0129162	0.0630374	0.607677	0.0161845	0.607758	0.0971618	6.29354	0.254128	0.275597	1.53299
90	200	-0.121625	-64.9999	0	0.0405832	9.08959e-37	2.16512e-31	3.68885e-37	0.832856	0.159983	0.00716029	0.0500367	0.0500287	101.569	0.000126877	101.573	0.000170096	0.263262	2.01218	1.72843	0.139764	1.7286	0.139764	0.0687435	0.0687483	0.00154713	0.0123354	0.0560573	0.00207395	0.0123429	0.0560579	0.569694	0.0172454	0.569769	0.103531	6.30382	0.249341	0.275087	1.51152
100	200	-0.106996	-64.9999	0	0.0405832	8.9271e-37	2.12642e-31	3.62291e-37	0.831378	0.161398	0.00722363	0.050039	0.0500306	102.606	0.000134056	102.61	0.000179806	0.267548	2.04851	1.81932	0.139725	1.8195	0.139725	0.0732162	0.0732211	0.00163559	0.0130423	0.0645809	0.00219358	0.0130499	0.0645815	0.615372	0.0159853	0.615454	0.0959658	6.29187	0.254891	0.275492	1.5367
