#X	#Y	#DWt
10	200	-0.111739
20	200	-0.114738
30	200	-0.116459
40	200	-0.115496
10	300	-0.114075
20	300	-0.116697
20	400	-0.117137
50	200	-0.112622
50	300	-0.109518
60	200	-0.102863
10	400	-0.115658
10	500	-0.116714
70	200	-0.103529
20	500	-0.116617
30	300	-0.116704
30	400	-0.115585
40	300	-0.112999
70	300	-0.0960194
30	500	-0.113777
10	600	-0.117379
10	700	-0.117738
40	400	-0.109738
30	600	-0.111414
100	200	-0.105215
10	900	-0.117755
50	400	-0.106236
60	400	-0.0912889
40	500	-0.106272
90	200	-0.111016
50	500	-0.103004
40	600	-0.102833
60	300	-0.0967366
70	400	-0.089742
80	400	-0.0896518
60	500	-0.0862786
80	200	-0.105568
20	600	-0.115484
50	600	-0.0999013
60	600	-0.0815244
30	700	-0.10893
80	300	-0.0971549
70	500	-0.0835892
80	500	-0.0820775
90	500	-0.0848532
100	500	-0.0647634
70	600	-0.0776482
90	300	-0.101547
40	700	-0.0995086
90	400	-0.0929029
80	600	-0.0752814
100	400	-0.077392
90	600	-0.0766977
80	700	-0.0690119
10	800	-0.117849
100	300	-0.0907689
100	600	-0.0525404
20	700	-0.11396
50	700	-0.0969459
60	700	-0.0769207
70	700	-0.0725421
100	700	-0.0405691
20	800	-0.112193
30	800	-0.106397
40	800	-0.0963259
50	800	-0.0941344
60	800	-0.0724887
20	900	-0.110286
90	700	-0.069467
30	900	-0.103706
40	900	-0.0932845
50	900	-0.0914548
60	900	-0.0686955
70	800	-0.0672707
80	800	-0.0624676
90	800	-0.0623955
100	800	-0.0287846
70	900	-0.0619797
80	900	-0.0561746
90	900	-0.0548833
100	900	-0.0171346
10	1000	-0.117489
20	1000	-0.108308
30	1000	-0.101151
40	1000	-0.0903731
50	1000	-0.0888927
60	1000	-0.0644794
70	1000	-0.0573009
80	1000	-0.0503628
90	1000	-0.0480191
100	1000	-0.00546324
