#X	#Y	#DWt
10	10	0.0479164
20	10	0.00272321
30	10	0.00417809
10	20	-0.00201162
10	30	-0.000838268
20	20	0.0472545
10	40	-0.00817591
10	50	-0.00944442
10	60	-0.0133893
20	40	0.00795302
10	70	0.166886
10	100	0.267265
40	10	0.00507059
20	50	0.0170751
30	20	0.0528336
10	90	0.233944
40	20	0.0651734
20	30	0.0292747
20	60	0.0201001
20	70	0.18959
20	80	0.244182
20	90	0.202776
20	100	0.238313
30	30	0.060648
40	30	0.0855963
30	40	0.015282
40	40	0.0822337
30	50	0.0505541
30	60	0.0319074
30	70	0.0425533
30	80	0.0736693
30	90	0.23732
30	100	0.266304
40	50	0.0852092
40	60	0.0663125
40	70	0.117477
10	80	0.225036
40	80	0.224516
40	90	0.257749
40	100	0.266718
50	10	0.00292792
60	10	0.0052804
50	20	0.0282053
70	20	0.0466604
50	30	0.0813189
50	40	0.116633
50	50	0.11464
60	50	0.117216
50	60	0.107935
50	70	0.110346
50	80	0.2148
50	90	0.250926
50	100	0.260297
70	10	0.00502513
60	20	0.0430032
60	30	0.0906774
60	40	0.114348
60	60	0.128789
60	70	0.131099
60	80	0.18526
60	90	0.237566
60	100	0.270137
70	30	0.08045
70	50	0.132458
70	60	0.133544
70	70	0.178436
70	80	0.251945
70	90	0.264328
80	10	0.0105736
90	10	0.0120088
80	20	0.041814
80	30	0.0859171
80	40	0.115771
80	50	0.136261
70	100	0.262502
90	20	0.0455874
70	40	0.119228
80	60	0.148166
80	70	0.242416
80	80	0.158764
80	90	0.223509
80	100	0.267548
90	30	0.0729954
90	40	0.109695
90	50	0.139322
90	60	0.140935
90	70	0.161458
90	80	0.199151
90	90	0.250186
90	100	0.264159
100	10	0.0140114
100	20	0.0454865
100	30	0.0928392
100	40	0.114551
100	50	0.135385
100	60	0.145927
100	70	0.21296
100	80	0.198385
100	90	0.250902
100	100	0.270729
