#X	#Y	#DWt
10	10	-0.0567524
20	10	-0.122505
30	10	-0.148814
40	10	-0.171023
50	10	-0.15951
60	10	-0.169793
70	10	-0.126974
80	10	0.320062
90	10	0.648743
100	10	0.617832
10	20	-0.119667
20	20	-0.0435977
30	20	-0.0846172
40	20	-0.119135
50	20	-0.122958
60	20	-0.0960566
70	20	0.306921
80	20	0.526532
90	20	0.616281
100	20	0.557865
10	30	-0.124529
20	30	-0.0507496
30	30	-0.0333171
40	30	-0.0856788
50	30	-0.0712045
60	30	-0.0613481
70	30	0.322286
80	30	0.328371
90	30	0.487889
100	30	0.617916
10	40	-0.121433
20	40	-0.0593471
30	40	-0.000218857
40	40	-0.0169925
50	40	-0.00716344
60	40	-0.031373
70	40	0.321018
80	40	0.491931
90	40	0.625621
100	40	0.644867
10	50	-0.122127
20	50	-0.0625607
30	50	-0.0130421
40	50	0.0194471
50	50	0.0374985
60	50	0.0311668
70	50	0.0648347
80	50	0.490303
90	50	0.608884
100	50	0.640544
10	60	-0.112815
20	60	-0.071389
30	60	-0.010016
40	60	0.0405043
50	60	0.0586471
60	60	0.0660285
70	60	0.499361
80	60	0.595164
90	60	0.616558
100	60	0.642652
10	70	-0.107974
20	70	-0.0705159
30	70	-0.0182501
40	70	0.021124
50	70	0.0889684
60	70	0.0689218
70	70	0.487174
80	70	0.487088
90	70	0.635634
100	70	0.634629
10	80	-0.103186
20	80	-0.0668085
30	80	-0.0171426
40	80	0.0371672
50	80	0.0481338
60	80	0.0940334
70	80	0.387181
80	80	0.49411
90	80	0.561065
100	80	0.567959
10	90	-0.103403
20	90	-0.0704106
30	90	-0.0166814
40	90	0.0281226
50	90	0.0719743
60	90	0.0872885
70	90	0.156704
80	90	0.385628
90	90	0.621333
100	90	0.649171
10	100	-0.106722
20	100	-0.0690728
30	100	-0.0245144
40	100	0.0209469
50	100	0.0680933
60	100	0.105185
70	100	0.514084
80	100	0.559028
90	100	0.590166
100	100	0.648942
