#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	10	-0.0508666	-64.9999	0	0.0405832	1.2897e-37	3.07207e-32	5.23408e-38	0.918973	0.0807234	0.000303441	0.0500057	0.0500051	88.7512	5.61442e-05	88.7545	7.77992e-05	0.240774	1.86984	0.685855	0.140187	0.685855	0.140187	0.0566427	0.0566453	0.000687774	0.00931578	0.0930021	0.000953106	0.00932209	0.0930021	0.91113	0.0108515	0.911246	0.0651453	6.23432	0.285114	0.288225	1.63329
20	10	-0.0387942	-64.9999	0	0.0405832	1.19728e-37	2.85191e-32	4.85897e-38	0.918969	0.0807259	0.00030519	0.050006	0.0500054	88.7222	5.76183e-05	88.7255	7.98584e-05	0.243568	1.89807	0.685855	0.140187	0.685855	0.140187	0.0587078	0.0587104	0.000706122	0.00976299	0.0984397	0.000978736	0.00976934	0.0984398	0.930566	0.0106272	0.930684	0.0637984	6.22855	0.285581	0.288667	1.65406
30	10	-0.071581	-64.9999	0	0.0405832	1.88853e-37	4.49848e-32	7.66434e-38	0.918948	0.0807467	0.00030511	0.0500059	0.0500053	88.7502	5.74977e-05	88.7534	7.96939e-05	0.236722	1.82879	0.685855	0.140187	0.685855	0.140187	0.0585525	0.0585551	0.000704626	0.00948355	0.0938773	0.000976699	0.0094899	0.0938774	0.902373	0.0109558	0.902488	0.0657711	6.25027	0.279369	0.283075	1.59764
40	10	-0.0955578	-64.9999	0	0.0405832	1.12788e-37	2.6866e-32	4.57733e-38	0.918945	0.0807513	0.000303634	0.0500057	0.0500051	88.7832	5.62375e-05	88.7864	7.79331e-05	0.23222	1.78327	0.685855	0.140187	0.685855	0.140187	0.0567915	0.0567941	0.00068894	0.00895172	0.0862011	0.000954786	0.00895804	0.0862013	0.862574	0.0114557	0.862685	0.0687725	6.26605	0.27467	0.27998	1.55638
50	10	-0.0955955	-64.9999	0	0.0405832	1.83968e-37	4.38211e-32	7.46607e-38	0.918941	0.0807547	0.000304564	0.0500058	0.0500052	88.7704	5.7015e-05	88.7736	7.90205e-05	0.232999	1.79112	0.685855	0.140187	0.685855	0.140187	0.0578828	0.0578854	0.000698619	0.00917718	0.0892012	0.000968321	0.00918352	0.0892013	0.875695	0.0112859	0.875808	0.0677532	6.26784	0.273385	0.278048	1.55632
60	10	-0.0910967	-64.9999	0	0.0405832	8.59288e-38	2.04682e-32	3.4873e-38	0.918945	0.0807507	0.000304026	0.0500058	0.0500051	88.7752	5.65703e-05	88.7784	7.83981e-05	0.233202	1.79319	0.685855	0.140187	0.685855	0.140187	0.0572575	0.0572601	0.000693082	0.0091363	0.0891438	0.000960573	0.00914263	0.0891439	0.879992	0.0112314	0.880105	0.067426	6.2636	0.275282	0.279657	1.56406
70	10	0.348283	-64.9999	0	0.0405832	7.81658e-38	1.86191e-32	3.17225e-38	0.921165	0.0785333	0.000302063	0.0500082	0.0500105	86.0009	6.10362e-05	86.0036	8.35671e-05	0.962169	9.16887	0.685855	0.140187	0.685855	0.140187	0.0622619	0.0622646	0.000748309	0.0132604	0.135539	0.00102398	0.0132668	0.135539	1.09274	0.009055	1.09288	0.0543599	6.15204	0.221091	0.186589	2.32015
80	10	0.419359	-64.9999	0	0.0405832	1.63933e-37	3.90488e-32	6.65299e-38	0.92234	0.0773611	0.000298673	0.0500091	0.0500129	84.5831	6.15659e-05	84.5854	8.35213e-05	1.3397	12.9872	0.685855	0.140187	0.685855	0.140187	0.0624594	0.062462	0.000754738	0.0144213	0.143857	0.00102304	0.0144277	0.143857	1.12364	0.00880395	1.12378	0.0528527	6.13104	0.214154	0.17602	2.44246
90	10	0.395739	-64.9999	0	0.0405832	8.06159e-38	1.92027e-32	3.27168e-38	0.922307	0.0773933	0.000300027	0.0500092	0.0500128	84.599	6.27611e-05	84.6014	8.50075e-05	1.33922	12.9821	0.685855	0.140187	0.685855	0.140187	0.0641548	0.0641575	0.00076964	0.0163146	0.157613	0.0010416	0.0163209	0.157613	1.15905	0.00853767	1.15919	0.0512541	6.14726	0.209924	0.168714	2.40182
100	10	0.420762	-64.9999	0	0.0405832	1.58455e-37	3.7744e-32	6.43068e-38	0.922571	0.0771322	0.000296419	0.050009	0.0500131	84.336	6.02234e-05	84.3384	8.16368e-05	1.40745	13.6724	0.685855	0.140187	0.685855	0.140187	0.0605043	0.0605069	0.000737992	0.0141215	0.139981	0.000999507	0.0141278	0.13998	1.12205	0.00881557	1.12218	0.0529225	6.13331	0.212039	0.172984	2.44488
