#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	10	0.0470942	-64.9999	0	0.0405832	1.42134e-37	3.38562e-32	5.76829e-38	0.919369	0.0803517	0.000279812	0.0500047	0.050008	88.6843	4.70774e-05	88.6889	5.1108e-05	0.100865	2.75308	0.685855	0.140187	0.685855	0.140187	0.0539527	0.0539532	0.000577186	0.0088518	0.0962793	0.00062655	0.00885719	0.0962793	0.950987	0.0104012	0.951107	0.062442	6.21193	0.270928	0.265951	1.80186
20	10	-0.0263257	-64.9999	0	0.0405832	1.22425e-37	2.91615e-32	4.96843e-38	0.919298	0.0804218	0.00027991	0.0500046	0.0500077	88.7721	4.68172e-05	88.7767	5.09854e-05	0.100263	2.44839	0.685855	0.140187	0.685855	0.140187	0.0535151	0.0535156	0.000573938	0.00818839	0.0852801	0.000624995	0.00819379	0.0852802	0.878148	0.0112548	0.87826	0.0675661	6.2515	0.26373	0.262797	1.67552
30	10	-0.0361662	-64.9999	0	0.0405832	1.96305e-37	4.67599e-32	7.96676e-38	0.919292	0.0804282	0.00027996	0.0500046	0.0500077	88.7793	4.68382e-05	88.7839	5.10224e-05	0.100211	2.42221	0.685855	0.140187	0.685855	0.140187	0.0535487	0.0535492	0.0005742	0.00814683	0.08448	0.000625454	0.00815223	0.0844801	0.871925	0.0113342	0.872037	0.0680431	6.25823	0.261666	0.261079	1.65858
40	10	-0.0621924	-64.9999	0	0.0405832	1.81166e-37	4.31536e-32	7.35235e-38	0.919281	0.0804407	0.000278445	0.0500043	0.0500073	88.8242	4.51206e-05	88.8288	4.91908e-05	0.10007	2.35191	0.685855	0.140187	0.685855	0.140187	0.0507156	0.0507161	0.000552804	0.00762049	0.0769565	0.000602634	0.00762588	0.0769567	0.835255	0.0118262	0.835363	0.0709966	6.27492	0.256847	0.258392	1.6138
50	10	-0.0596463	-64.9999	0	0.0405832	9.73192e-38	2.31814e-32	3.94956e-38	0.919282	0.0804393	0.000278567	0.0500043	0.0500073	88.82	4.52608e-05	88.8246	4.93392e-05	0.100086	2.35909	0.685855	0.140187	0.685855	0.140187	0.0509475	0.0509481	0.000554551	0.00769932	0.0783847	0.000604483	0.00770471	0.0783849	0.845118	0.0116897	0.845226	0.0701774	6.27347	0.25726	0.258148	1.61818
60	10	-0.0563318	-64.9999	0	0.0405832	1.02382e-37	2.43874e-32	4.15504e-38	0.919283	0.080438	0.000279172	0.0500044	0.0500075	88.8068	4.59274e-05	88.8115	5.00585e-05	0.100109	2.37163	0.685855	0.140187	0.685855	0.140187	0.052047	0.0520476	0.000562854	0.00786216	0.0804942	0.000613443	0.00786756	0.0804943	0.853181	0.0115805	0.85329	0.0695215	6.27176	0.257592	0.257965	1.62388
70	10	-0.0413718	-64.9999	0	0.0405832	1.67935e-37	4.0002e-32	6.81538e-38	0.919291	0.0804291	0.000279712	0.0500046	0.0500076	88.7852	4.65635e-05	88.7898	5.07265e-05	0.100198	2.41484	0.685855	0.140187	0.685855	0.140187	0.0530967	0.0530972	0.000570778	0.00813385	0.0847067	0.000621767	0.00813925	0.0847068	0.877218	0.0112666	0.877331	0.0676371	6.2626	0.260043	0.259059	1.64963
80	10	0.411866	-64.9999	0	0.0405832	9.14015e-38	2.17718e-32	3.7094e-38	0.922806	0.0769244	0.000269192	0.050008	0.0500134	84.5461	4.95656e-05	84.5469	5.02661e-05	2.06198	10.5275	0.685855	0.140187	0.685855	0.140187	0.0567245	0.0567247	0.000608148	0.0160185	0.157672	0.000616342	0.0160237	0.157672	1.20639	0.00821171	1.20653	0.0492976	6.12552	0.221048	0.183436	2.42957
90	10	0.361816	-64.9999	0	0.0405832	7.29657e-38	1.73804e-32	2.96121e-38	0.921518	0.078209	0.000272978	0.0500071	0.0500128	86.0937	4.98151e-05	86.0939	5.03435e-05	0.888949	9.23861	0.685855	0.140187	0.685855	0.140187	0.0581579	0.0581581	0.000611376	0.0136634	0.14365	0.000617499	0.0136686	0.14365	1.14844	0.00862365	1.14858	0.0517705	6.14645	0.22092	0.18634	2.34344
100	10	0.409233	-64.9999	0	0.0405832	7.59316e-38	1.80869e-32	3.08158e-38	0.922851	0.0768787	0.000269953	0.0500082	0.0500136	84.474	5.06262e-05	84.4749	5.13168e-05	2.10565	10.5761	0.685855	0.140187	0.685855	0.140187	0.0583802	0.0583804	0.000621359	0.0164932	0.162021	0.000629424	0.0164984	0.162021	1.20883	0.0081952	1.20897	0.0491985	6.12831	0.219732	0.182068	2.42504
10	20	-0.0111618	-64.9999	0	0.0405832	2.72375e-37	6.48796e-32	1.10539e-37	0.919313	0.0804067	0.000280022	0.0500046	0.0500078	88.7506	4.7019e-05	88.7552	5.11684e-05	0.100394	2.51461	0.685855	0.140187	0.685855	0.140187	0.0538497	0.0538503	0.000576454	0.00846087	0.0898812	0.000627281	0.00846627	0.0898812	0.908704	0.0108803	0.90882	0.0653178	6.2445	0.264453	0.261815	1.70161
20	20	0.0331399	-64.9999	0	0.0405832	2.4697e-37	5.88281e-32	1.00229e-37	0.919368	0.0803518	0.000280626	0.0500049	0.0500082	88.669	4.79706e-05	88.6736	5.20679e-05	0.100896	2.75991	0.685855	0.140187	0.685855	0.140187	0.0554217	0.0554222	0.000588314	0.00905671	0.0983385	0.000638512	0.00906211	0.0983384	0.952422	0.0103857	0.952543	0.0623487	6.22535	0.265046	0.259829	1.77785
