#X	#Y	#DWt
10	200	-0.113409
20	200	-0.116649
30	200	-0.113983
40	200	-0.110637
10	300	-0.116417
20	300	-0.116857
20	400	-0.115341
50	200	-0.108281
50	300	-0.0961163
60	200	-0.111115
10	400	-0.117049
10	500	-0.117196
70	200	-0.114583
20	500	-0.113512
30	300	-0.105903
30	400	-0.10867
40	300	-0.104014
70	300	-0.11187
30	500	-0.103579
10	600	-0.117414
10	700	-0.11727
40	400	-0.10254
30	600	-0.0975309
100	200	-0.101188
10	900	-0.11723
50	400	-0.111066
60	400	0.298293
40	500	-0.0984761
90	200	0.281847
50	500	-0.0982837
40	600	-0.0920678
60	300	-0.116734
70	400	-0.0826958
80	400	-0.0776751
60	500	-0.0852543
80	200	-0.108472
20	600	-0.111097
50	600	-0.0904316
60	600	-0.100856
30	700	-0.0996462
80	300	-0.110729
70	500	-0.103639
80	500	-0.0905078
90	500	0.371574
100	500	0.312717
70	600	-0.0849698
90	300	0.37935
40	700	-0.0914876
90	400	-0.0749669
80	600	-0.0740109
100	400	0.309042
90	600	0.387641
80	700	0.369412
10	800	-0.116388
100	300	0.290094
100	600	0.419045
20	700	-0.107887
50	700	-0.103479
60	700	-0.0925245
70	700	-0.08492
100	700	0.449545
20	800	-0.11051
30	800	-0.0986353
40	800	-0.104072
50	800	-0.0823336
60	800	-0.0763953
20	900	-0.106776
90	700	0.307927
30	900	-0.0919912
40	900	-0.0878902
50	900	-0.0803375
60	900	0.301357
70	800	-0.0826622
80	800	0.296742
90	800	0.439415
100	800	0.396885
70	900	0.288403
80	900	0.445091
90	900	-0.0390233
100	900	0.50167
10	1000	-0.116245
20	1000	-0.104136
30	1000	-0.0920258
40	1000	-0.0796236
50	1000	-0.0761776
60	1000	-0.0739716
70	1000	-0.0637395
80	1000	0.333197
90	1000	0.302628
100	1000	0.580251
