#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaM	#PSD_Ca3CaM	#PSD_CaMKIIact	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
-50	0	-0.154596	-65.0041	0	0.0405731	0.000247226	58.8777	0.000100307	0.851258	0.142409	0.00633348	0.0506904	0.0538551	75.7302	0.000607064	0.287145	75.7176	0.00153085	2.36021	0.323751	0.32416	0.017506	0.186393	0.47506	0.056296	0.186565	0.475073	0.764346	0.0129318	0.764416	0.0776358	6.39123	0.183725	0.198869	1.44594
-45	0	-0.175027	-65.0042	0	0.0405729	0.000243081	57.8903	9.8625e-05	0.851939	0.141756	0.00630559	0.0506737	0.053784	75.7891	0.000572565	0.279554	75.7767	0.00143002	2.28674	0.317463	0.317859	0.0163091	0.173081	0.43628	0.0522226	0.17324	0.436292	0.737188	0.0134022	0.737254	0.0804603	6.40105	0.182683	0.198708	1.41099
-40	0	-0.200314	-65.0043	0	0.0405726	0.000238254	56.7405	9.6666e-05	0.852724	0.141003	0.00627336	0.0506541	0.0537012	75.8634	0.000532084	0.271034	75.8513	0.00131253	2.20438	0.309344	0.309724	0.01492	0.157575	0.390399	0.0474844	0.15772	0.390409	0.702107	0.014063	0.702167	0.0844277	6.41364	0.181042	0.19819	1.36774
-35	0	-0.231438	-65.0044	0	0.0405724	0.000232507	55.3716	9.43337e-05	0.853621	0.140143	0.00623647	0.0506311	0.053603	75.9582	0.000485106	0.261656	75.9465	0.00117749	2.11389	0.298689	0.299049	0.013332	0.139822	0.337012	0.0420551	0.139951	0.337021	0.656576	0.0150244	0.656628	0.0902001	6.42989	0.178383	0.197056	1.31451
-30	0	-0.269099	-65.0046	0	0.040572	0.000225515	53.706	9.14958e-05	0.854628	0.139177	0.00619492	0.0506039	0.0534845	76.0802	0.000431549	0.251612	76.0689	0.00102562	2.01719	0.28451	0.284844	0.0115592	0.120035	0.276517	0.0359828	0.120145	0.276523	0.597365	0.0164905	0.597407	0.099002	6.45092	0.17398	0.194949	1.2501
-25	0	-0.312519	-65.0047	0	0.0405716	0.000216848	51.6416	8.79787e-05	0.85573	0.13812	0.00614939	0.0505716	0.0533394	76.2378	0.000372205	0.241285	76.2271	0.000860674	1.918	0.265534	0.265838	0.00965184	0.0988961	0.211119	0.0294492	0.0989864	0.211125	0.521281	0.0188541	0.521309	0.113194	6.47758	0.166724	0.191588	1.17583
-20	0	-0.356168	-65.005	0	0.0405711	0.000206023	49.0633	8.35859e-05	0.856881	0.137017	0.00610163	0.0505338	0.0531612	76.4388	0.000309484	0.231379	76.4287	0.000691312	1.82317	0.240544	0.240808	0.00771676	0.0777897	0.146963	0.0228453	0.0778599	0.146966	0.42983	0.0227775	0.42984	0.136751	6.50801	0.155948	0.187621	1.10118
-15	0	-0.385852	-65.0052	0	0.0405704	0.000192788	45.9108	7.82148e-05	0.858	0.135945	0.00605495	0.0504908	0.0529473	76.6793	0.000248708	0.222834	76.67	0.000533585	1.74166	0.209879	0.210098	0.00594093	0.0588943	0.09551	0.0168431	0.0589463	0.0955124	0.341236	0.0285248	0.34123	0.171259	6.53187	0.145074	0.186472	1.05041
-10	0	-0.388307	-65.0055	0	0.0405697	0.000178209	42.4385	7.22991e-05	0.858949	0.135036	0.00601496	0.0504473	0.0527165	76.9106	0.000200779	0.216742	76.9022	0.000414691	1.68372	0.179859	0.180036	0.00462504	0.0452436	0.0665873	0.0124584	0.0452824	0.066589	0.289026	0.0334989	0.289017	0.201124	6.53392	0.142637	0.192209	1.04621
-5	0	-0.383807	-65.0057	0	0.0405693	0.000169485	40.3605	6.87588e-05	0.859317	0.134684	0.00599925	0.0504264	0.0525844	76.9246	0.000197649	0.216364	76.9167	0.000406494	1.68015	0.177067	0.177234	0.00455289	0.0444857	0.0654729	0.0121592	0.0445236	0.0654745	0.290566	0.0333236	0.290561	0.20007	6.5295	0.14463	0.194219	1.05391
0	0	-0.0678612	-65.0049	0	0.0405712	0.000208578	49.6717	8.46225e-05	0.851421	0.142249	0.00633062	0.0506226	0.0532968	75.5689	0.000703758	0.31303	75.5586	0.00181067	2.6123	0.330041	0.330405	0.0211978	0.230043	0.616907	0.0674535	0.230247	0.616924	0.87432	0.01132	0.874413	0.067959	6.34575	0.191316	0.202074	1.59428
5	0	0.307466	-65.0051	0	0.0405708	0.000200157	47.6661	8.12054e-05	0.837536	0.155549	0.00691581	0.0508031	0.0534233	74.6395	0.00159752	0.937929	74.6297	0.00449334	8.80311	0.376308	0.376715	0.056325	0.61244	1.53673	0.169695	0.612933	1.53677	1.18327	0.00838154	1.1834	0.0503214	6.2046	0.181083	0.165692	2.23623
10	0	0.339054	-65.0051	0	0.0405708	0.000201232	47.922	8.16414e-05	0.835645	0.157361	0.00699482	0.0508334	0.0534803	74.5411	0.00171174	1.11955	74.5312	0.00483621	10.6139	0.378759	0.379173	0.0612908	0.660811	1.62292	0.180907	0.66133	1.62296	1.20001	0.00826391	1.20014	0.0496165	6.19436	0.178958	0.161102	2.29025
15	0	0.271489	-65.005	0	0.040571	0.000203966	48.5732	8.2751e-05	0.839092	0.15406	0.00684799	0.0507858	0.0534445	74.7339	0.00149071	0.793722	74.7239	0.00416675	7.36663	0.373968	0.374377	0.0526315	0.567646	1.45264	0.155359	0.568093	1.45268	1.16468	0.00851559	1.16482	0.0511252	6.21736	0.18259	0.170142	2.17469
20	0	0.196953	-65.005	0	0.0405711	0.000206153	49.0943	8.36387e-05	0.842274	0.151013	0.00671304	0.0507442	0.0534154	74.9197	0.00128667	0.593067	74.9095	0.00355087	5.37249	0.368445	0.368848	0.044477	0.480277	1.27041	0.132044	0.480658	1.27045	1.11942	0.00885917	1.11955	0.0531867	6.24404	0.185506	0.179234	2.04721
25	0	0.132933	-65.0049	0	0.0405712	0.000208041	49.5438	8.44046e-05	0.844658	0.14873	0.00661234	0.0507147	0.053401	75.068	0.00113281	0.487281	75.0577	0.0030879	4.32481	0.363057	0.363455	0.0382788	0.413935	1.11696	0.11459	0.414268	1.11699	1.07405	0.00923148	1.07417	0.0554212	6.26839	0.186925	0.185686	1.93771
30	0	0.0828688	-65.0049	0	0.0405713	0.000209569	49.9079	8.5025e-05	0.846354	0.147105	0.00654104	0.0506944	0.0533946	75.1807	0.00102267	0.42901	75.1704	0.00275753	3.74963	0.358152	0.358547	0.0338329	0.366496	0.999403	0.102199	0.366794	0.99943	1.03388	0.00958783	1.03399	0.0575603	6.2884	0.18731	0.189718	1.85208
35	0	0.0454698	-65.0049	0	0.0405713	0.000210671	50.1704	8.5472e-05	0.847549	0.14596	0.00649115	0.0506803	0.053391	75.2648	0.000945014	0.394739	75.2544	0.00252527	3.41232	0.353912	0.354303	0.0306995	0.333242	0.913411	0.0935374	0.333517	0.913436	1.00105	0.00989994	1.00116	0.0594339	6.3039	0.187194	0.19214	1.78812
40	0	0.0181431	-65.0048	0	0.0405713	0.000211341	50.3299	8.57438e-05	0.848397	0.145147	0.00645594	0.0506701	0.0533869	75.327	0.000890141	0.373372	75.3166	0.00236159	3.20249	0.350374	0.350762	0.028488	0.309945	0.851681	0.0874704	0.310204	0.851705	0.975542	0.0101568	0.975647	0.0609758	6.31551	0.186907	0.193606	1.74138
45	0	-0.00165067	-65.0048	0	0.0405714	0.000211617	50.3957	8.5856e-05	0.849013	0.144556	0.0064306	0.0506623	0.053381	75.373	0.000850939	0.359394	75.3626	0.0022449	3.06546	0.347476	0.347861	0.0269091	0.293469	0.807508	0.0831712	0.293715	0.80753	0.956297	0.0103595	0.956399	0.0621928	6.32404	0.18661	0.194524	1.70753
