#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
-50	0	-0.0226848	-64.9999	0	0.0405832	1.13084e-37	2.69364e-32	4.58933e-38	0.742349	0.246614	0.0110375	0.05004	0.0500328	176.014	0.000155664	176.02	0.000207381	0.475284	3.7234	2.63604	0.139477	2.63622	0.139477	0.0784095	0.0784149	0.00189326	0.0161218	0.112997	0.00252204	0.0161297	0.112997	0.897603	0.0110124	0.897718	0.0661109	6.31096	0.21816	0.200972	1.68178
-45	0	-0.0407245	-64.9999	0	0.0405832	1.12262e-37	2.67405e-32	4.55595e-38	0.743779	0.245245	0.0109762	0.0500397	0.0500325	174.704	0.000154334	174.71	0.00020565	0.466935	3.64602	2.61109	0.139486	2.61127	0.139487	0.0777166	0.077722	0.00187701	0.0159205	0.110991	0.00250089	0.0159283	0.110991	0.891411	0.0110881	0.891526	0.0665657	6.32055	0.216782	0.199201	1.65074
-40	0	-0.0633759	-64.9999	0	0.0405832	1.11507e-37	2.65607e-32	4.52531e-38	0.745727	0.24338	0.0108928	0.0500392	0.0500321	172.927	0.000152547	172.933	0.000203311	0.457256	3.55786	2.57768	0.139499	2.57786	0.139499	0.0767852	0.0767906	0.00185518	0.0156574	0.108378	0.00247231	0.0156652	0.108378	0.883249	0.0111896	0.883364	0.0671748	6.33286	0.214826	0.196737	1.61176
-35	0	-0.0920017	-64.9999	0	0.0405832	1.10865e-37	2.64078e-32	4.49926e-38	0.748409	0.240813	0.0107778	0.0500386	0.0500315	170.495	0.000150117	170.501	0.000200117	0.446031	3.45787	2.53248	0.139516	2.53266	0.139516	0.0755184	0.0755238	0.00182549	0.015312	0.104945	0.00243329	0.0153198	0.104945	0.872311	0.0113285	0.872424	0.0680085	6.34884	0.212019	0.193305	1.5625
-30	0	-0.128457	-64.9999	0	0.0405832	1.104e-37	2.6297e-32	4.48039e-38	0.752132	0.23725	0.0106184	0.0500378	0.0500308	167.148	0.000146784	167.154	0.000195718	0.432917	3.34414	2.47092	0.139539	2.47109	0.139539	0.0737798	0.0737851	0.00178476	0.0148574	0.10039	0.00237954	0.0148651	0.10039	0.857243	0.0115254	0.857355	0.0691911	6.36981	0.207931	0.188538	1.49977
-25	0	-0.174985	-64.9999	0	0.0405832	1.1018e-37	2.62447e-32	4.47147e-38	0.757289	0.232314	0.0103974	0.0500366	0.0500298	162.566	0.000142209	162.572	0.000189662	0.417419	3.21358	2.38712	0.13957	2.3873	0.13957	0.0713908	0.071396	0.00172887	0.0142612	0.0942603	0.00230556	0.0142689	0.0942605	0.835511	0.0118219	0.83562	0.0709706	6.39751	0.201875	0.181994	1.4197
-20	0	-0.232633	-64.9999	0	0.0405832	1.10211e-37	2.62521e-32	4.47272e-38	0.764268	0.225633	0.0100984	0.0500351	0.0500284	156.463	0.000136054	156.469	0.000181493	0.399068	3.06325	2.27545	0.13961	2.27562	0.139611	0.0681696	0.0681747	0.00165368	0.0134978	0.0859425	0.00220579	0.0135053	0.0859427	0.80227	0.0123059	0.802375	0.0738766	6.43342	0.192902	0.173463	1.3205
-15	0	-0.294895	-64.9999	0	0.0405832	1.10214e-37	2.62528e-32	4.47285e-38	0.77303	0.217247	0.00972306	0.0500331	0.0500267	148.958	0.000128329	148.964	0.000171223	0.378284	2.89683	2.13656	0.13966	2.13672	0.139661	0.0641099	0.0641147	0.00155934	0.012599	0.0752005	0.00208037	0.0126064	0.0752008	0.751688	0.0131235	0.751787	0.0787847	6.47456	0.180855	0.16423	1.21336
-10	0	-0.339781	-64.9999	0	0.0405832	1.09198e-37	2.60107e-32	4.4316e-38	0.78185	0.208804	0.00934518	0.0500311	0.050025	141.573	0.000120531	141.578	0.000160841	0.358815	2.74341	1.99695	0.139711	1.9971	0.139711	0.0599892	0.0599938	0.00146411	0.0117772	0.0646249	0.0019536	0.0117845	0.0646253	0.693891	0.0142015	0.693982	0.0852565	6.50613	0.170006	0.158586	1.13612
-5	0	-0.338133	-64.9999	0	0.0405832	1.05134e-37	2.50426e-32	4.26667e-38	0.783068	0.207639	0.00929302	0.050031	0.0500249	140.562	0.000120022	140.568	0.000160172	0.356269	2.72357	1.98277	0.139715	1.98293	0.139716	0.0597815	0.0597861	0.00145796	0.0117315	0.0640829	0.00194552	0.0117388	0.0640834	0.690605	0.0142681	0.690697	0.0856564	6.5045	0.170628	0.15979	1.13895
0	0	0.0387344	-64.9999	0	0.0405832	9.4306e-38	2.24635e-32	3.82724e-38	0.742175	0.24678	0.0110449	0.0500408	0.0500335	176.157	0.000157945	176.163	0.000210336	0.49266	3.89952	2.65789	0.139467	2.65808	0.139467	0.0798143	0.0798198	0.0019214	0.0165449	0.117575	0.0025585	0.0165528	0.117575	0.912082	0.0108391	0.912199	0.0650707	6.27448	0.225759	0.210843	1.78747
5	0	0.416746	-64.9999	0	0.0405832	8.88014e-38	2.11523e-32	3.60385e-38	0.740363	0.248514	0.0111227	0.0500456	0.050041	177.756	0.000168062	177.761	0.000217267	1.30835	12.2093	2.80134	0.139398	2.80152	0.139398	0.0846879	0.084693	0.00204506	0.018263	0.136586	0.00264331	0.0182707	0.136586	0.971932	0.0101651	0.972054	0.0610236	6.13579	0.208418	0.184468	2.43796
10	0	0.448417	-64.9999	0	0.0405832	9.07736e-38	2.16221e-32	3.68389e-38	0.741575	0.247354	0.0110708	0.0500463	0.0500426	176.625	0.000168782	176.63	0.000216239	1.53685	14.5451	2.80355	0.139394	2.80372	0.139394	0.0848726	0.0848776	0.00205378	0.01834	0.137559	0.0026307	0.0183477	0.137559	0.975629	0.0101232	0.975751	0.0607724	6.12624	0.205418	0.18014	2.49246
15	0	0.376762	-64.9999	0	0.0405832	9.06898e-38	2.16021e-32	3.68049e-38	0.738581	0.25022	0.011199	0.0500448	0.0500396	179.423	0.000167485	179.429	0.000218185	1.11105	10.1883	2.80699	0.139399	2.80717	0.139399	0.0844839	0.0844892	0.00203798	0.0181835	0.135524	0.00265446	0.0181913	0.135524	0.968047	0.0102087	0.96817	0.0612857	6.14894	0.211351	0.188918	2.36916
20	0	0.295095	-64.9999	0	0.0405832	9.07373e-38	2.16134e-32	3.68241e-38	0.736622	0.252095	0.0112829	0.0500437	0.0500375	181.27	0.000166205	181.276	0.000218744	0.839361	7.40667	2.80301	0.139405	2.8032	0.139405	0.0839392	0.0839446	0.00202233	0.0179766	0.132964	0.00266121	0.0179845	0.132964	0.959471	0.0103036	0.959592	0.0618554	6.17512	0.217837	0.198801	2.22863
25	0	0.228499	-64.9999	0	0.0405832	9.10795e-38	2.1695e-32	3.6963e-38	0.735731	0.252948	0.011321	0.050043	0.0500363	182.117	0.000165077	182.124	0.00021832	0.703673	6.01756	2.79395	0.139411	2.79414	0.139412	0.0833633	0.0833688	0.00200847	0.017765	0.130454	0.00265593	0.017773	0.130454	0.951506	0.0103912	0.951627	0.0623818	6.1983	0.221787	0.204898	2.11403
