#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
-50	0	-0.0466848	-64.9999	0	0.0405832	4.03171e-37	9.60353e-32	1.63621e-37	0.919466	0.0802559	0.000278213	94.8398	0.0500045	0.050008	88.5924	4.58979e-05	88.5969	4.95458e-05	0.102337	19.066	5.99667e-08	3.06009	19.1659	7.69168e-06	3.97324	2.83759	0.0363696	1.02695	0.0557005	0.00288149	2.60288e-06	0.685855	0.140187	0.685855	0.140187	0.0520675	0.052068	0.000562512	0.00870093	0.0960534	0.000607159	0.0087063	0.0960533	0.965436	0.0102469	0.965558	0.0615155	6.30623	0.229253	0.216851	1.64048
-45	0	-0.0668305	-64.9999	0	0.0405832	3.96066e-37	9.43428e-32	1.60738e-37	0.919435	0.0802865	0.000278124	97.5839	0.0500045	0.0500079	88.6332	4.56299e-05	88.6377	4.93367e-05	0.101914	19.0971	5.1149e-08	2.93665	19.1974	6.56403e-06	3.82052	2.84748	0.0364962	0.873564	0.0474024	0.00289161	2.21789e-06	0.685855	0.140187	0.685855	0.140187	0.0516157	0.0516163	0.00055917	0.00860025	0.0947696	0.000604537	0.00860563	0.0947695	0.960775	0.0102962	0.960896	0.0618115	6.31519	0.229014	0.216621	1.60582
-40	0	-0.0904391	-64.9999	0	0.0405832	3.88022e-37	9.24267e-32	1.57473e-37	0.919404	0.0803177	0.00027796	100.413	0.0500044	0.0500077	88.6762	4.5277e-05	88.6808	4.90364e-05	0.101508	19.1289	4.21415e-08	2.81037	19.2295	5.41098e-06	3.66422	2.85741	0.0366232	0.716795	0.0389176	0.00290174	1.82407e-06	0.685855	0.140187	0.685855	0.140187	0.0510233	0.0510238	0.00055477	0.00847205	0.0931344	0.00060078	0.00847742	0.0931344	0.95481	0.01036	0.954931	0.0621943	6.32632	0.228268	0.215731	1.56519
-35	0	-0.117943	-64.9999	0	0.0405832	3.78789e-37	9.02274e-32	1.53726e-37	0.919374	0.0803481	0.000277683	103.211	0.0500043	0.0500075	88.7203	4.48065e-05	88.7249	4.86058e-05	0.101134	19.16	3.33244e-08	2.68672	19.261	4.28119e-06	3.51112	2.86697	0.0367452	0.563429	0.0306128	0.00291148	1.43832e-06	0.685855	0.140187	0.685855	0.140187	0.0502365	0.050237	0.000548907	0.0083081	0.0910373	0.000595401	0.00831348	0.0910373	0.947095	0.0104436	0.947215	0.0626964	6.34018	0.22672	0.213813	1.51786
-30	0	-0.149836	-64.9999	0	0.0405832	3.68064e-37	8.76728e-32	1.49373e-37	0.919347	0.080376	0.000277244	105.836	0.0500041	0.0500072	88.7643	4.41738e-05	88.7689	4.79921e-05	0.100803	19.1889	2.51465e-08	2.57215	19.2902	3.23229e-06	3.36924	2.87568	0.0368562	0.42147	0.022921	0.00292033	1.08061e-06	0.685855	0.140187	0.685855	0.140187	0.0491813	0.0491818	0.000541024	0.00809849	0.0883344	0.000587744	0.00810387	0.0883344	0.936993	0.0105551	0.937112	0.063366	6.35751	0.223963	0.210401	1.46298
-25	0	-0.186635	-64.9999	0	0.0405832	3.55525e-37	8.46859e-32	1.44285e-37	0.919324	0.0803995	0.000276582	108.141	0.050004	0.050007	88.807	4.33228e-05	88.8116	4.71303e-05	0.100527	19.2138	1.80626e-08	2.47319	19.3153	2.32294e-06	3.24667	2.88312	0.0369506	0.298955	0.0162782	0.00292785	7.71159e-07	0.685855	0.140187	0.685855	0.140187	0.0477645	0.047765	0.000530425	0.00783297	0.0848519	0.000576999	0.00783835	0.0848519	0.923566	0.0107071	0.923684	0.0642781	6.37917	0.219487	0.204991	1.39965
-20	0	-0.228333	-64.9999	0	0.0405832	3.40958e-37	8.12162e-32	1.38373e-37	0.919307	0.0804173	0.000275645	109.998	0.0500038	0.0500066	88.8476	4.22051e-05	88.8522	4.59641e-05	0.100312	19.2334	1.24494e-08	2.39509	19.3352	1.60181e-06	3.14991	2.88894	0.037024	0.202364	0.0110371	0.00293367	5.26493e-07	0.685855	0.140187	0.685855	0.140187	0.0459041	0.0459046	0.000516507	0.00750713	0.0804391	0.00056247	0.0075125	0.0804392	0.905529	0.0109182	0.905644	0.0655453	6.40574	0.212781	0.197264	1.3279
-15	0	-0.271798	-64.9999	0	0.0405832	3.24713e-37	7.73466e-32	1.3178e-37	0.919297	0.0804286	0.000274472	111.326	0.0500035	0.0500063	88.8844	4.08641e-05	88.889	4.45396e-05	0.100159	19.2471	8.53898e-09	2.34089	19.3489	1.09914e-06	3.08277	2.89296	0.0370741	0.135422	0.00740231	0.00293762	3.56465e-07	0.685855	0.140187	0.685855	0.140187	0.0436701	0.0436706	0.000499813	0.00714377	0.0752516	0.000544729	0.00714914	0.0752517	0.882204	0.0112037	0.882317	0.0672598	6.43561	0.203966	0.187865	1.2531
-10	0	-0.303111	-64.9999	0	0.0405832	3.09136e-37	7.36362e-32	1.25459e-37	0.919293	0.0804337	0.000273459	112.042	0.0500033	0.050006	88.9101	3.9733e-05	88.9148	4.33266e-05	0.100075	19.2541	6.50825e-09	2.31279	19.3561	8.37992e-07	3.04796	2.89506	0.0370996	0.100771	0.00552002	0.00293962	2.68304e-07	0.685855	0.140187	0.685855	0.140187	0.0417824	0.0417829	0.000485734	0.00685808	0.0709032	0.000529629	0.00686345	0.0709033	0.86044	0.011484	0.86055	0.0689424	6.45853	0.196346	0.18052	1.19922
-5	0	-0.272712	-64.9999	0	0.0405832	3.04363e-37	7.24992e-32	1.23521e-37	0.919296	0.0804298	0.000274268	111.493	0.0500035	0.0500062	88.8898	4.06352e-05	88.8944	4.42948e-05	0.100139	19.2486	8.10547e-09	2.33488	19.3505	1.04341e-06	3.07533	2.89343	0.0370798	0.127995	0.00699902	0.00293807	3.37605e-07	0.685855	0.140187	0.685855	0.140187	0.0432881	0.0432886	0.000496963	0.00708579	0.0743997	0.000541681	0.00709116	0.0743998	0.878231	0.0112539	0.878344	0.0675608	6.43604	0.203882	0.188038	1.25153
