#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#Cyt_Ca0CaM_CaMKII	#Cyt_Ca1CaM_CaMKII	#Cyt_Ca0CaM_CaMKIIP	#Cyt_Ca1CaM_CaMKIIP	#Cyt_CaMKII	#Cyt_CaMKIIP	#Cyt_CaMKII_AutoK	#PSD_CaMKIIact	#PSD_Ca0CaM_CaMKII	#PSD_Ca1CaM_CaMKII	#PSD_Ca0CaM_CaMKIIP	#PSD_Ca1CaM_CaMKIIP	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKII_AutoK	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
-50	0	-0.0747426	-64.9999	0	0.0405832	5.35482e-17	1.27552e-11	2.17318e-17	0.918319	0.0812975	0.000383403	20	0.0500171	0.0500145	88.0107	0.000121767	88.0139	0.000170442	0.23366	0.291919	0.0037387	0.00634782	0.000343415	19.2561	1.71952e-08	0	1.79501	2.22444	0.028488	0.0634509	0.00343909	19.3283	2.50758e-07	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.143244	0.143248	0.0015085	0.0232063	0.181404	0.00211213	0.023214	0.181404	0.85967	0.0114936	0.859781	0.0689999	6.28924	0.244551	0.271902	1.5922
-45	0	-0.0820339	-64.9999	0	0.0405832	5.26565e-17	1.25428e-11	2.13699e-17	0.918328	0.0812897	0.000382019	20	0.0500169	0.0500143	88.0262	0.000120632	88.0295	0.00016883	0.232826	0.292015	0.00373989	0.00535205	0.000290197	19.259	1.46001e-08	0	1.78663	2.22516	0.0284971	0.0534964	0.00290633	19.3313	2.1558e-07	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.14184	0.141844	0.00149424	0.02227	0.171351	0.00209186	0.0222777	0.171351	0.833834	0.0118457	0.833943	0.0711134	6.29342	0.243503	0.271896	1.57965
-40	0	-0.0908229	-64.9999	0	0.0405832	5.16427e-17	1.23013e-11	2.09585e-17	0.918341	0.0812785	0.000380152	20	0.0500166	0.0500141	88.0463	0.000119104	88.0495	0.000166659	0.231956	0.292127	0.00374129	0.00432258	0.000235121	19.2621	1.19065e-08	0	1.77789	2.22602	0.0285077	0.0432051	0.00235495	19.3343	1.78846e-07	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.139946	0.139949	0.00147504	0.0211506	0.158967	0.00206457	0.0211583	0.158967	0.799963	0.0123413	0.800068	0.0740887	6.29872	0.24198	0.271945	1.56453
-35	0	-0.10125	-64.9999	0	0.0405832	5.04723e-17	1.20225e-11	2.04834e-17	0.91836	0.0812622	0.000377584	20	0.0500162	0.0500138	88.0728	0.000117004	88.076	0.000163674	0.231083	0.29226	0.00374296	0.0033065	0.000180677	19.2651	9.23237e-09	0	1.76915	2.22703	0.0285204	0.0330478	0.00180988	19.3374	1.42057e-07	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.137331	0.137335	0.00144866	0.0198372	0.143883	0.00202706	0.0198449	0.143884	0.755457	0.0130592	0.755556	0.0783988	6.30536	0.239772	0.272146	1.54659
-30	0	-0.113213	-64.9999	0	0.0405832	4.91028e-17	1.16963e-11	1.99277e-17	0.918388	0.0812384	0.00037399	20	0.0500157	0.0500133	88.1086	0.000114068	88.1118	0.000159501	0.230247	0.292423	0.00374498	0.00236341	0.000130019	19.268	6.7281e-09	0	1.76083	2.22826	0.0285358	0.0236203	0.00130268	19.3403	1.07122e-07	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.133656	0.13366	0.00141178	0.0183445	0.125984	0.00197463	0.0183521	0.125986	0.697701	0.0141256	0.697792	0.084801	6.31348	0.236658	0.272714	1.526
-25	0	-0.125994	-64.9999	0	0.0405832	4.74881e-17	1.13116e-11	1.92723e-17	0.918427	0.0812039	0.000368939	20	0.050015	0.0500127	88.1576	0.000109942	88.1609	0.000153641	0.229493	0.292625	0.00374748	0.00155637	8.64786e-05	19.2707	4.55334e-09	0	1.75339	2.2298	0.0285548	0.0155531	0.000866687	19.3429	7.60416e-08	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.128457	0.12846	0.00136	0.0167309	0.105866	0.00190105	0.0167384	0.105868	0.626044	0.015718	0.626125	0.0943613	6.32267	0.232622	0.274065	1.50401
-20	0	-0.137675	-64.9999	0	0.0405832	4.55953e-17	1.08608e-11	1.85042e-17	0.918482	0.0811563	0.000362049	20	0.050014	0.0500119	88.2238	0.000104309	88.227	0.000145649	0.228854	0.292877	0.0037506	0.00093604	5.27345e-05	19.2729	2.83891e-09	0	1.74717	2.23172	0.0285786	0.00935282	0.000528713	19.3451	5.04205e-08	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.12129	0.121294	0.00128936	0.0151066	0.0855143	0.00180079	0.015114	0.085516	0.546344	0.0179714	0.546412	0.10789	6.3312	0.228428	0.27685	1.48391
-15	0	-0.145083	-64.9999	0	0.0405832	4.34646e-17	1.03533e-11	1.76395e-17	0.918548	0.0810982	0.000353643	20	0.0500128	0.0500109	88.3044	9.74263e-05	88.3077	0.0001359	0.228356	0.293171	0.00375422	0.000524997	3.00445e-05	19.2746	1.65539e-09	0	1.74244	2.23396	0.0286063	0.00524489	0.000301359	19.3468	3.13481e-08	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.112427	0.112431	0.00120314	0.0136321	0.0684908	0.0016786	0.0136393	0.0684924	0.47541	0.0205997	0.475468	0.12367	6.33555	0.226108	0.281449	1.47116
-10	0	-0.146531	-64.9999	0	0.0405832	4.13996e-17	9.86137e-12	1.68014e-17	0.918603	0.08105	0.00034662	20	0.0500118	0.0500101	88.3723	9.16676e-05	88.3756	0.000127755	0.228055	0.293412	0.00375719	0.000322417	1.86491e-05	19.2757	1.04298e-09	0	1.73965	2.23579	0.0286289	0.00322069	0.000187115	19.3478	2.05733e-08	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.104919	0.104922	0.00113106	0.0126334	0.0588135	0.00157663	0.0126405	0.0588148	0.435531	0.0224451	0.435581	0.134749	6.33427	0.226848	0.286119	1.46867
-5	0	-0.144175	-64.9999	0	0.0405832	4.07152e-17	9.69836e-12	1.65237e-17	0.91856	0.0810881	0.000352176	20	0.0500126	0.0500108	88.3186	9.62247e-05	88.3218	0.000134199	0.228288	0.293221	0.00375484	0.000477271	2.73744e-05	19.2749	1.51314e-09	0	1.74181	2.23434	0.028611	0.00476798	0.000274594	19.347	2.89078e-08	0	0	0	0	0	0	0	0	0.685855	0.140187	0.685855	0.140187	0.110867	0.110871	0.00118809	0.0134116	0.0662765	0.0016573	0.0134188	0.066278	0.466479	0.0209861	0.466535	0.12599	6.33372	0.227112	0.283201	1.47272
