#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
-50	0	-0.0616577	-64.9999	0	0.0405832	5.42533e-17	1.29231e-11	2.20179e-17	0.919133	0.0805434	0.000323345	60.6455	0.0500139	0.0500194	88.091	9.74021e-05	88.0955	0.000101868	0.115745	2.26788	3.24315	2.79811	0.0358936	0.110476	0.00610603	0.283302	3.11301e-07	0.685855	0.140187	0.685855	0.140187	0.134081	0.134082	0.0012065	0.018527	0.147433	0.00126179	0.0185324	0.147434	0.7797	0.0126581	0.779802	0.0759908	6.29914	0.23292	0.256296	1.61472
-45	0	-0.0688848	-64.9999	0	0.0405832	5.33066e-17	1.26976e-11	2.16337e-17	0.919135	0.0805427	0.000322305	60.8406	0.0500137	0.0500192	88.11	9.62148e-05	88.1144	0.000100642	0.11565	2.2569	3.22973	2.79914	0.035906	0.0968181	0.00537262	0.283399	2.78132e-07	0.685855	0.140187	0.685855	0.140187	0.132288	0.132288	0.0011916	0.0177115	0.137893	0.0012464	0.017717	0.137894	0.749981	0.0131533	0.750079	0.0789641	6.30349	0.231549	0.25682	1.60228
-40	0	-0.0774507	-64.9999	0	0.0405832	5.22326e-17	1.24418e-11	2.11978e-17	0.919138	0.080541	0.000320909	61.0545	0.0500134	0.0500188	88.1347	9.46273e-05	88.1391	9.89985e-05	0.115543	2.24501	3.21521	2.80023	0.0359187	0.0820971	0.00458102	0.283498	2.42112e-07	0.685855	0.140187	0.685855	0.140187	0.129884	0.129885	0.00117169	0.0167641	0.126469	0.00122578	0.0167695	0.12647	0.712229	0.0138413	0.712322	0.0830942	6.30883	0.229703	0.257592	1.58754
-35	0	-0.0873157	-64.9999	0	0.0405832	5.09964e-17	1.21473e-11	2.06962e-17	0.919143	0.080538	0.000319007	61.2812	0.050013	0.0500183	88.1672	9.24733e-05	88.1717	9.67625e-05	0.115427	2.23263	3.20006	2.80131	0.0359309	0.0668522	0.0037595	0.283591	2.04388e-07	0.685855	0.140187	0.685855	0.140187	0.126612	0.126612	0.00114467	0.0156883	0.113063	0.00119774	0.0156937	0.113064	0.664812	0.0148145	0.664899	0.0889368	6.3152	0.227273	0.258785	1.57057
-30	0	-0.0980416	-64.9999	0	0.0405832	4.95567e-17	1.18044e-11	2.01119e-17	0.919151	0.0805328	0.000316394	61.5112	0.0500125	0.0500176	88.2107	8.95242e-05	88.2152	9.36941e-05	0.115304	2.22037	3.18505	2.80229	0.0359412	0.0519056	0.00295111	0.283668	1.66699e-07	0.685855	0.140187	0.685855	0.140187	0.122111	0.122112	0.0011077	0.0145071	0.0979259	0.00115927	0.0145125	0.0979274	0.607163	0.0161992	0.607241	0.0972505	6.32232	0.224287	0.260708	1.55211
-25	0	-0.108386	-64.9999	0	0.0405832	4.7869e-17	1.14024e-11	1.9427e-17	0.919162	0.0805248	0.000312831	61.7313	0.0500117	0.0500167	88.2688	8.55129e-05	88.2732	8.95122e-05	0.115177	2.20901	3.17112	2.80307	0.0359479	0.0382957	0.00220991	0.283716	1.31172e-07	0.685855	0.140187	0.685855	0.140187	0.11595	0.115951	0.00105744	0.0132676	0.0819965	0.00110686	0.0132729	0.0819981	0.542002	0.018113	0.54207	0.10874	6.32905	0.221224	0.263839	1.53431
-20	0	-0.115939	-64.9999	0	0.0405832	4.59048e-17	1.09345e-11	1.86298e-17	0.919178	0.0805136	0.000308168	61.9262	0.0500108	0.0500155	88.3438	8.02738e-05	88.3483	8.40428e-05	0.115052	2.19937	3.15925	2.80354	0.0359498	0.0270713	0.00159036	0.283722	9.98887e-08	0.685855	0.140187	0.685855	0.140187	0.107835	0.107836	0.00099184	0.0120359	0.0671407	0.00103837	0.0120413	0.0671423	0.478276	0.0204789	0.478334	0.122944	6.33288	0.219439	0.268668	1.52131
-15	0	-0.117896	-64.9999	0	0.0405832	4.37121e-17	1.04122e-11	1.77399e-17	0.919197	0.0805004	0.000302752	62.0795	0.0500096	0.0500141	88.4306	7.41943e-05	88.4351	7.76907e-05	0.114939	2.19213	3.15028	2.80369	0.0359467	0.0190142	0.00113519	0.283688	7.48689e-08	0.685855	0.140187	0.685855	0.140187	0.0983191	0.0983196	0.000915777	0.0109113	0.0557381	0.000958891	0.0109166	0.0557394	0.430609	0.0226963	0.430658	0.136257	6.33085	0.220734	0.274966	1.51794
-10	0	-0.114983	-64.9999	0	0.0405832	4.16116e-17	9.91187e-12	1.68875e-17	0.919212	0.0804899	0.000298427	62.1686	0.0500087	0.0500129	88.5002	6.93418e-05	88.5046	7.26188e-05	0.114865	2.18805	3.14519	2.80364	0.035942	0.014721	0.000885825	0.283643	5.98275e-08	0.685855	0.140187	0.685855	0.140187	0.0906461	0.0906466	0.000855114	0.0101453	0.0496916	0.000895481	0.0101507	0.0496926	0.409498	0.0238393	0.409543	0.14312	6.32468	0.224307	0.280336	1.52296
-5	0	-0.116051	-64.9999	0	0.0405832	4.09763e-17	9.76055e-12	1.66296e-17	0.9192	0.0804983	0.000301908	62.0988	0.0500095	0.0500138	88.4442	7.32477e-05	88.4486	7.67014e-05	0.114924	2.19129	3.14923	2.80369	0.0359459	0.0181173	0.0010834	0.28368	7.18144e-08	0.685855	0.140187	0.685855	0.140187	0.0968277	0.0968283	0.00090394	0.010755	0.0544348	0.000946519	0.0107604	0.0544361	0.426048	0.0229338	0.426096	0.137683	6.32809	0.22225	0.276775	1.52112
