#X	#Y	#DWt
-15	25	-0.0821777
-14	25	-0.145213
-13	25	-0.153337
-12	25	-0.156699
-11	25	-0.159351
-10	25	-0.161295
-9	25	-0.162563
-8	25	-0.163222
-7	25	-0.163375
-6	25	-0.163173
-5	25	-0.162832
-4	25	-0.162648
-3	25	-0.162955
-2	25	-0.163605
-1	25	-0.161933
0	25	-0.150204
1	25	-0.1233
2	25	-0.0908941
3	25	-0.0554035
4	25	-0.0234307
5	25	-0.00784317
6	25	-0.00255817
7	25	-0.00281041
8	25	-0.00642528
9	25	-0.0120467
10	25	-0.0188071
11	25	-0.0261657
12	25	-0.0337937
13	25	-0.0414951
14	25	-0.049155
15	25	-0.0567077
