#X	#Y	#DWt
10	200	-0.0394156
20	200	-0.0478878
30	200	-0.0552415
40	200	-0.0616887
10	300	-0.0469808
20	300	-0.0570187
20	400	-0.0633172
50	200	-0.0625329
50	300	-0.0646201
60	200	-0.056986
10	400	-0.0530875
10	500	-0.0581552
70	200	-0.0583064
20	500	-0.0676618
30	300	-0.0629082
30	400	-0.0673224
40	300	-0.0657989
70	300	-0.0528894
30	500	-0.0698315
10	600	-0.0624499
10	700	-0.066143
40	400	-0.0669797
30	600	-0.0709271
100	200	-0.060852
10	900	-0.0721361
50	400	-0.0647066
60	400	-0.0482245
40	500	-0.0663941
90	200	-0.0641157
50	500	-0.06361
40	600	-0.064701
60	300	-0.0532245
70	400	-0.0464508
80	400	-0.0464522
60	500	-0.0427279
80	200	-0.0605033
20	600	-0.0705959
50	600	-0.061777
60	600	-0.0369785
30	700	-0.0709975
80	300	-0.0545159
70	500	-0.039103
80	500	-0.0369243
90	500	-0.0408072
100	500	-0.0121482
70	600	-0.0314722
90	300	-0.0595731
40	700	-0.0622921
90	400	-0.0508367
80	600	-0.0279652
100	400	-0.0290654
90	600	-0.0298403
80	700	-0.0196388
10	800	-0.0693465
100	300	-0.0466062
100	600	0.00337224
20	700	-0.0724651
50	700	-0.0594672
60	700	-0.0311026
70	700	-0.0248119
100	700	0.0175067
20	800	-0.0735
30	800	-0.0703221
40	800	-0.0594138
50	800	-0.0568426
60	800	-0.0253137
20	900	-0.0738642
90	700	-0.0200698
30	900	-0.068873
40	900	-0.0562289
50	900	-0.0540104
60	900	-0.0203844
70	800	-0.0178956
80	800	-0.0110575
90	800	-0.0107347
100	800	0.0304275
70	900	-0.0110232
80	900	-0.00306783
90	900	-0.00115595
100	900	0.0423176
10	1000	-0.0745647
20	1000	-0.0736811
30	1000	-0.0670445
40	1000	-0.0528499
50	1000	-0.0510454
60	1000	-0.0148659
70	1000	-0.00511951
80	1000	0.00404014
90	1000	0.00719427
100	1000	0.0533244
