#X	#Y	#DWt
10	10	0.0742899
10	20	0.0654145
10	30	0.0297695
10	40	0.0466327
10	50	0.0451661
20	10	0.0173414
30	10	0.0104583
20	20	0.098739
20	30	0.0502062
20	40	0.0671764
20	50	0.0880797
30	20	0.0736021
40	30	0.108629
30	50	0.104271
10	60	0.183788
40	10	0.015588
30	30	0.122907
30	40	0.0877019
10	70	0.170435
40	20	0.0792621
10	80	0.23501
10	90	0.286802
20	60	0.0799078
30	60	0.114888
20	70	0.181163
20	80	0.289364
20	90	0.282953
10	100	0.260179
30	70	0.117259
30	80	0.265658
30	90	0.290658
40	40	0.141551
40	50	0.12462
50	10	0.0115383
60	10	0.0211305
20	100	0.286955
50	20	0.0747772
60	40	0.139297
70	20	0.0701676
80	10	0.0227
40	60	0.138321
30	100	0.278457
50	30	0.114921
70	10	0.0211264
60	20	0.0706732
40	70	0.219964
50	40	0.134381
40	100	0.291292
60	30	0.118316
70	30	0.109814
90	20	0.07858
40	80	0.239766
50	50	0.146832
50	60	0.184668
50	70	0.252721
100	40	0.139422
60	50	0.154571
70	40	0.14202
70	50	0.157385
80	20	0.0747941
60	60	0.169365
70	60	0.17668
60	70	0.261916
70	70	0.272878
50	80	0.275854
80	40	0.142278
80	50	0.161424
60	80	0.242854
40	90	0.28476
50	90	0.294169
80	60	0.207154
60	90	0.273309
80	70	0.262558
70	80	0.274899
70	90	0.291446
50	100	0.290812
60	100	0.29614
90	10	0.0280033
70	100	0.290917
80	30	0.12122
80	90	0.293761
90	30	0.109026
90	40	0.135578
90	50	0.159194
90	60	0.174947
90	70	0.254337
100	10	0.0278501
100	20	0.0789937
80	80	0.292044
80	100	0.295874
90	80	0.291845
90	90	0.289848
90	100	0.297804
100	30	0.112895
100	50	0.178935
100	60	0.180068
100	70	0.232557
100	80	0.265889
100	90	0.295851
100	100	0.296382
