#X	#Y	#DWt
10	200	-0.0485845
20	200	-0.0561193
30	200	-0.0610084
40	200	-0.0574539
10	300	-0.0576785
20	300	-0.0618451
20	400	-0.0662948
50	200	-0.0636637
50	300	-0.0553299
60	200	-0.0513036
10	400	-0.0583639
10	500	-0.0626428
70	200	-0.0639521
20	500	-0.0691469
30	300	-0.0658982
30	400	-0.0652334
40	300	-0.0631461
70	300	0.21299
30	500	-0.0644522
10	600	-0.0653252
10	700	-0.0689455
40	400	-0.0610933
30	600	-0.0596039
100	200	0.217391
10	900	-0.0739727
50	400	-0.0605877
60	400	-0.0642956
40	500	-0.0593832
90	200	0.217108
50	500	-0.0590557
40	600	-0.0592232
60	300	-0.0555703
70	400	-0.0549265
80	400	-0.0214598
60	500	-0.0371652
80	200	0.238457
20	600	-0.0709794
50	600	-0.068316
60	600	-0.0480825
30	700	-0.0543123
80	300	-0.0637937
70	500	0.213697
80	500	0.215519
90	500	0.232254
100	500	0.252242
70	600	-0.0408737
90	300	0.220745
40	700	-0.0562482
90	400	-0.0454933
80	600	0.235872
100	400	0.236084
90	600	0.26239
80	700	0.220652
10	800	-0.0725512
100	300	0.217435
100	600	0.270467
20	700	-0.071855
50	700	-0.0578722
60	700	0.207407
70	700	-0.0437277
100	700	0.253894
20	800	-0.0730019
30	800	-0.0536729
40	800	-0.0441537
50	800	-0.0362087
60	800	-0.03115
20	900	-0.074441
90	700	0.271617
30	900	-0.0669151
40	900	-0.0433231
50	900	-0.0365604
60	900	0.216059
70	800	0.222729
80	800	0.226157
90	800	0.255493
100	800	0.284321
70	900	-0.0292337
80	900	0.215167
90	900	0.267113
100	900	0.269807
10	1000	-0.0764166
20	1000	-0.0742992
30	1000	-0.0542406
40	1000	-0.0453084
50	1000	-0.0495612
60	1000	-0.0338946
70	1000	-0.00348922
80	1000	0.284254
90	1000	0.290936
100	1000	0.295662
