#X	#Y	#DWt
10	200	0.029739
20	200	0.0355886
30	200	0.0494661
40	200	0.0519939
10	300	0.0283618
20	300	0.0334584
20	400	0.0339087
50	200	0.0505054
50	300	0.0544437
60	200	0.136712
10	400	0.0268002
10	500	0.0246761
70	200	0.0477403
20	500	0.0309967
30	300	0.040213
30	400	0.0417969
40	300	0.0474087
70	300	0.0565905
30	500	0.0416482
10	600	0.0245868
10	700	0.0205112
40	400	0.0491126
30	600	0.0386681
100	200	0.151213
10	900	0.0162869
50	400	0.0482781
60	400	0.0569418
40	500	0.0476668
90	200	0.053877
50	500	0.0510205
40	600	0.049221
60	300	0.04603
70	400	0.100246
80	400	0.120088
60	500	0.0494515
80	200	0.117576
20	600	0.0308645
50	600	0.061534
60	600	0.0511289
30	700	0.0436731
80	300	0.0579453
70	500	0.0538134
80	500	0.109418
90	500	0.162878
100	500	0.175282
70	600	0.0599703
90	300	0.138638
40	700	0.0443579
90	400	0.163438
80	600	0.075251
100	400	0.171844
90	600	0.179197
80	700	0.121302
10	800	0.0189815
100	300	0.126305
100	600	0.182103
20	700	0.0333361
50	700	0.054525
60	700	0.0671816
70	700	0.169985
100	700	0.185277
20	800	0.0299816
30	800	0.0438593
40	800	0.0592821
50	800	0.068869
60	800	0.156068
20	900	0.0289949
90	700	0.181427
30	900	0.0456573
40	900	0.0525543
50	900	0.0690001
60	900	0.0747992
70	800	0.122386
80	800	0.168857
90	800	0.184232
100	800	0.193454
70	900	0.161948
80	900	0.159742
90	900	0.185652
100	900	0.196105
10	1000	0.0177569
20	1000	0.0334227
30	1000	0.0466101
40	1000	0.0577353
50	1000	0.0602117
60	1000	0.0902708
70	1000	0.178085
80	1000	0.177146
90	1000	0.192831
100	1000	0.202042
