#X	#Y	#DWt
10	200	-0.157283
20	200	-0.172294
30	200	-0.183021
40	200	-0.186954
50	200	-0.18419
60	200	-0.170823
70	200	-0.151542
80	200	-0.127925
90	200	-0.113549
100	200	-0.0842484
10	300	-0.171191
20	300	-0.184396
30	300	-0.188972
40	300	-0.184298
50	300	-0.175124
60	300	-0.151717
70	300	-0.127024
80	300	-0.100388
90	300	-0.0828591
100	300	-0.0517998
10	400	-0.180433
20	400	-0.189936
30	400	-0.18753
40	400	-0.175784
50	400	-0.162777
60	400	-0.133108
70	400	-0.108293
80	400	-0.0803563
90	400	-0.0606943
100	400	-0.0256402
10	500	-0.186727
20	500	-0.191532
30	500	-0.182351
40	500	-0.165256
50	500	-0.150038
60	500	-0.11661
70	500	-0.0898361
80	500	-0.0612011
90	500	-0.0422386
100	500	-0.00341488
10	600	-0.190974
20	600	-0.190597
30	600	-0.175361
40	600	-0.154299
50	600	-0.137853
60	600	-0.102046
70	600	-0.0742387
80	600	-0.0445803
90	600	-0.0239771
100	600	0.0161841
10	700	-0.193697
20	700	-0.187962
30	700	-0.167572
40	700	-0.143578
50	700	-0.126496
60	700	-0.0892652
70	700	-0.0619971
80	700	-0.031534
90	700	-0.00926802
100	700	0.034006
10	800	-0.195224
20	800	-0.184166
30	800	-0.159437
40	800	-0.133367
50	800	-0.115996
60	800	-0.0776325
70	800	-0.0491404
80	800	-0.0179811
90	800	0.00405028
100	800	0.0505331
10	900	-0.195781
20	900	-0.179582
30	900	-0.151095
40	900	-0.123761
50	900	-0.106303
60	900	-0.0684208
70	900	-0.0375926
80	900	-0.00528621
90	900	0.0181073
100	900	0.0659619
10	1000	-0.195536
20	1000	-0.174481
30	1000	-0.142982
40	1000	-0.114775
50	1000	-0.0973348
60	1000	-0.0585302
70	1000	-0.0281137
80	1000	0.00510818
90	1000	0.0300197
100	1000	0.0804887
