#X	#Y	#DWt
10	10	-0.0596872
20	10	-0.0504254
30	10	-0.0689145
40	10	-0.104627
50	10	-0.105043
60	10	-0.0959028
70	10	-0.0901692
80	10	0.361237
90	10	0.361703
100	10	0.37416
10	20	-0.0665181
20	20	-0.0126183
30	20	-0.0930168
40	20	-0.0674514
50	20	-0.0638389
60	20	-0.0638927
70	20	0.17199
80	20	0.183988
90	20	0.409059
100	20	0.3993
10	30	-0.0737754
20	30	-0.00207625
30	30	0.00169862
40	30	-0.0261691
50	30	-0.0277459
60	30	-0.0176512
70	30	0.221695
80	30	0.300365
90	30	0.384632
100	30	0.414275
10	40	-0.0650968
20	40	-0.0221022
30	40	0.0290943
40	40	0.0340749
50	40	0.017075
60	40	0.0171178
70	40	0.294571
80	40	0.382842
90	40	0.372546
100	40	0.400616
10	50	-0.0663537
20	50	-0.0180507
30	50	0.0246411
40	50	0.052921
50	50	0.0628731
60	50	0.0661926
70	50	0.0450945
80	50	0.277587
90	50	0.339832
100	50	0.388372
10	60	-0.0603802
20	60	-0.0257427
30	60	0.0244112
40	60	0.0514607
50	60	0.0917613
60	60	0.0849772
70	60	0.243623
80	60	0.366669
90	60	0.395851
100	60	0.389109
10	70	-0.0637277
20	70	-0.0234043
30	70	0.0231738
40	70	0.063875
50	70	0.0873339
60	70	0.114053
70	70	0.134357
80	70	0.344185
90	70	0.384311
100	70	0.414777
10	80	-0.0616201
20	80	-0.0247566
30	80	0.0179726
40	80	0.0631184
50	80	0.0833196
60	80	0.114708
70	80	0.130086
80	80	0.395385
90	80	0.397881
100	80	0.416563
10	90	-0.0576944
20	90	-0.0208212
30	90	0.0184234
40	90	0.0580638
50	90	0.0938808
60	90	0.118306
70	90	0.257241
80	90	0.344908
90	90	0.408371
100	90	0.400617
10	100	-0.0570734
20	100	-0.0168642
30	100	0.0175886
40	100	0.0654339
50	100	0.0780265
60	100	0.127731
70	100	0.148133
80	100	0.325945
90	100	0.396244
100	100	0.395517
