#X	#Y	#DWt
10	200	0.0165507
20	200	0.0209767
30	200	0.0239742
40	200	0.0251465
10	300	0.0160757
20	300	0.0232856
20	400	0.0244722
50	200	0.0354172
50	300	0.0330845
60	200	0.0189279
10	400	0.0194041
10	500	0.0201543
70	200	0.0239036
20	500	0.026732
30	300	0.0279029
30	400	0.0304901
40	300	0.0340157
70	300	0.0939566
30	500	0.0328409
10	600	0.0220386
10	700	0.0224627
40	400	0.0392071
30	600	0.0384331
100	200	0.0894673
10	900	0.0252526
50	400	0.0297688
60	400	0.0420014
40	500	0.0349519
90	200	0.0944394
50	500	0.0405151
40	600	0.0367281
60	300	0.033897
70	400	0.032793
80	400	0.0967183
60	500	0.0317865
80	200	0.0280883
20	600	0.0279206
50	600	0.038492
60	600	0.0458198
30	700	0.0332486
80	300	0.033259
70	500	0.0506034
80	500	0.0960016
90	500	0.0893759
100	500	0.104173
70	600	0.0387036
90	300	0.0448664
40	700	0.0381018
90	400	0.0928522
80	600	0.0517175
100	400	0.100577
90	600	0.0506753
80	700	0.11052
10	800	0.0242469
100	300	0.0974953
100	600	0.107926
20	700	0.0288343
50	700	0.0415032
60	700	0.0452888
70	700	0.0371007
100	700	0.0922142
20	800	0.0309945
30	800	0.0369614
40	800	0.0413639
50	800	0.0431402
60	800	0.0401054
20	900	0.0314546
90	700	0.111496
30	900	0.0360079
40	900	0.0412796
50	900	0.0401278
60	900	0.0386226
70	800	0.0453737
80	800	0.0510999
90	800	0.054916
100	800	0.115465
70	900	0.0436874
80	900	0.0901634
90	900	0.114735
100	900	0.11897
10	1000	0.0266117
20	1000	0.0310831
30	1000	0.034462
40	1000	0.0393333
50	1000	0.0426035
60	1000	0.0438022
70	1000	0.099802
80	1000	0.110212
90	1000	0.119459
100	1000	0.115246
