|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#PctErr2	#V4_AvgCaDiff	#V4_Gnmda	#V4_GgabaB	#V4_SSGi	#IT_AvgCaDiff	#IT_Gnmda	#IT_GgabaB	#IT_SSGi	#Output_AvgCaDiff	#Output_Gnmda	#Output_GgabaB	#Output_SSGi	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#V4_ActMAvg	#V4_ActMMax	#V4_MaxGeM	#V4_CorDiff	#V4_GiMult	#IT_ActMAvg	#IT_ActMMax	#IT_MaxGeM	#IT_CorDiff	#IT_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#V1_ActAvg	#V4_PCA_NStrong	#V4_PCA_Top5	#V4_PCA_Next5	#V4_PCA_Rest	#IT_PCA_NStrong	#IT_PCA_Top5	#IT_PCA_Next5	#IT_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	cpu_nd16_Base	0.03654	0.05	0.8929	0.1071	0.8304	-0.001977	0.2294	0.2565	0.01535	0.006719	0.2126	0.1691	0.01118	-0.008071	0.0486	0.2747	0.03071	0	0	0	0	0	0.02877	0.3964	1.07	0.08636	1	0.02741	0.2387	0.8813	0.2602	1	0.02244	0.2966	0.8628	0.9635	1	0.07628	69	0.1473	0.07049	0.004063	18	0.01785	0.0137	0.002	0	0.007013	0.005275	0.001193
0	1	cpu_nd16_Base	0.1305	0.05008	0.8516	0.1484	0.7031	-0.001813	0.2245	0.2497	0.01454	0.006198	0.2185	0.1599	0.01165	-0.008554	0.04821	0.2701	0.02835	0	0	0	0	169.7	0.02888	0.4047	1.11	0.0822	1	0.02668	0.2396	0.8184	0.2659	1	0.02492	0.3505	0.7742	0.8695	1	0.07317	69	0.1473	0.07049	0.004063	18	0.01785	0.0137	0.002	0	0.007013	0.005275	0.001193
0	2	cpu_nd16_Base	0.2824	0.04992	0.7031	0.2969	0.5234	-0.00173	0.2216	0.2442	0.01383	0.006281	0.2206	0.1524	0.01127	-0.008457	0.04906	0.2716	0.03253	0	0	0	0	167.6	0.0285	0.4166	1.16	0.07562	1	0.02651	0.2531	0.7763	0.2485	1	0.03072	0.4414	0.7317	0.7176	1	0.07135	69	0.1473	0.07049	0.004063	18	0.01785	0.0137	0.002	0	0.007013	0.005275	0.001193
0	3	cpu_nd16_Base	0.4043	0.0493	0.5547	0.4453	0.4297	-0.001803	0.2248	0.2371	0.01341	0.006673	0.2165	0.1548	0.01065	-0.008932	0.05029	0.2749	0.03233	0	0	0	0	164.9	0.02844	0.4488	1.193	0.07089	1	0.02652	0.2562	0.7481	0.2476	1	0.03424	0.503	0.7137	0.5957	1	0.06987	69	0.1473	0.07049	0.004063	18	0.01785	0.0137	0.002	0	0.007013	0.005275	0.001193
0	4	cpu_nd16_Base	0.4061	0.04695	0.5703	0.4297	0.4219	-0.001715	0.2276	0.2399	0.01442	0.006306	0.221	0.1417	0.01042	-0.009117	0.05016	0.2695	0.0335	0	0	0	0	162.4	0.02836	0.4977	1.223	0.06289	1	0.02597	0.2678	0.7354	0.2292	1	0.03999	0.5783	0.7099	0.5939	1	0.06864	69	0.1473	0.07049	0.004063	18	0.01785	0.0137	0.002	0	0.007013	0.005275	0.001193
0	5	cpu_nd16_Base	0.4376	0.04695	0.5625	0.4375	0.3984	-0.001754	0.227	0.2338	0.01491	0.0066	0.2191	0.1449	0.0114	-0.009219	0.05072	0.2672	0.03509	0	0	0	0	161.1	0.02824	0.5084	1.244	0.05779	1	0.02602	0.2735	0.7267	0.2267	1	0.04165	0.5863	0.7014	0.5624	1	0.06772	61	0.2105	0.09446	0.003668	15	0.03922	0.01857	0.001619	17	0.08038	0.04443	0.002425
0	6	cpu_nd16_Base	0.5145	0.04445	0.4766	0.5234	0.3359	-0.001011	0.2307	0.2385	0.01297	0.006988	0.2224	0.1467	0.01108	-0.009381	0.0511	0.2599	0.03259	0	0	0	0	157.7	0.0287	0.5337	1.25	0.05055	1	0.02565	0.2863	0.7277	0.21	1	0.04438	0.6298	0.7043	0.4855	1	0.06739	61	0.2105	0.09446	0.003668	15	0.03922	0.01857	0.001619	17	0.08038	0.04443	0.002425
0	7	cpu_nd16_Base	0.6146	0.03727	0.3828	0.6172	0.2188	-0.001781	0.2251	0.2312	0.01342	0.00703	0.222	0.1377	0.01071	-0.009199	0.05192	0.2529	0.03658	0	0	0	0	155.3	0.02814	0.5548	1.296	0.04626	1	0.02538	0.2991	0.7331	0.1759	1	0.04513	0.6691	0.7232	0.3854	1	0.06695	61	0.2105	0.09446	0.003668	15	0.03922	0.01857	0.001619	17	0.08038	0.04443	0.002425
0	8	cpu_nd16_Base	0.5772	0.03883	0.3984	0.6016	0.2578	-0.001656	0.2299	0.2351	0.01356	0.007117	0.2253	0.1383	0.01028	-0.009073	0.05144	0.2502	0.03515	0	0	0	0	153.7	0.0286	0.5772	1.323	0.04026	1	0.02566	0.3062	0.7361	0.1706	1	0.04655	0.683	0.7442	0.4228	1	0.06679	61	0.2105	0.09446	0.003668	15	0.03922	0.01857	0.001619	17	0.08038	0.04443	0.002425
0	9	cpu_nd16_Base	0.6422	0.03242	0.3438	0.6562	0.2422	-0.001776	0.2454	0.2531	0.01384	0.007242	0.2251	0.142	0.0112	-0.009092	0.05233	0.2407	0.03618	0	0	0	0	152	0.02866	0.6031	1.34	0.0356	1	0.02532	0.3195	0.7408	0.1526	1	0.04745	0.6844	0.7558	0.3578	1	0.0668	61	0.2105	0.09446	0.003668	15	0.03922	0.01857	0.001619	17	0.08038	0.04443	0.002425
