|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec	#EpochsToCrit
0	0	6	2024-02-29-seq3x5pgi_49u_good_Base	1.944	0.152	0.5224	0.3742	49.8	6
0	1	11	2024-02-29-seq3x5pgi_49u_good_Base	1.931	0.1728	0.5193	0.3499	48.59	11
0	2	9	2024-02-29-seq3x5pgi_49u_good_Base	2.711	0.2369	0.8406	0.6098	62.16	9
0	3	7	2024-02-29-seq3x5pgi_49u_good_Base	1.925	0.1496	0.5354	0.3898	62.38	7
0	4	23	2024-02-29-seq3x5pgi_49u_good_Base	2.119	0.2131	0.5854	0.376	59.56	23
0	5	9	2024-02-29-seq3x5pgi_49u_good_Base	2.033	0.1603	0.5615	0.4053	60.57	9
0	6	3	2024-02-29-seq3x5pgi_49u_good_Base	2.336	0.153	0.6797	0.532	62.56	3
0	7	13	2024-02-29-seq3x5pgi_49u_good_Base	1.909	0.1641	0.4901	0.3293	58.98	13
0	8	8	2024-02-29-seq3x5pgi_49u_good_Base	2.5	0.2082	0.775	0.5726	63.64	8
0	9	5	2024-02-29-seq3x5pgi_49u_good_Base	1.477	0.1251	0.3802	0.2578	61.32	5
0	10	10	2024-02-29-seq3x5pgi_49u_good_Base	2.147	0.1741	0.5932	0.4234	58.4	10
0	11	6	2024-02-29-seq3x5pgi_49u_good_Base	2.191	0.1766	0.6563	0.4845	61.89	6
0	12	11	2024-02-29-seq3x5pgi_49u_good_Base	2.833	0.3582	0.9078	0.5552	86.37	11
0	13	9	2024-02-29-seq3x5pgi_49u_good_Base	2.292	0.1855	0.7073	0.5271	61.23	9
0	14	23	2024-02-29-seq3x5pgi_49u_good_Base	2.384	0.2116	0.6953	0.4886	59.84	23
0	15	18	2024-02-29-seq3x5pgi_49u_good_Base	2.438	0.249	0.7026	0.4582	70.45	18
0	16	8	2024-02-29-seq3x5pgi_49u_good_Base	2.098	0.1776	0.6063	0.433	65.98	8
0	17	9	2024-02-29-seq3x5pgi_49u_good_Base	2.014	0.1804	0.5286	0.3518	62.31	9
0	18	6	2024-02-29-seq3x5pgi_49u_good_Base	2.075	0.1638	0.5917	0.4322	61.79	6
0	19	10	2024-02-29-seq3x5pgi_49u_good_Base	2.866	0.3779	0.926	0.5536	61.7	10
0	20	4	2024-02-29-seq3x5pgi_49u_good_Base	2.334	0.1734	0.7298	0.5622	62.23	4
0	21	7	2024-02-29-seq3x5pgi_49u_good_Base	1.817	0.1438	0.4698	0.3293	63.49	7
0	22	6	2024-02-29-seq3x5pgi_49u_good_Base	2.462	0.1967	0.7411	0.5499	63.32	6
0	23	13	2024-02-29-seq3x5pgi_49u_good_Base	2.294	0.2181	0.6495	0.4357	62.26	13
0	24	8	2024-02-29-seq3x5pgi_49u_good_Base	2.462	0.2578	0.7078	0.4546	63.67	8
