|Run	|Epoch	$RunName	#Rew	#RewPred	#RewPred_NR	#DA	#DA_NR	#PerTrlMSec	#Cond_0_Rew	#Cond_0_RewPred	#Cond_0_DA	#Cond_0_RewPred_NR	#Cond_0_DA_NR	#Cond_1_Rew	#Cond_1_RewPred	#Cond_1_DA	#Cond_1_RewPred_NR	#Cond_1_DA_NR	#Cond_2_Rew	#Cond_2_RewPred	#Cond_2_DA	#Cond_2_RewPred_NR	#Cond_2_DA_NR	#Cond_3_Rew	#Cond_3_RewPred	#Cond_3_DA	#Cond_3_RewPred_NR	#Cond_3_DA_NR
0	0	Base	0.4384	0.2145	0.1133	0.2239	-0.09698	0	0.1223	0.1278	-0.005524	0.06709	-0.03869	0.4033	0.2016	0.2017	0.05396	-0.03511	0.5297	0.2422	0.2875	0.2007	-0.1826	0.6983	0.2866	0.4118	0.1315	-0.1315
0	1	Base	0.4665	0.386	0.09288	0.08051	-0.07309	6.655	0.1644	0.1881	-0.02365	0.06187	0	0.3752	0.333	0.04216	0.03737	-0.03737	0.5719	0.3847	0.1872	0.162	-0.162	0.7545	0.6382	0.1163	0.1103	-0.09296
0	2	Base	0.4911	0.444	0.07865	0.04706	-0.03372	7.391	0.2628	0.2031	0.05972	0.07989	0	0.3752	0.4181	-0.04286	0.02527	0	0.5438	0.4685	0.07527	0.1265	-0.1053	0.7826	0.6865	0.09611	0.08298	-0.02961
0	3	Base	0.4841	0.4439	0.05831	0.04017	-0.02176	6.676	0.2066	0.2462	-0.03956	0.08312	-0.03156	0.4314	0.3773	0.05408	0.01119	0	0.5438	0.4374	0.1064	0.07365	-0.03014	0.7545	0.7147	0.0398	0.06526	-0.02536
0	4	Base	0.4841	0.4698	0.06404	0.01432	-0.02148	7.509	0.2347	0.2389	-0.004208	0.07029	0	0.3611	0.3847	-0.02351	0.009655	0	0.5719	0.5255	0.04635	0.1038	-0.08593	0.7686	0.7299	0.03865	0.0724	0
0	5	Base	0.4911	0.4639	0.04959	0.02716	-0.02005	7.337	0.2628	0.2079	0.05486	0.05429	0	0.3752	0.378	-0.002845	0.001549	0	0.5859	0.5252	0.0607	0.07752	-0.05399	0.7405	0.7446	-0.004079	0.06502	-0.0262
0	6	Base	0.4314	0.4392	0.03389	-0.007843	0	9.098	0.1644	0.2267	-0.06222	0.05381	0	0.2909	0.3596	-0.06873	0	0	0.5297	0.4765	0.05325	0.04748	0	0.7405	0.6942	0.04632	0.03427	0
0	7	Base	0.4314	0.4464	0.04946	-0.01499	-0.00655	7.457	0.2628	0.2292	0.03363	0.04713	0	0.2066	0.2391	-0.03254	0	0	0.5016	0.5719	-0.07021	0.08567	-0.0262	0.7545	0.7454	0.009157	0.06506	0
0	8	Base	0.4665	0.4219	0.04411	0.04462	-0.007471	6.273	0.1925	0.2283	-0.03578	0.03878	0	0.333	0.2219	0.1111	0	0	0.5719	0.4727	0.09923	0.06542	-0.02988	0.7686	0.7647	0.003895	0.07224	0
0	9	Base	0.4806	0.4684	0.04394	0.01214	-0.007065	7.025	0.2066	0.2073	-0.0006924	0.03404	0	0.3611	0.369	-0.007875	0.001559	0	0.614	0.5756	0.03844	0.09319	-0.02826	0.7405	0.7218	0.0187	0.04698	0
0	10	Base	0.4525	0.4726	0.05179	-0.02017	0	6.481	0.1644	0.1713	-0.006832	0.01779	0	0.3892	0.429	-0.03975	0.02563	0	0.5016	0.5255	-0.02388	0.08087	0	0.7545	0.7647	-0.0102	0.08285	0
0	11	Base	0.4735	0.4324	0.03239	0.04117	-0.007325	6.929	0.1644	0.1635	0.0009239	0.019	0	0.3752	0.3357	0.03945	0	0	0.6281	0.5637	0.06444	0.08115	-0.0293	0.7264	0.6666	0.05987	0.02941	0
0	12	Base	0.4841	0.4787	0.04525	0.005397	-0.0133	6.407	0.2628	0.2114	0.05144	0.04878	0	0.319	0.3548	-0.03578	0	0	0.614	0.5749	0.03909	0.09442	-0.02508	0.7405	0.7736	-0.03316	0.03781	-0.0281
0	13	Base	0.5016	0.4873	0.04879	0.01434	-0.006674	6.992	0.1644	0.2137	-0.04922	0.05324	0	0.4173	0.389	0.02835	0	0	0.6281	0.6092	0.01887	0.0956	-0.02669	0.7967	0.7373	0.05938	0.04631	0
0	14	Base	0.449	0.4547	0.03611	-0.00576	-0.01277	6.339	0.1785	0.169	0.009513	0.02191	0	0.3611	0.3596	0.001518	0	0	0.5719	0.5714	0.0005412	0.09082	-0.05108	0.6843	0.7189	-0.03461	0.03172	0
0	15	Base	0.4349	0.4203	0.02024	0.01461	0	6.156	0.1644	0.1868	-0.02238	0.01888	0	0.3752	0.3542	0.02098	0	0	0.4735	0.437	0.03654	0.03212	0	0.7264	0.7032	0.02329	0.02997	0
0	16	Base	0.5122	0.4907	0.04534	0.02144	0	6.119	0.2628	0.2261	0.03673	0.03329	0	0.4173	0.4216	-0.004235	0.004983	0	0.5578	0.5276	0.03027	0.06709	0	0.8107	0.7877	0.02301	0.076	0
0	17	Base	0.4771	0.4583	0.04046	0.01878	0	6.853	0.2066	0.2281	-0.02146	0.03595	0	0.4173	0.3768	0.04059	0	0	0.5719	0.528	0.04386	0.07953	0	0.7124	0.7003	0.01213	0.04634	0
0	18	Base	0.4946	0.4883	0.0472	0.006335	-0.01426	6.259	0.2768	0.2391	0.03772	0.05244	0	0.4033	0.4213	-0.01804	0.002415	0	0.5438	0.5635	-0.01968	0.08085	-0.02857	0.7545	0.7292	0.02533	0.05309	-0.02848
0	19	Base	0.4454	0.4688	0.03834	-0.02335	0	6.734	0.1925	0.2303	-0.03779	0.04256	0	0.3049	0.3408	-0.03583	0	0	0.5578	0.5534	0.004461	0.07829	0	0.7264	0.7507	-0.02425	0.03251	0
0	20	Base	0.4665	0.4575	0.03283	0.009006	0	6.458	0.2066	0.1953	0.01133	0.02491	0	0.3752	0.3529	0.02231	0	0	0.5438	0.5436	0.0002178	0.07233	0	0.7405	0.7383	0.002159	0.03407	0
0	21	Base	0.4771	0.474	0.04306	0.003088	0	6.685	0.2206	0.2457	-0.02502	0.04398	0	0.3471	0.3549	-0.007843	0	0	0.5859	0.5577	0.02821	0.08822	0	0.7545	0.7375	0.017	0.04003	0
0	22	Base	0.449	0.4381	0.0325	0.01084	0	6.523	0.1785	0.2069	-0.02839	0.03664	0	0.3471	0.3375	0.00964	0	0	0.6	0.5575	0.04252	0.08254	0	0.6702	0.6507	0.01958	0.01081	0
0	23	Base	0.4454	0.47	0.03585	-0.02458	-0.0135	6.669	0.1363	0.1122	0.0241	0.007386	0	0.3611	0.4005	-0.0394	0	0	0.5578	0.6243	-0.0665	0.09445	-0.0273	0.7264	0.743	-0.01654	0.04155	-0.0267
0	24	Base	0.4525	0.4281	0.02808	0.02437	0	6.401	0.2206	0.2077	0.013	0.03361	0	0.333	0.3242	0.008827	0	0	0.5719	0.522	0.04987	0.06646	0	0.6843	0.6585	0.0258	0.01224	0
0	25	Base	0.4244	0.4395	0.03204	-0.01516	0	6.93	0.1785	0.2094	-0.03089	0.02496	0	0.2768	0.3045	-0.02765	0	0	0.5438	0.5231	0.02073	0.07047	0	0.6983	0.7212	-0.02282	0.03271	0
0	26	Base	0.4841	0.4489	0.03555	0.03523	-0.01348	6.67	0.2347	0.2043	0.03041	0.02677	0	0.3752	0.3495	0.02574	0	0	0.5859	0.5609	0.02505	0.08707	-0.02555	0.7405	0.6808	0.0597	0.02835	-0.02835
